,https://roic.ai/company/S,2020,2021,2022
0,INCOME STATEMENT, , , 
1,Revenue,- -,93056000,204799000
2,COGS,- -,39332000,85295000
3,Gross Profit,- -,53724000,119504000
4,Gross Profit Ratio,- -,0.5773,0.5835
5,Research and Development Exp.,- -,62444000,136274000
6,General and Administrative Exp.,- -,29059000,93504000
7,Selling and Marketing Exp.,- -,77740000,160576000
8,"Selling, General and Administrative Exp.",- -,106799000,254080000
9,Other Expenses,- -,- -,- -
10,Operating Expenses,- -,169243000,390354000
11,COGS and Expenses,- -,208575000,475649000
12,Interest Income ,- -,231000,202000
13,Interest Expense (Gain),- -,1401000,-787000
14,Depreciation and Amortization,- -,2837000,7909000
15,EBITDA,- -,-112875000,-262975000
16,EBITDA ratio,- -,-1.2130,-1.2841
17,Operating Income,- -,-115519000,-267232000
18,Operating Income ratio,- -,-1.2414,-1.3049
19,Total Other Income Expenses (Gains),- -,-1594000,-2865000
20,Income Before Tax,- -,-117113000,-270097000
21,Income Before Tax Ratio,- -,-1.2585,-1.3188
22,Income Tax expense (Gain),- -,460000,1004000
23,Net Income,- -,-117573000,-271101000
24,Net Income ratio,- -,-1.2635,-1.3237
25,EPS,- -,-0.58,-1.03
26,EPS Diluted,- -,-0.58,-1.03
27,Weighted Average Shares Outstanding,- -,204433503,262999535
28,Weighted Average Shares Outstanding Diluted,- -,204433503,262999535
29,SEC Link,undefined,- -,- -
30,BALANCE SHEET, , , 
31,Cash and Cash Equivalents,- -,395472000,1669304000
32,Short-Term Investments,- -,364000,- -
33,Cash and Short-Term Investments,- -,395836000,1669304000
34,Net Receivables,- -,39315000,101491000
35,Inventory,- -,- -,- -
36,Other Current Assets,- -,28906000,46859000
37,Total Current Assets,- -,464057000,1817654000
38,PP&E,- -,31399000,48802000
39,Goodwill,- -,- -,108193000
40,Intangible Assets,- -,470000,15807000
41,Intangible Assets,- -,470000,124000000
42,Investments,- -,- -,374000
43,Tax Assets,- -,- -,- -
44,Other Non-Current Assets,- -,24634000,51351000
45,Total Non-Current Assets,- -,56503000,224527000
46,Other Assets,- -,- -,- -
47,Total Assets,- -,520560000,2042181000
48,Accounts Payable,- -,11822000,9944000
49,Short-Term Debt,- -,3634000,4613000
50,Tax Payable,- -,- -,- -
51,Deferred Revenue,- -,89645000,182957000
52,Other Current Liabilities,- -,23805000,83807000
53,Total Current Liabilities,- -,128906000,281321000
54,Long-Term Debt,- -,38460000,24467000
55,Deferred Revenue,- -,52190000,79062000
56,Deferred Tax Liabilities,- -,- -,- -
57,Other Non-Current Liabilities,- -,621540000,6543000
58,Total Non-Current Liabilities,- -,712190000,110072000
59,Other Liabilities,- -,- -,- -
60,Capital Lease Obligations,- -,22473000,- -
61,Total Liabilities,- -,841096000,391393000
62,Preferred Stock,- -,- -,- -
63,Common Stock,- -,2000,27000
64,Retained Earnings,- -,-350572000,-621673000
65,Other Comprehensive Income/Loss,- -,165000,454000
66,Other Total Stockholders Equity,- -,29869000,2271980000
67,Total Stockholders Equity,- -,-320536000,1650788000
68,Total Liabilities And Stockholders Equity,- -,520560000,2042181000
69,Minority Interest,- -,- -,- -
70,Total Liabilities & Equity,- -,520560000,2042181000
71,SEC Link,undefined,- -,- -
72,CASH FLOW STATEMENT, , , 
73,Net Income,- -,-117573000,-271101000
74,Depreciation and Amortization,- -,2837000,7909000
75,Deferred Income Tax,- -,- -,- -
76,Stock Based Compensation,- -,15912000,87889000
77,Change in Working Capital,- -,318171000,1201182000
78,Accounts Receivable,- -,-8320000,-59082000
79,Inventory,- -,- -,- -
80,Accounts Payable,- -,7429000,-2076000
81,Other Working Capital,- -,335151000,1536333000
82,Other Non-Cash Items,- -,-285917000,-1121467000
83,Cash Provided by Operating Activities,- -,-66570000,-95588000
84,CAPEX,- -,-6265000,-9492000
85,Acquisitions Net,- -,- -,- -
86,Purchases of Investments,- -,- -,-6000000
87,Sales/Maturities of Investments,- -,- -,- -
88,Other Investing Activites,- -,-2982000,-10090000
89,Cash Used for Investing Activites,- -,-6265000,-19743000
90,Debt Repayment,- -,-20000000,-20000000
91,Common Stock Issued,- -,- -,11356000
92,Common Stock Repurchased,- -,- -,- -
93,Dividends Paid,- -,- -,- -
94,Other Financing Activites,- -,443978000,1395768000
95,Cash Used/Provided by Financing Activities,- -,423978000,1387124000
96,Effect of Forex Changes on Cash,- -,289000,1146000
97,Net Change In Cash,- -,351432000,1272939000
98,Cash at the End of Period,- -,399112000,1672051000
99,Cash at the Beginning of Period,- -,47680000,399112000
100,Free Cash Flow,- -,-72835000,-105080000
101,SEC Link,undefined,- -,- -
102,false,,,
