,https://roic.ai/company/MRMD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,125607,785,904,88384,1270176,3564120,6067853,11851915,45604645,50895151,121464158
2,COGS,23025,19948,26285,190165,1303713,1351742,2555502,4041122,26902916,19570257,55201078
3,Gross Profit,102582,-19163,-25381,-101781,-33537,2212378,3512351,7810793,18701729,31324894,66263080
4,Gross Profit Ratio,0.8167,-24.4115,-28.0763,-1.1516,-0.0264,0.6207,0.5788,0.6590,0.4101,0.6155,0.5455
5,Research and Development Exp.,- -,- -,- -,- -,93106,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,476242,591624,438763,695567,1197261,1307158,3254614,11542563,12727811,15401123,35912062
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,293490,130087,292477,369577,410626,1625111
8,"Selling, General and Administrative Exp.",476242,591624,438763,695567,1197261,1600648,3384701,11835040,13097388,15811749,37537173
9,Other Expenses,- -,164000,94000,20000,366667,- -,- -,- -,- -,- -,- -
10,Operating Expenses,476242,755624,532763,715567,1657034,1600648,3384701,11835040,13097388,15811749,37537173
11,COGS and Expenses,499267,775572,559048,905732,2960747,2952390,5940203,15876162,40000304,35382006,92738251
12,Interest Income ,- -,- -,- -,- -,56145,56502,- -,593214,467798,156345,108219
13,Interest Expense (Gain),- -,- -,- -,56203,206563,347335,511519,4366295,12718952,9810475,2355904
14,Depreciation and Amortization,- -,- -,- -,20000,1206003,265746,362691,657854,1196606,2182091,2788029
15,EBITDA,-377410,-809540,-535607,-7143338,197233,414229,-319873,-8579919,-67269161,16203604,28560781
16,EBITDA ratio,-3.0047,-1031.2611,-592.4856,-80.8216,0.1553,0.1162,-0.0527,-0.7239,-1.4751,0.3184,0.2351
17,Operating Income,-373660,-774787,-558145,-817348,-1690571,611730,1205903,-5356032,-41598149,14530657,26863490
18,Operating Income ratio,-2.9748,-986.9898,-617.4170,-9.2477,-1.3310,0.1716,0.1987,-0.4519,-0.9121,0.2855,0.2212
