,https://roic.ai/company/NMIH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,283629,5560000,22208000,55513000,121915000,178638000,273628000,370114000,436190000,485638000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,22887476,- -,- -,- -,- -,- -,- -,2248000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,22887476,- -,- -,- -,- -,- -,- -,2248000,- -,- -
9,Other Expenses,- -,- -,62000000,71000000,81000000,112000000,130000000,139000000,159752000,- -,- -
10,Operating Expenses,- -,- -,62000000,71000000,81000000,112000000,130000000,139000000,162000000,- -,- -
11,COGS and Expenses,- -,27775342,60744000,73500000,83306000,110463000,125846000,137667000,153461000,218084000,188913000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1628635,- -,- -,2057000,14848000,13528000,14979000,12085000,24387000,31796000
14,Depreciation and Amortization,- -,2917,8116000,8080000,4861000,5660000,6663000,7811000,9299000,9930000,11232000
15,EBITDA,- -,-25860161,-47068000,-43212000,-20875000,31960000,72983000,158751000,238037000,252423000,339753000
16,EBITDA ratio,- -,-91.1760,-8.4655,-1.9458,-0.3760,0.2621,0.4086,0.5802,0.6431,0.5787,0.6996
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,296725000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6110
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,25000,276000,522000,233000,2855000,3284000,- -
20,Income Before Tax,- -,-27491713,-55184000,-51292000,-27793000,11452000,52792000,135961000,216653000,218106000,296725000
21,Income Before Tax Ratio,- -,-96.9284,-9.9252,-2.3096,-0.5007,0.0939,0.2955,0.4969,0.5854,0.5000,0.6110
22,Income Tax expense (Gain),- -,- -,- -,-2386000,- -,-54389000,30742000,28034000,44696000,46540000,65595000
23,Net Income,- -,-27491713,-55184000,-48906000,-27793000,65841000,22050000,107927000,171957000,171566000,231130000
24,Net Income ratio,- -,-96.9284,-9.9252,-2.2022,-0.5007,0.5401,0.1234,0.3944,0.4646,0.3933,0.4759
25,EPS,- -,-0.48,-0.99,-0.84,-0.47,1.11,0.37,1.66,2.54,2.20,2.70
26,EPS Diluted,- -,-0.48,-0.99,-0.84,-0.47,1.08,0.35,1.60,2.47,2.13,2.66
27,Weighted Average Shares Outstanding,- -,57737480,56005326,58281425,58683194,59070948,59816000,65019000,67573000,78023000,85721000
28,Weighted Average Shares Outstanding Diluted,- -,57737480,56005326,58281425,58683194,60829372,62186000,67652000,69721000,79263000,86880000
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1547903/000154790314000029/0001547903-14-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790315000032/0001547903-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790316000203/0001547903-16-000203-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790317000032/0001547903-17-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790318000038/0001547903-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790319000017/0001547903-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790320000018/0001547903-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790321000055/0001547903-21-000055-index.htm,https://www.sec.gov/Archives/edgar/data/1547903/000154790322000060/0001547903-22-000060-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,1,485855418,55929000,103021000,57317000,47746000,19196000,23880000,38427000,121382000,73481000
32,Short-Term Investments,- -,4864206,- -,336501000,559235000,628969000,715875000,911490000,1140940000,1804286000,2085931000
33,Cash and Short-Term Investments,1,490719624,55929000,439522000,616552000,676715000,735071000,935370000,1179367000,1925668000,2159412000
34,Net Receivables,- -,- -,19000,1048000,5143000,13728000,25179000,36007000,46085000,67387000,80678000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,-19000,-337549000,-564378000,-642697000,-741054000,-946083000,-1184363000,-1663974000,-1911121000
37,Total Current Assets,- -,- -,55929000,103021000,57317000,47746000,19196000,25294000,41089000,329081000,328969000
38,PP&E,- -,284573,683000,2148000,2831000,6555000,7624000,10526000,12434000,12525000,13056000
39,Goodwill,- -,3634197,3244000,3244000,3244000,3244000,3244000,3244000,3244000,3244000,3244000
40,Intangible Assets,- -,7265522,8583000,10048000,12760000,14237000,15568000,14629000,14052000,17530000,19381000
41,Intangible Assets,- -,10899719,11827000,13292000,16004000,17481000,18812000,17873000,17296000,20774000,22625000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1804286000,2085931000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,412761000,7255000,21921000,127258000,108162000,90853000,-26096000,- -,- -
45,Total Non-Current Assets,- -,- -,425271000,22695000,40756000,151294000,134598000,119252000,3634000,1837585000,2121612000
46,Other Assets,209758,542767734,- -,- -,- -,- -,- -,- -,- -,4004251000,4572193000
