,https://roic.ai/company/MUSS,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4030000,2280000,2890000,3090000,1650000,1110000,940000,1400000,1070000,900000,810000,625093,285641,290823,147143,136739,93545,9348,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,780000,760000,780000,760000,870000,270000,280000,370000,350000,260000,240000,5664,198812,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,3250000,1520000,2110000,2330000,780000,840000,660000,1030000,720000,640000,570000,619429,86829,- -,147143,136739,93545,9348,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.8065,0.6667,0.7301,0.7540,0.4727,0.7568,0.7021,0.7357,0.6729,0.7111,0.7037,0.9909,0.3040,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189648,178139,137224,134338,112602,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1540000,2610000,2850000,2480000,1470000,1290000,1210000,1060000,820000,640000,570000,499457,852711,462007,- -,- -,- -,- -,70222,- -,- -,- -,40000,- -,- -,- -,- -,- -,52748,47206,41105,37815,40697
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1540000,2610000,2850000,2480000,1470000,1290000,1210000,1060000,820000,640000,570000,499457,852711,462007,- -,- -,- -,- -,70222,- -,- -,- -,40000,- -,- -,- -,- -,- -,52748,47206,41105,37815,40697
9,Other Expenses,-0,-10000,-0,10000,-10000,- -,10000,- -,-10000,- -,0,243280,198812,174736,846275,141650,121288,38269,- -,19541,- -,- -,- -,54608,74428,61738,52733,46525,- -,- -,- -,- -,- -
10,Operating Expenses,1540000,2600000,2850000,2490000,1460000,1290000,1220000,1060000,810000,640000,570000,742737,1241171,814882,983499,275988,233890,38269,70222,19541,- -,- -,40000,54608,74428,61738,52733,46525,52748,47206,41105,37815,40697
11,COGS and Expenses,2320000,3360000,3630000,3250000,2330000,1560000,1500000,1430000,1160000,900000,810000,748401,1439983,814882,983499,275988,233890,38269,70222,19541,- -,- -,40000,54608,74428,61738,52733,46525,52748,47206,41105,37815,40697
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,-10000,-10000,- -,-10000,- -,- -,- -,- -,- -,- -,1400,16710,- -,- -,- -,-10000,2739,9646,19837,27562,33164,35911,39941,44926,49869,51470
14,Depreciation and Amortization,230000,120000,260000,540000,750000,370000,310000,370000,350000,290000,250000,-243280,-198812,-174736,4375,4772,239,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,1150000,-590000,-350000,330000,20000,-220000,-260000,380000,250000,300000,290000,-370799,-798639,-664518,-769824,-134477,-140106,-28921,-183222,-19541,- -,- -,-50000,-54608,-74428,-61738,-52733,-46525,-52748,-47206,-41105,-37815,-40697
16,EBITDA ratio,0.2854,-0.2588,-0.1211,0.1068,0.0121,-0.1982,-0.2766,0.2714,0.2336,0.3333,0.3580,-0.5932,-2.7960,-2.2850,-5.2318,-0.9835,-1.4977,-3.0938,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,1720000,-1090000,-730000,-160000,-680000,-450000,-560000,-30000,-100000,10000,-10000,-123308,-756718,-559323,-836356,-139249,-140345,-28921,-70222,-19541,- -,- -,-40000,-54608,-74428,-61738,-52733,-46525,-52748,-47206,-41105,-37815,-40697
18,Operating Income ratio,0.4268,-0.4781,-0.2526,-0.0518,-0.4121,-0.4054,-0.5957,-0.0214,-0.0935,0.0111,-0.0123,-0.1973,-2.6492,-1.9232,-5.6840,-1.0184,-1.5003,-3.0938,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-660000,380000,120000,-50000,-50000,-140000,-10000,50000,110000,- -,60000,5269,- -,-210000,62157,- -,- -,- -,113000,- -,- -,- -,-10000,-2739,-9646,-19837,-27562,-33164,-35911,-39941,-44926,-49869,-51470
20,Income Before Tax,1060000,-710000,-610000,-210000,-730000,-590000,-570000,20000,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -,- -,-19541,- -,- -,-50000,-57347,-84074,-81575,-80295,-79689,-88659,-87147,-86031,-87684,-92167
21,Income Before Tax Ratio,0.2630,-0.3114,-0.2111,-0.0680,-0.4424,-0.5315,-0.6064,0.0143,- -,- -,0.0617,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,890000,-710000,-610000,-210000,-730000,-590000,-570000,20000,- -,- -,50000,-127519,-599827,-489782,-774199,-139249,-140345,-30321,26068,-19541,- -,- -,-40000,-49014,-84074,-81575,-80295,-79689,-88659,-87147,-86031,-87684,-92167
24,Net Income ratio,0.2208,-0.3114,-0.2111,-0.0680,-0.4424,-0.5315,-0.6064,0.0143,- -,- -,0.0617,-0.2040,-2.0999,-1.6841,-5.2615,-1.0184,-1.5003,-3.2436,Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,0.06,-0.05,-0.04,-0.01,-0.05,-0.04,-0.04,0.00,- -,- -,0.00,-0.01,-0.03,-0.02,-0.04,-0.01,-0.01,-0.00,0.00,-0.00,- -,- -,-0.10,-0.03,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.05
26,EPS Diluted,0.06,-0.05,-0.04,-0.01,-0.05,-0.04,-0.04,0.00,- -,- -,0.00,-0.01,-0.03,-0.02,-0.04,-0.01,-0.01,-0.00,0.00,-0.00,- -,- -,-0.10,-0.03,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,-0.05,-0.05,-0.05
27,Weighted Average Shares Outstanding,14040000,14980000,15110000,15110000,15110000,15200000,15490000,15970000,17990000,18120000,18750000,19527207,20779754,20779754,21096969,21096969,21096969,21096969,21096969,21096969,- -,- -,420000,1558863,1898727,1899368,1899575,1899575,1899575,1899575,1899575,1899575,1899575
