,https://roic.ai/company/AXNX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,128118,707000,13820000,111535000,180290000
2,COGS,- -,117944,356000,6490000,44444000,64572000
3,Gross Profit,- -,10174,351000,7330000,67091000,115718000
4,Gross Profit Ratio,- -,0.0794,0.4965,0.5304,0.6015,0.6418
5,Research and Development Exp.,12510280,12332046,19402000,20181000,29170000,37297000
6,General and Administrative Exp.,4457275,4822541,9362000,19076000,25551000,32785000
7,Selling and Marketing Exp.,516076,1029915,3724000,48672000,66130000,105789000
8,"Selling, General and Administrative Exp.",4973351,5852456,13086000,67748000,91681000,138574000
9,Other Expenses,- -,890,- -,- -,- -,7241000
10,Operating Expenses,17483631,18185392,32488000,87929000,120851000,183112000
11,COGS and Expenses,17484431,18303336,32844000,94419000,165295000,247684000
12,Interest Income ,84020,200579,998000,2974000,761000,40000
13,Interest Expense (Gain),- -,- -,1343000,2309000,1874000,7426000
14,Depreciation and Amortization,625117,725394,946000,1191000,1741000,9126000
15,EBITDA,-16775585,-17335464,-30193000,-76434000,-51299000,-62733000
16,EBITDA ratio,-Infinity,-135.3086,-42.7058,-5.5307,-0.4599,-0.3480
17,Operating Income,-17483631,-18174328,-32137000,-80599000,-53760000,-71808000
18,Operating Income ratio,-Infinity,-141.8562,-45.4554,-5.8321,-0.4820,-0.3983
19,Total Other Income Expenses (Gains),82929,113470,-345000,665000,-1154000,-7477000
20,Income Before Tax,-17400702,-18060858,-32482000,-79934000,-54914000,-79285000
21,Income Before Tax Ratio,-Infinity,-140.9705,-45.9434,-5.7839,-0.4923,-0.4398
22,Income Tax expense (Gain),- -,- -,1000,1000,1000,782000
23,Net Income,-17400702,-18060858,-32483000,-79935000,-54915000,-80067000
24,Net Income ratio,-Infinity,-140.9705,-45.9448,-5.7840,-0.4924,-0.4441
25,EPS,-0.95,-0.98,-4.64,-2.80,-1.48,-2.17
26,EPS Diluted,-0.95,-0.98,-4.64,-2.80,-1.48,-2.17
27,Weighted Average Shares Outstanding,18378261,18378261,6997777,28567302,36981335,36981335
28,Weighted Average Shares Outstanding Diluted,18378261,18378261,6997777,28567302,36981335,36981335
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603756/000160375619000011/0001603756-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375620000013/0001603756-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375621000014/0001603756-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375622000011/0001603756-22-000011-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,8208663,24397548,98306000,171082000,241181000,220878000
32,Short-Term Investments,- -,- -,59218000,12592000,- -,- -
33,Cash and Short-Term Investments,8208663,24397548,157524000,183674000,241181000,220878000
34,Net Receivables,- -,- -,427000,7879000,18270000,29044000
35,Inventory,- -,1541325,3673000,15659000,63060000,64946000
36,Other Current Assets,520181,979668,3716000,4468000,5435000,6449000
37,Total Current Assets,8728844,26918541,165340000,211680000,327946000,321317000
38,PP&E,1167315,1530389,2784000,3047000,6328000,6915000
39,Goodwill,- -,- -,- -,- -,- -,105510000
40,Intangible Assets,- -,- -,- -,- -,196000,106469000
41,Intangible Assets,655515,540687,426000,311000,196000,211979000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,304327,422057,3356000,4784000,7736000,7734000
45,Total Non-Current Assets,2127157,2493133,6566000,8142000,14260000,226628000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,10856001,29411674,171906000,219822000,342206000,547945000
48,Accounts Payable,630306,1615722,3436000,5882000,10660000,7654000
49,Short-Term Debt,- -,- -,768000,602000,22390000,1366000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,854688,789296,1683000,5549000,12632000,17848000
53,Total Current Liabilities,1484994,2405018,5887000,12033000,45682000,26868000
54,Long-Term Debt,- -,- -,19463000,20336000,19830000,9052000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,19217000
57,Other Non-Current Liabilities,58802068,93427186,3281000,4450000,-10676000,10370000
58,Total Non-Current Liabilities,58802068,93427186,22744000,24786000,9154000,38639000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,301512,134986,4049000,5052000,10434000,10418000
61,Total Liabilities,60287062,95832204,28631000,36819000,54836000,65507000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,233,278,3000,3000,4000,5000
64,Retained Earnings,-49105092,-67165950,-99649000,-179584000,-234499000,-314566000
65,Other Comprehensive Income/Loss,-990553,-402577,-416000,-428000,-431000,-6560000
66,Other Total Stockholders Equity,664351,1147719,243337000,363012000,522296000,803559000
67,Total Stockholders Equity,-49431061,-66420530,143275000,183003000,287370000,482438000
68,Total Liabilities And Stockholders Equity,10856001,29411674,171906000,219822000,342206000,547945000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10856001,29411674,171906000,219822000,342206000,547945000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603756/000160375619000011/0001603756-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375620000013/0001603756-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375621000014/0001603756-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375622000011/0001603756-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,-17400702,-18060858,-32483000,-79935000,-54915000,-80067000
74,Depreciation and Amortization,625117,725394,946000,1191000,1741000,9126000
75,Deferred Income Tax,- -,- -,- -,- -,- -,582000
76,Stock Based Compensation,321476,461230,606000,8720000,15095000,25164000
77,Change in Working Capital,-881147,17269673,134939477,40194000,82617000,12185000
78,Accounts Receivable,- -,- -,-427000,-7527000,-10781000,-8998000
79,Inventory,- -,-1541325,-2255000,-11986000,-47353000,-1108000
80,Accounts Payable,-1016893,985416,1820000,2446000,4778000,-2862000
81,Other Working Capital,7243850,24513523,159453000,199647000,282264000,294449000
82,Other Non-Cash Items,- -,-18569320,-135378477,-53624000,-128280000,-14296000
83,Cash Provided by Operating Activities,-17335256,-18173881,-31370000,-83454000,-83742000,-47306000
84,CAPEX,-292115,-1039037,-1228000,-1339000,-2938000,-2261000
85,Acquisitions Net,- -,- -,- -,- -,- -,-140741000
86,Purchases of Investments,- -,- -,-78122000,-36404000,- -,- -
87,Sales/Maturities of Investments,- -,- -,19300000,83030000,12592000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-292115,-1039037,-60050000,45287000,9654000,-143002000
90,Debt Repayment,- -,- -,- -,- -,- -,-106000
91,Common Stock Issued,- -,- -,138000000,117590000,149500000,55728000
92,Common Stock Repurchased,- -,-208357,-12623000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1625000,35022184,39965000,-6635000,-5310000,114891000
95,Cash Used/Provided by Financing Activities,1625000,34813827,165342000,110955000,144190000,170513000
96,Effect of Forex Changes on Cash,-291,587976,-14000,-12000,-3000,-508000
97,Net Change In Cash,-16002662,16188885,73908000,72776000,70099000,-20303000
98,Cash at the End of Period,8208663,24397548,98306000,171082000,241181000,220878000
99,Cash at the Beginning of Period,24211325,8208663,24398000,98306000,171082000,241181000
100,Free Cash Flow,-17627371,-19212918,-32598000,-84793000,-86680000,-49567000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603756/000160375619000011/0001603756-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375620000013/0001603756-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375621000014/0001603756-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1603756/000160375622000011/0001603756-22-000011-index.htm
102,false,,,,,,
