,https://roic.ai/company/COCP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,12605146,17190720,- -,9000,78000,- -,- -,- -,6564000,2014000,5427000
2,COGS,- -,- -,- -,- -,8639658,9969068,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,3965488,7221652,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,0.3146,0.4201,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,399624,743091,17499,4071000,47261000,101679000,5822000,58572000,4004000,6307000,8794000
6,General and Administrative Exp.,- -,55854,42848,49493,- -,6340344,3283490,1737000,6765000,4140000,2440000,4352000,4863000,5293000,5427000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,774778,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,55854,42848,49493,- -,7115122,3283490,1737000,6765000,4140000,2440000,4352000,4863000,5293000,5427000
9,Other Expenses,61524,- -,- -,- -,7452864,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,61524,55854,42848,49493,7852488,9858213,3300989,5808000,54026000,105819000,8262000,62924000,8867000,11600000,14221000
11,COGS and Expenses,61524,55854,42848,49493,16492146,19827281,3300989,5808000,54026000,105819000,8262000,62924000,8867000,11600000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,96000,180000,126000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,1242853,5481581,3341981,- -,- -,- -,- -,- -,19000,8000,-4000
14,Depreciation and Amortization,- -,280,336,336,531844,439420,138655,199000,192000,201000,101000,50000,254000,336000,382000
15,EBITDA,-63625,-55574,-42512,-49157,-3679341,-2043601,-3162334,48000,-65178000,-105618000,-8161000,-62874000,-47896000,-9304000,-13807000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.2919,-0.1189,-Infinity,5.3333,-835.6154,-Infinity,-Infinity,-Infinity,-7.2968,-4.6197,-2.5441
17,Operating Income,-61524,-55854,-42848,-49493,-3887000,-2636561,-3300989,-5799000,-53948000,-105819000,-8262000,-62924000,-48406000,-9586000,-14221000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.3084,-0.1534,-Infinity,-644.3333,-691.6410,-Infinity,-Infinity,-Infinity,-7.3745,-4.7597,-2.6204
19,Total Other Income Expenses (Gains),2101,2268,244,83,-1567038,-5328041,-8339123,5648000,-11422000,1551000,769000,294000,237000,-62000,36000
20,Income Before Tax,- -,- -,- -,- -,-5454038,-7964602,-11640112,-151000,-65370000,-104268000,-7493000,-62630000,-48169000,-9648000,-14185000
21,Income Before Tax Ratio,- -,- -,- -,- -,-0.4327,-0.4633,-Infinity,-16.7778,-838.0769,-Infinity,-Infinity,-Infinity,-7.3384,-4.7905,-2.6138
22,Income Tax expense (Gain),- -,- -,- -,- -,3272,- -,- -,-52000,-15248000,-29394000,-6880000,-13582000,- -,- -,- -
23,Net Income,-58723,-52917,-41370,-48478,-5457310,-7964602,-19621901,-99000,-50122000,-74874000,-613000,-49048000,-48169000,-9648000,-14185000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-0.4329,-0.4633,-Infinity,-11.0000,-642.5897,-Infinity,-Infinity,-Infinity,-7.3384,-4.7905,-2.6138
25,EPS,-0.06,-0.03,-0.03,-0.03,-3.30,-3.78,-6.26,-0.57,-2.40,-3.30,-0.03,-1.75,-1.51,-0.17,-0.20
26,EPS Diluted,-0.06,-0.03,-0.03,-0.03,-3.30,-3.78,-6.26,-0.57,-2.40,-3.30,-0.03,-1.75,-1.51,-0.17,-0.20
27,Weighted Average Shares Outstanding,1142758,1256587,1256587,1256587,1681417,2104744,3797917,4083092,21010323,23517398,24149908,28009000,31859000,55217000,71248000
28,Weighted Average Shares Outstanding Diluted,1142758,1256587,1256587,1256587,1681417,2104744,3797917,4083092,21010323,23533098,24149908,28009000,31859000,55217000,71248000
