,https://roic.ai/company/MHH,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,111416000,104693000,96650000,71062000,71788000,89362000,101838000,106901000,113523000,123470000,132008000,147882000,177164000,193574000,194101000,222012000
2,COGS,86062000,82618000,78328000,57635000,57718000,71821000,82629000,86784000,92737000,99671000,105711000,116253000,134636000,145593000,142562000,162568000
3,Gross Profit,25354000,22075000,18322000,13427000,14070000,17541000,19209000,20117000,20786000,23799000,26297000,31629000,42528000,47981000,51539000,59444000
4,Gross Profit Ratio,0.2276,0.2109,0.1896,0.1889,0.1960,0.1963,0.1886,0.1882,0.1831,0.1928,0.1992,0.2139,0.2400,0.2479,0.2655,0.2678
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,14160000,11106000,13006000,15680000,15693000,14815000,15246000,13000000,14400000,27548000,32221000,30994000,38136000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,7400000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",17824000,16016000,14160000,11106000,13006000,15680000,15693000,14815000,15246000,19100000,21800000,27548000,32221000,30994000,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6069000,38136000,44716000
10,Operating Expenses,17824000,16016000,14160000,11106000,13006000,15680000,15693000,14815000,15246000,19100000,21800000,27548000,32221000,37063000,38136000,44716000
11,COGS and Expenses,103886000,98634000,92488000,68741000,70724000,87501000,98322000,101599000,107983000,118771000,127511000,143801000,166857000,182656000,180698000,207284000
12,Interest Income ,82000,- -,72000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),11000,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1768000,770000,724000
14,Depreciation and Amortization,251000,320000,314000,223000,180000,181000,203000,153000,143000,660000,1016000,1942000,3182000,3434000,3589000,- -
15,EBITDA,7864000,6461000,4478000,2495000,1218000,1973000,3687000,5914000,5651000,5085000,5036000,4890000,12596000,20421000,16992000,17610000
16,EBITDA ratio,0.0706,0.0617,0.0463,0.0351,0.0170,0.0221,0.0362,0.0553,0.0498,0.0412,0.0381,0.0331,0.0711,0.1055,0.0875,0.0793
17,Operating Income,7530000,6059000,4162000,2321000,1064000,1861000,3516000,5302000,5540000,4682000,4507000,4081000,11625000,16987000,13403000,17610000
18,Operating Income ratio,0.0676,0.0579,0.0431,0.0327,0.0148,0.0208,0.0345,0.0496,0.0488,0.0379,0.0341,0.0276,0.0656,0.0878,0.0691,0.0793
19,Total Other Income Expenses (Gains),72000,82000,-2000,-49000,-26000,-69000,-32000,-77000,-32000,-257000,-487000,-1133000,-2211000,-1768000,-770000,-724000
20,Income Before Tax,7602000,6141000,4160000,2272000,1038000,1792000,3484000,5225000,5508000,4425000,4020000,2948000,9414000,15219000,12633000,16886000
21,Income Before Tax Ratio,0.0682,0.0587,0.0430,0.0320,0.0145,0.0201,0.0342,0.0489,0.0485,0.0358,0.0305,0.0199,0.0531,0.0786,0.0651,0.0761
22,Income Tax expense (Gain),662000,701000,638000,875000,375000,679000,1345000,1956000,2085000,1672000,1500000,1322000,2723000,4074000,2772000,4665000
23,Net Income,6940000,5440000,3522000,1397000,663000,1113000,2139000,3805000,3423000,2753000,2520000,1626000,6691000,11145000,9861000,12221000
