,https://roic.ai/company/PSIX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,84208,70133,80659,84927,114386,98361,77537,154969000,202342000,237842000,347995000,389446000,339465000,416616000,496038000,546076000,417639000,456255000
2,COGS,- -,- -,63965,39195,- -,- -,- -,128541000,168425000,193316000,280950000,326612000,310276000,365623000,437269000,446188000,359191000,414984000
3,Gross Profit,84208,70133,16694,45732,114386,98361,77537,26428000,33917000,44526000,67045000,62834000,29189000,50993000,58769000,99888000,58448000,41271000
4,Gross Profit Ratio,1.0000,1.0000,0.2070,0.5385,1.0000,1.0000,1.0000,0.1705,0.1676,0.1872,0.1927,0.1613,0.0860,0.1224,0.1185,0.1829,0.1399,0.0905
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,4713000,7377000,10439000,16900000,21681000,18961000,19944000,28601000,24932000,25375000,22435000
6,General and Administrative Exp.,- -,- -,- -,- -,132752,100220,100893,5244000,8299000,11575000,14386000,15718000,- -,- -,- -,- -,51744000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,6666000,5925000,7545000,9715000,11658000,28522000,44256000,59631000,- -,- -,- -
8,"Selling, General and Administrative Exp.",151155,125750,110796,150648,132752,100220,100893,11910000,14224000,19120000,24101000,27376000,28522000,44256000,59631000,54114000,51744000,57871000
9,Other Expenses,9020,11115,12365,6291,5812,4068,2677,- -,- -,- -,- -,4582000,5716000,4838000,5008000,3638000,3053000,2535000
10,Operating Expenses,160175,136865,123161,156939,138564,104288,103570,16623000,21601000,29559000,41001000,53639000,53199000,69038000,93240000,82684000,80172000,82841000
11,COGS and Expenses,160175,136865,187126,196134,138564,104288,103570,145164000,190026000,222875000,321951000,380251000,363475000,434661000,530509000,528872000,439363000,497825000
12,Interest Income ,54,98,25,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1340000,1023000,657000,1331000,4327000,11215000,10841000,7628000,7871000,5714000,- -
14,Depreciation and Amortization,9020,11115,12365,6291,5812,4068,2677,820000,1105000,1568000,4709000,9671000,10298000,9472000,10204000,8799000,8200000,2535000
15,EBITDA,-75426,-37670,-97404,-99315,-18366,23141,-22437,8994000,12973000,-11776000,40579000,27888000,-14346000,-26856000,-36725000,25327000,-12781000,-45908000
16,EBITDA ratio,-0.8957,-0.5371,-1.2076,-1.1694,-0.1606,0.2353,-0.2894,0.0580,0.0641,-0.0495,0.1166,0.0716,-0.0423,-0.0645,-0.0740,0.0464,-0.0306,-0.1006
17,Operating Income,-75967,-66732,-106467,-111207,-24178,-5927,-26033,9805000,12316000,14967000,26044000,9195000,-25341000,-18046000,-36705000,17203000,-21724000,-41570000
18,Operating Income ratio,-0.9021,-0.9515,-1.3200,-1.3094,-0.2114,-0.0603,-0.3357,0.0633,0.0609,0.0629,0.0748,0.0236,-0.0746,-0.0433,-0.0740,0.0315,-0.0520,-0.0911
19,Total Other Income Expenses (Gains),-8479,17947,-3302,5601,- -,25000,919,-2971000,-1471000,-28968000,8495000,4695000,-10518000,-29123000,-17852000,-8546000,-4971000,-6873000
20,Income Before Tax,-84446,-48785,-109769,-105606,-24178,19073,-25114,6834000,10845000,-14001000,34539000,13890000,-35859000,-47169000,-54557000,8657000,-26695000,-48443000
21,Income Before Tax Ratio,-1.0028,-0.6956,-1.3609,-1.2435,-0.2114,0.1939,-0.3239,0.0441,0.0536,-0.0589,0.0993,0.0357,-0.1056,-0.1132,-0.1100,0.0159,-0.0639,-0.1062
22,Income Tax expense (Gain),-57910,800,-3200,800,800,800,800,2773000,4143000,4759000,10813000,-388000,11613000,443000,169000,409000,-3713000,29000
23,Net Income,-26536,-49585,-106569,-106406,-24978,18273,-25914,4061000,6702000,-18760000,23726000,14278000,-47472000,-47612000,-54726000,8248000,-22982000,-48472000
24,Net Income ratio,-0.3151,-0.7070,-1.3212,-1.2529,-0.2184,0.1858,-0.3342,0.0262,0.0331,-0.0789,0.0682,0.0367,-0.1398,-0.1143,-0.1103,0.0151,-0.0550,-0.1062
25,EPS,-0.32,-0.32,-0.96,-0.96,-0.32,0.16,-0.32,0.44,0.74,-1.92,2.22,1.32,-4.34,-6.20,-2.94,0.38,-1.00,-2.11
26,EPS Diluted,-0.32,-0.32,-0.96,-0.96,-0.32,0.16,-0.32,0.44,0.74,-1.92,1.58,0.45,-4.47,-6.20,-2.94,0.38,-1.00,-2.11
