,https://roic.ai/company/HCDI,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,5730300,30953500,- -,72353
2,COGS,4936700,27645100,48393800,50419
3,Gross Profit,793600,3308400,-48393800,21933
4,Gross Profit Ratio,0.1385,0.1069,-Infinity,0.3031
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -
9,Other Expenses,2765900,3466800,5493900,-39268
10,Operating Expenses,2765900,3466800,5493900,-39268
11,COGS and Expenses,7702600,31111900,53887700,11152
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),117700,358300,382900,-249
14,Depreciation and Amortization,210000,581100,620,1472100
15,EBITDA,-544900,540400,-3644680,1482474
16,EBITDA ratio,-0.0951,0.0175,-Infinity,20.4896
17,Operating Income,-1972300,-158400,-3490700,10781700
18,Operating Income ratio,-0.3442,-0.0051,-Infinity,149.0159
19,Total Other Income Expenses (Gains),1131200,-279200,-154600,-10771076
20,Income Before Tax,-841100,-437600,-3645300,10624
21,Income Before Tax Ratio,-0.1468,-0.0141,-Infinity,0.1468
22,Income Tax expense (Gain),517800,-634600,-116800,1767
23,Net Income,-1390400,235600,-3762100,8857
24,Net Income ratio,-0.2426,0.0076,-Infinity,0.1224
25,EPS,-0.26,0.04,-0.84,0.00
26,EPS Diluted,-0.26,0.04,-0.84,0.00
27,Weighted Average Shares Outstanding,5363043,5363043,4214418,5977052
28,Weighted Average Shares Outstanding Diluted,5363043,5363043,4214418,5977052
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1784567/000149315221007553/0001493152-21-007553-index.htm,https://www.sec.gov/Archives/edgar/data/1784567/000178456722000011/0001784567-22-000011-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,81900,430000,2396500,25629200
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,81900,430000,2396500,25629200
34,Net Receivables,52000,11800,78200,1113500
35,Inventory,938400,2239300,- -,- -
36,Other Current Assets,153700,117600,- -,- -
37,Total Current Assets,1226000,2798700,2474700,26742700
38,PP&E,- -,- -,8176000,12629400
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -
