,https://roic.ai/company/SVM,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,39260003,108362762,83523000,107164000,167327000,237962000,181622000,108400000,128465000,107940000,163471000,170039000,170519000,158829000,192105000
2,COGS,-8582,- -,- -,- -,- -,8811976,23322724,35687000,23996000,41944000,61149000,98823000,84420000,100296000,71925000,75285000,82155000,87322000,87284000,107943000
3,Gross Profit,8582,- -,- -,- -,- -,30448027,85040038,47836000,83168000,125383000,176813000,82799000,23980000,28169000,36015000,88186000,87884000,83197000,71545000,84162000
4,Gross Profit Ratio,Infinity,- -,- -,- -,- -,0.7755,0.7848,0.5727,0.7761,0.7493,0.7430,0.4559,0.2212,0.2193,0.3337,0.5395,0.5168,0.4879,0.4505,0.4381
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3699000,- -,- -,- -,- -,- -,- -,386000,679000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,3730745,- -,- -,- -,- -,16572000,30265000,24301000,22964000,18402000,15768000,15591000,17489000,18174000,9647000,11832000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,3730745,- -,- -,- -,- -,16572000,30265000,24301000,22964000,18402000,15768000,15591000,17489000,18174000,9647000,11832000
9,Other Expenses,66250,- -,- -,- -,63224,6275946,12066456,11750000,17246000,5609000,847000,-17942000,-18453000,-19488000,-15426000,-15957000,-19056000,-18081000,-9225000,-1547000
10,Operating Expenses,66250,- -,- -,- -,3793969,6275946,12066456,11750000,17246000,22181000,34811000,6359000,4511000,-1086000,342000,-366000,-1567000,479000,1101000,10285000
11,COGS and Expenses,57668,190319,2484105,- -,3793969,15087922,35389180,47437000,41242000,64125000,95960000,105182000,88931000,99210000,95550000,90182000,94614000,100446000,108161000,118228000
12,Interest Income ,- -,- -,- -,- -,140992,- -,2585192,1342000,868000,1461000,3528000,4507000,3185000,841000,1382000,2206000,2839000,3476000,4023000,3767000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,122000,87000,94000,92000,132000,468000,1084000,760000,449000,631000,579000,346000
14,Depreciation and Amortization,- -,3127,13709,- -,63224,1295418,3725074,7182000,4836000,7135000,13704000,14588000,13536000,22276000,18926000,18913000,19442000,21250000,22673000,533000
15,EBITDA,-61498,1033123,-2205002,- -,-1902555,24468176,64212807,-9752000,52065000,97132000,133284000,71092000,-27483000,-67398000,29095000,82584000,85804000,82476000,66435000,60249000
16,EBITDA ratio,-Infinity,Infinity,-Infinity,- -,-Infinity,0.6232,0.5926,-0.1168,0.4858,0.5805,0.5601,0.3914,-0.2535,-0.5246,0.2695,0.5052,0.5046,0.4837,0.4183,0.3136
17,Operating Income,-57668,-190319,-2484105,- -,-3793969,24172081,72973582,36086000,61320000,100440000,141734000,66829000,-51543000,-96146000,12390000,73289000,75425000,70073000,59374000,71724000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,0.6157,0.6734,0.4320,0.5722,0.6003,0.5956,0.3680,-0.4755,-0.7484,0.1148,0.4483,0.4436,0.4109,0.3738,0.3734
19,Total Other Income Expenses (Gains),3830,-1220315,-265394,- -,-1687197,5233700,6711394,-51489000,-875000,10096000,5142000,4415000,3053000,373000,298000,1446000,2390000,2845000,-5262000,1779000
20,Income Before Tax,- -,- -,- -,- -,-5481166,29405781,79684976,-15403000,60445000,110536000,146876000,71244000,-48490000,-95773000,12688000,74735000,77815000,72918000,54112000,73503000
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,0.7490,0.7354,-0.1844,0.5640,0.6606,0.6172,0.3923,-0.4473,-0.7455,0.1175,0.4572,0.4576,0.4276,0.3407,0.3826
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,1407148,550479,-937000,8560000,21061000,45648000,29201000,-134000,12967000,2749000,19237000,18919000,20871000,8909000,12994000
23,Net Income,-121148,-1425259,-2699705,- -,-5369064,21765610,59937254,-15997000,38547000,68849000,73838000,27211000,-41017000,-103109000,6336000,43674000,46994000,39724000,34274000,46376000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,0.5544,0.5531,-0.1915,0.3597,0.4115,0.3103,0.1498,-0.3784,-0.8026,0.0587,0.2672,0.2764,0.2330,0.2158,0.2414
25,EPS,-0.01,-0.08,-0.03,- -,-0.04,0.15,0.41,-0.11,0.24,0.41,0.43,0.16,-0.24,-0.60,0.04,0.26,0.28,0.24,0.20,0.27
26,EPS Diluted,-0.01,-0.08,-0.03,- -,-0.04,0.14,0.40,-0.11,0.24,0.41,0.43,0.16,-0.24,-0.60,0.04,0.25,0.27,0.23,0.20,0.26
27,Weighted Average Shares Outstanding,9634266,17014848,83619180,- -,127248015,143913693,147660730,152350041,162287528,167806101,172487486,170733504,170830620,170883808,169377066,167185234,167848117,168483412,171713263,174868256
28,Weighted Average Shares Outstanding Diluted,9634266,27840637,83619180,- -,127248015,149674056,150954072,152350041,163571019,169192836,173214711,171059482,170830620,170883808,169377066,171350024,171405904,170386993,174079387,177074004
29,SEC Link,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1340677/000117625616000590/0001176256-16-000590-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625617000237/0001176256-17-000237-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625618000105/0001176256-18-000105-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625619000198/0001176256-19-000198-index.html,https://www.sec.gov/Archives/edgar/data/1340677/000117625620000229/0001176256-20-000229-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1698025,1406315,1960719,3451551,53298108,47092890,41470000,50618000,147224000,109960000,72283000,60614000,60179000,41963000,73003000,49199000,67441000,65777000,118735000
32,Short-Term Investments,- -,- -,3643996,3471935,7462687,5445931,37145656,23962000,44041000,59037000,44551000,45623000,12864000,9343000,19999000,23466000,56910000,47836000,76742000,80357000
33,Cash and Short-Term Investments,- -,1698025,5050311,5432654,10914237,58744039,84238546,65432000,94659000,206261000,154511000,117906000,73478000,69522000,61962000,96469000,106109000,115277000,142519000,199092000
34,Net Receivables,- -,14787,193947,138181,146534,39717,3393487,3182000,2612000,3997000,13583000,1565000,4072000,1311000,2538000,1403000,1221000,4790000,3976000,7523000
35,Inventory,- -,- -,- -,- -,- -,1801278,2389175,1529000,3175000,3895000,7006000,7522000,5362000,6899000,8857000,8710000,11018000,10836000,8430000,9768000
36,Other Current Assets,- -,3838,118099,95728,601511,1235265,1866212,875000,112000,414000,5210000,5118000,6165000,5745000,3960000,4250000,4456000,3958000,3254000,4806000
37,Total Current Assets,- -,1716649,5362358,5666564,11662283,61820299,91887420,71018000,100558000,214567000,180310000,132111000,89077000,83477000,77317000,110832000,122804000,134861000,158179000,221189000
38,PP&E,- -,229279,1371928,1864192,4685498,24180059,75253847,118485000,162272000,235230000,327309000,371308000,297097000,233414000,287125000,271401000,303291000,307537000,291308000,294577000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48887000,71037000,46157000,- -,- -,- -,- -,- -,58581000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48887000,71037000,46157000,- -,- -,- -,- -,- -,58581000
42,Investments,- -,- -,- -,2469564,1162360,- -,17873887,12186000,14838000,61910000,61629000,22039000,6108000,4341000,3420000,9724000,44133000,47956000,53305000,69190000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,2162000,1203000,915000,171000,- -,- -,- -,23224000,27692000,33310000,34334000,35758000,- -
44,Other Non-Current Assets,- -,- -,7288,8267,576840,8093737,5204160,1351000,583000,893000,6015000,1877000,4000000,5057000,-19067000,-21679000,-26644000,-25612000,-25790000,9105000
45,Total Non-Current Assets,- -,229279,1379216,4342023,6424697,32273796,98331894,134184000,178896000,298948000,395124000,444111000,378242000,288969000,294702000,287138000,354090000,364215000,354581000,431453000
46,Other Assets,- -,- -,- -,- -,12849394,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1945928,6741574,10008586,18086980,94094095,190219314,205202000,279454000,513515000,575434000,576222000,467319000,372446000,372019000,397970000,476894000,499076000,512760000,652642000
48,Accounts Payable,- -,31902,133082,196126,1199487,3119908,7026628,15886000,7504000,12770000,23590000,29285000,23802000,21768000,- -,- -,- -,- -,- -,30298000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,658000,1465000,- -,- -,1207000,281000,- -,4836000,- -,- -,4475000,567000,657000
50,Tax Payable,- -,- -,- -,- -,- -,- -,719557,3041000,1658000,3047000,5082000,1349000,515000,662000,- -,2985000,303000,502000,937000,1363000
