,https://roic.ai/company/KRKR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,120507000,299093000,655606000,386764000,316779000
2,COGS,60749000,140317000,380290000,261372000,128844000
3,Gross Profit,59758000,158776000,275316000,125392000,187935000
4,Gross Profit Ratio,0.4959,0.5309,0.4199,0.3242,0.5933
5,Research and Development Exp.,6429000,22075000,35807000,38232000,47518000
6,General and Administrative Exp.,10040000,24125000,131075000,212411000,90636000
7,Selling and Marketing Exp.,32275000,66984000,131301000,140672000,143887000
8,"Selling, General and Administrative Exp.",42315000,91109000,262376000,353083000,234523000
9,Other Expenses,- -,- -,- -,-10103000,-3304000
10,Operating Expenses,48744000,113184000,298183000,381212000,278737000
11,COGS and Expenses,109493000,253501000,678473000,642584000,407581000
12,Interest Income ,12000,22000,- -,- -,- -
13,Interest Expense (Gain),185000,97000,- -,- -,- -
14,Depreciation and Amortization,487000,1603000,4231000,5598000,- -
15,EBITDA,12504000,56020000,-3439000,-270869000,-89469000
16,EBITDA ratio,0.1038,0.1873,-0.0052,-0.7003,-0.2824
17,Operating Income,11014000,45592000,-22867000,-267318000,-94106000
18,Operating Income ratio,0.0914,0.1524,-0.0349,-0.6912,-0.2971
19,Total Other Income Expenses (Gains),818000,9753000,16849000,-8260000,3599000
20,Income Before Tax,11832000,55345000,-6018000,-275578000,-90507000
21,Income Before Tax Ratio,0.0982,0.1850,-0.0092,-0.7125,-0.2857
22,Income Tax expense (Gain),3909000,14827000,19893000,3764000,102000
23,Net Income,7923000,39493000,-27563000,-280231000,-89571000
24,Net Income ratio,0.0657,0.1320,-0.0420,-0.7246,-0.2828
25,EPS,0.14,-2.15,-1.81,-6.88,-2.85
26,EPS Diluted,0.14,-2.15,-1.81,-6.88,-2.85
27,Weighted Average Shares Outstanding,37494341,37494341,15259588,40772678,31427370
28,Weighted Average Shares Outstanding Diluted,37494341,37494341,15259588,40772678,31427370
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,45643000,48968000,177372000,60846000,96965000
32,Short-Term Investments,102334000,145451000,86362000,148344000,119140000
33,Cash and Short-Term Investments,147977000,194419000,263734000,209190000,216105000
34,Net Receivables,64935000,193287000,543152000,304943000,183791000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,5231000,11686000,42357000,16319000,42612000
37,Total Current Assets,218143000,399392000,849243000,530452000,442508000
38,PP&E,532000,15472000,15964000,31306000,16977000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,255000,356000,471000,808000
42,Investments,2951000,- -,41861000,16300000,41442000
43,Tax Assets,54000,306000,3391000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -
45,Total Non-Current Assets,3537000,16033000,61572000,48077000,59227000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,221680000,415425000,910815000,578529000,501735000
48,Accounts Payable,10491000,20270000,139336000,64641000,56266000
49,Short-Term Debt,- -,- -,- -,15132000,21302000
50,Tax Payable,9496000,16917000,35341000,18824000,12836000
51,Deferred Revenue,3546000,4227000,8161000,18849000,28863000
52,Other Current Liabilities,30787000,60208000,119370000,78512000,87453000
