,https://roic.ai/company/MSP,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,387355000,458752000,518785000,618657000
2,COGS,139871000,157307000,150204000,176348000
3,Gross Profit,247484000,301445000,368581000,442309000
4,Gross Profit Ratio,0.6389,0.6571,0.7105,0.7150
5,Research and Development Exp.,54017000,60459000,78932000,107899000
6,General and Administrative Exp.,57913000,73903000,85668000,106478000
7,Selling and Marketing Exp.,98183000,110441000,115790000,139257000
8,"Selling, General and Administrative Exp.",156096000,184344000,201458000,245735000
9,Other Expenses,28953000,27417000,27223000,26471000
10,Operating Expenses,239066000,272220000,307613000,380105000
11,COGS and Expenses,378937000,429527000,457817000,556453000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),55380000,43437000,25348000,455000
14,Depreciation and Amortization,41876000,43162000,49113000,59183000
15,EBITDA,49492000,52900000,105021000,121000000
16,EBITDA ratio,0.1278,0.1153,0.2024,0.1956
17,Operating Income,8418000,29225000,60968000,62204000
18,Operating Income ratio,0.0217,0.0637,0.1175,0.1005
19,Total Other Income Expenses (Gains),-56182000,-62924000,-30408000,-842000
20,Income Before Tax,-47764000,-33699000,30560000,61362000
21,Income Before Tax Ratio,-0.1233,-0.0735,0.0589,0.0992
22,Income Tax expense (Gain),-10041000,-2511000,8062000,9928000
23,Net Income,-37723000,-31188000,22498000,51434000
24,Net Income ratio,-0.0974,-0.0680,0.0434,0.0831
25,EPS,-0.24,-0.12,0.16,0.32
26,EPS Diluted,-0.24,-0.12,0.16,0.31
27,Weighted Average Shares Outstanding,157468029,157212597,140404763,162424260
28,Weighted Average Shares Outstanding Diluted,158214530,157212597,142514848,166248941
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1724570/000172457021000015/0001724570-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1724570/000172457022000011/0001724570-22-000011-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,34559000,27597000,168877000,221421000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,34559000,27597000,168877000,221421000
34,Net Receivables,20090000,27325000,21660000,24834000
