,https://roic.ai/company/HLG,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,349597000,436994000,462754000,514787000,654060000,853295000,1169348000,1499025000,1482599000,1375790000
2,COGS,239066000,293763000,299683000,334528000,491356000,645757000,804674000,1026903000,983175000,728586000
3,Gross Profit,110531000,143231000,163071000,180259000,162704000,207538000,364674000,472122000,499424000,647204000
4,Gross Profit Ratio,0.3162,0.3278,0.3524,0.3502,0.2488,0.2432,0.3119,0.3150,0.3369,0.4704
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24751000,23080000,28622000,33334000,43741000,31110000,63374000,72661000,77536000,51321000
7,Selling and Marketing Exp.,16297000,17630000,15635000,15540000,16753000,21902000,24539000,25003000,26899000,29737000
8,"Selling, General and Administrative Exp.",41048000,40710000,44257000,48874000,60494000,53012000,87913000,97664000,104435000,81058000
9,Other Expenses,-4051000,-4094000,-1792000,-2460000,-1756000,-6325000,-5832000,-25437000,-72776000,-46630000
10,Operating Expenses,36997000,36616000,42465000,46414000,58738000,46687000,82081000,72227000,31659000,34428000
11,COGS and Expenses,276063000,330379000,342148000,380942000,550094000,692444000,886755000,1099130000,1014834000,763014000
12,Interest Income ,11785000,17190000,20152000,7234000,4906000,6709000,11715000,24470000,24833000,35991000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,465000,4363000,1151000
14,Depreciation and Amortization,22773000,24880000,25049000,26187000,65986000,111147000,113574000,133520000,165833000,169728000
15,EBITDA,105799000,148070000,165721000,167181000,165418000,278890000,402450000,536119000,662952000,571326000
16,EBITDA ratio,0.3026,0.3388,0.3581,0.3248,0.2529,0.3268,0.3442,0.3576,0.4472,0.4153
17,Operating Income,73534000,106615000,120606000,133845000,93680000,160851000,280450000,399558000,467765000,612776000
18,Operating Income ratio,0.2103,0.2440,0.2606,0.2600,0.1432,0.1885,0.2398,0.2665,0.3155,0.4454
19,Total Other Income Expenses (Gains),11582000,16575000,20066000,7149000,5752000,6892000,16740000,24935000,20757000,34689000
20,Income Before Tax,85116000,123190000,140672000,140994000,99432000,167743000,297190000,424493000,488522000,647465000
21,Income Before Tax Ratio,0.2435,0.2819,0.3040,0.2739,0.1520,0.1966,0.2542,0.2832,0.3295,0.4706
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,66288000,108713000,121924000,165355000
23,Net Income,83026000,123190000,140672000,140994000,99432000,167743000,222588000,293421000,370832000,235092000
24,Net Income ratio,0.2375,0.2819,0.3040,0.2739,0.1520,0.1966,0.1904,0.1957,0.2501,0.1709
25,EPS,3.23,4.80,5.47,5.82,3.84,6.56,8.64,11.36,14.40,9.12
26,EPS Diluted,3.23,4.80,5.47,5.82,3.84,6.56,8.64,11.36,14.40,9.12
