,https://roic.ai/company/DLPN,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,330000,329927,494873,218980,914551,- -,- -,472824,3863935,2293880,2070194,2999279,9395625,22413044,22551339,25001867,- -
2,COGS,110000,114871,239250,118529,346406,- -,- -,3272,3416145,683032,159539,2290645,10661241,4638710,2176968,5043903,- -
3,Gross Profit,220000,215056,255623,100451,568145,- -,- -,469552,447790,1610848,1910655,708634,-1265616,17774334,20374371,19957964,- -
4,Gross Profit Ratio,0.6667,0.6518,0.5165,0.4587,0.6212,- -,- -,0.9931,0.1159,0.7022,0.9229,0.2363,-0.1347,0.7930,0.9035,0.7983,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,680000,908309,1084377,2758069,3338892,3819001,4410157,1768860,3838795,3557771,3163580,3914559,5114032,13356526,16201121,18296394,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11322616,4268091,4486023,3799765,- -
8,"Selling, General and Administrative Exp.",680000,908309,1084377,2758069,3338892,3819001,4410157,1768860,3838795,3557771,3163580,3914559,16436648,17624617,20687144,22096159,22004063
9,Other Expenses,- -,7183,5801,5611565,286400,23229,- -,- -,- -,- -,- -,- -,- -,1254643,1978804,1946960,- -
10,Operating Expenses,680000,915492,1090178,8369634,3625292,3842230,4410157,1768860,3838795,3557771,3163580,3914559,16436648,18879260,22665948,24043119,- -
11,COGS and Expenses,790000,1030363,1329428,8488163,3971698,3842230,4410157,1772132,7254940,4240803,3323119,6205204,27097889,23517970,24842916,29087022,- -
12,Interest Income ,- -,- -,- -,28,- -,- -,- -,1007,557,198,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1485,28877,121151,38458,221195,198931,142137,336249,562868,660580,940398,4241841,1594940,1050478,1206201,321536
14,Depreciation and Amortization,- -,5697,5801,24925,286400,23229,- -,- -,2939152,521015,19633,1666946,20225,1254643,1978804,1946960,2030226
15,EBITDA,-460000,-693254,-828754,-6870915,-3033247,-3819001,-3380542,-1089708,-110563,-1377767,-1198042,-1460117,-32927613,10100974,-974653,1541585,- -
16,EBITDA ratio,-1.3939,-2.1012,-1.6747,-31.3769,-3.3167,-Infinity,-Infinity,-2.3047,-0.0286,-0.6006,-0.5787,-0.4868,-3.5046,0.4507,-0.0432,0.0617,- -
17,Operating Income,-460000,700436,834555,8269183,3057147,4698546,4410157,- -,3391005,1946923,1252925,3205925,17702264,- -,-4148577,- -,-2556518
18,Operating Income ratio,-1.3939,2.1230,1.6864,37.7623,3.3428,Infinity,Infinity,- -,0.8776,0.8487,0.6052,1.0689,1.8841,- -,-0.1840,- -,-Infinity
19,Total Other Income Expenses (Gains),- -,-1400872,-1697987,-5537026,-262500,-856316,-1029615,208593,-6776969,-4408573,-3126430,-7255946,-54891943,8356317,144642,2473579,2065032
20,Income Before Tax,-460000,-700436,-863432,- -,- -,- -,- -,- -,-3385964,-2461650,-1873505,-4050021,-37189679,7251391,-4003935,-1611576,-491486
21,Income Before Tax Ratio,-1.3939,-2.1230,-1.7448,- -,- -,- -,- -,- -,-0.8763,-1.0731,-0.9050,-1.3503,-3.9582,0.3235,-0.1775,-0.0645,-Infinity
22,Income Tax expense (Gain),- -,3681,6053,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,338867,-1090614,-418199,- -
23,Net Income,-460000,-704117,-869485,-7016991,-3358105,-4919741,-5638703,-1231845,-3385964,-2461650,-1878255,-4067461,-37189679,6912524,-2913321,-1193377,-73287
24,Net Income ratio,-1.3939,-2.1342,-1.7570,-32.0440,-3.6719,-Infinity,-Infinity,-2.6053,-0.8763,-1.0731,-0.9073,-1.3561,-3.9582,0.3084,-0.1292,-0.0477,-Infinity
25,EPS,-0.73,-90.00,-80.00,-154.00,-20.00,-18.00,-18.00,-4.00,-8.00,-6.00,-4.00,-10.00,-48.30,3.60,-1.10,-0.35,-0.35
26,EPS Diluted,-0.73,-90.00,-80.00,-154.00,-20.00,-18.00,-18.00,-4.00,-8.00,-6.00,-4.00,-10.00,-48.30,-1.00,-1.15,-1.00,-0.58
27,Weighted Average Shares Outstanding,630000,8857,10793,45820,177606,269633,312844,320954,409461,409461,409461,409461,877819,1917397,2754679,3304584,5619969
28,Weighted Average Shares Outstanding Diluted,630000,8857,10793,45820,177606,269633,312844,320954,409461,409461,409461,409461,877819,2121765,3231897,4285101,6382937
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1282224/000126967806000080/0001269678-06-000080-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282224/000095012310035274/c99295e10vk.htm,https://www.sec.gov/Archives/edgar/data/1282224/000095012311049576/c16856e10vk.htm,https://www.sec.gov/Archives/edgar/data/1282224/000135448812001538/0001354488-12-001538-index.html,https://www.sec.gov/Archives/edgar/data/1282224/000135448814002019/dpdm_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1282224/000135448815001760/dpdm_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000135448816006837/0001354488-16-006837-index.html,https://www.sec.gov/Archives/edgar/data/1282224/000165495417003390/dolphin_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335018000317/dlpn_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335019000383/dlpn_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335020000274/0001553350-20-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335021000296/0001553350-21-000296-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,42206,56974,37150,51014,3218,1467,18755,282675,706641,198470,2259504,662546,5296873,5542272,2196249,7923280
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,42206,56974,37150,51014,3218,1467,18755,282675,706641,198470,2259504,662546,5296873,5542272,2196249,7923280
34,Net Receivables,100000,43766,69766,- -,- -,- -,- -,- -,- -,- -,479924,560112,3668646,3700618,3173107,3581155,5027101
35,Inventory,10000,10662,10872,2229,94048,91860,8256,7701,7968,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,10000,9509,- -,12364,747,211763,724,26530,244848,88408,2339,10018,3915781,422118,1353338,1086961,945986
37,Total Current Assets,130000,106143,137612,51743,145809,306841,10447,52986,535491,795049,680733,2829634,8246973,9419609,10068717,6864365,13896367
38,PP&E,10000,21285,22312,93803,64789,- -,- -,6275,17732,23474,77690,55413,35188,1110776,1182520,8472752,800071
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12778860,15922601,17947989,19627856
40,Intangible Assets,- -,- -,- -,129135,654538,1208268,- -,- -,1003658,781391,- -,- -,- -,8506745,9395215,8361539,7452059
41,Intangible Assets,- -,- -,- -,129135,654538,1208268,- -,- -,1003658,781391,- -,- -,- -,21285605,25317816,26309528,27079915
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,220000,220000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,1,1549429,8955,19953,734817,43730,5915080,1561153,1200541,705081,- -
45,Total Non-Current Assets,10000,21285,22312,222938,719327,1208268,1,1555704,1030345,824818,812507,99143,5950268,24177534,27920877,35707361,27879986
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,140000,127428,159924,274681,865136,1515109,10448,1608690,1565836,1619867,1493240,2928777,14197241,33597143,37989594,42571726,41776353
48,Accounts Payable,10000,190557,344720,223891,862742,1573028,1388395,1000964,476967,284954,240736,479799,677249,1097006,944232,832089,1190184
49,Short-Term Debt,- -,82362,388705,- -,- -,230087,1030145,3655623,1490000,1435000,6746767,2845000,19727395,7546094,6324965,10470680,5809125
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,352823,- -,- -,- -,- -,- -,46681,48449,522620,309880,- -
52,Other Current Liabilities,260000,54744,414248,8037,653288,1394350,480599,1300463,4046056,6808750,3297580,4734456,19219777,11434035,14145102,10878212,9853201
53,Total Current Liabilities,270000,327663,1147673,231928,1516030,3197465,3251962,5957050,6013023,8528704,10285083,8059255,39671102,20125584,21936919,22490861,16852510
54,Long-Term Debt,- -,- -,- -,- -,- -,230143,- -,- -,- -,- -,- -,7746267,- -,675000,1989283,2981697,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187537,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,6393936,6532665,3286865,7410353,12830644
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,230143,1,- -,- -,- -,- -,7746267,6393936,7395202,5276148,10392050,12830644
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7996231,7756048
61,Total Liabilities,270000,327663,1147673,231928,1516030,3427608,3251963,5957050,6013023,8528704,10285083,15805522,46065038,27520786,27213067,32882911,29683154
62,Preferred Stock,- -,- -,1000,500,500,500,1043,1043,1043,1043,1043,- -,1000,1000,1000,1000,1000
63,Common Stock,30000,33052,32677,307565,738553,897141,962750,962750,1243270,1243270,1228385,1229428,215933,158487,211849,268402,99281
64,Retained Earnings,-610000,-1313107,-2182592,-7852237,-11251009,-27529526,-33168229,-34400074,-34220789,-36682439,-38560694,-42628155,-99812204,-92899680,-94529174,-96024243,- -
65,Other Comprehensive Income/Loss,-120000,-27030,-47559,-354097,-140692,-135055,-65235,-65235,- -,- -,- -,- -,- -,-253777,-1899816,-2255306,- -
66,Other Total Stockholders Equity,570000,1106850,1208725,7941022,10001754,24854441,29028156,29153156,25529289,25529289,25544174,25544174,67727474,99070327,106992668,107698962,19568516
67,Total Stockholders Equity,-130000,-200235,-987749,42753,-650894,-1912499,-3241515,-4348360,-7447187,-9908837,-11787092,-15854553,-31867797,6076357,10776527,9688815,19668797
68,Total Liabilities And Stockholders Equity,140000,127428,159924,274681,865136,1515109,10448,1608690,-1434164,-1380133,-1502009,-49031,14197241,33597143,37989594,42571726,49351951
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,3000000,3000000,2995249,2977808,- -,- -,- -,- -,-7575598
70,Total Liabilities & Equity,140000,127428,159924,274681,865136,1515109,10448,1608690,1565836,1619867,1493240,2928777,14197241,33597143,37989594,42571726,41776353
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1282224/000126967806000080/0001269678-06-000080-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282224/000095012310035274/c99295e10vk.htm,https://www.sec.gov/Archives/edgar/data/1282224/000095012311049576/c16856e10vk.htm,https://www.sec.gov/Archives/edgar/data/1282224/000135448812001538/0001354488-12-001538-index.html,https://www.sec.gov/Archives/edgar/data/1282224/000135448814002019/dpdm_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/1282224/000135448815001760/dpdm_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000135448816006837/0001354488-16-006837-index.html,https://www.sec.gov/Archives/edgar/data/1282224/000165495417003390/dolphin_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335018000317/dlpn_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335019000383/dlpn_10k.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335020000274/0001553350-20-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1282224/000155335021000296/0001553350-21-000296-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-460000,-704117,-869485,-7016991,-3358105,-4919741,-5638703,-1231845,-3385964,-2461650,-1878255,-4067461,-37189679,6912524,-2913321,-1193377,-73287
74,Depreciation and Amortization,- -,5697,5801,24925,286400,23229,- -,- -,2939152,521015,19633,1666946,20225,1254643,1978804,1946960,2030226
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1050375,-342410,-182488
76,Stock Based Compensation,- -,- -,- -,- -,- -,1109493,128500,- -,- -,- -,- -,- -,- -,330065,20422,- -,- -
77,Change in Working Capital,170000,-81520,-788541,829876,-1190036,-1520403,-350891,-2662549,426532,164910,-1870695,4374729,-26194508,20718154,-1162227,-3758294,12670353
78,Accounts Receivable,-70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3668646,1343958,858883,-4034,-1124019
79,Inventory,-10000,-5470,-210,5004,-91819,2188,83604,555,-273,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,20000,- -,- -,- -,638850,710286,-192568,-387431,-230267,-192013,-44218,239063,-1393296,381521,-231242,-150893,346091
