,https://roic.ai/company/DIT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,176100000,179000000,294300000,385500000,466125245,582000000,847116997,772135351,821800000,845922699,839539780,853566512,860451122,907953044,1010538035,1041631892,1174167758,1211052634,1236755388,1281855896,1294625223,1274984408,1322306658,1392388157,1521278763,1672378581
2,COGS,155900000,159400000,262600000,343000000,410511066,536300000,785192882,711974154,762200000,785571912,779406125,789317758,795774780,839813225,938830204,967467852,1095105573,1133695309,1160248793,1205287311,1219855401,1202536285,1245375460,1308364726,1433544831,1571829805
3,Gross Profit,20200000,19600000,31700000,42500000,55614179,45700000,61924115,60161197,59600000,60350787,60133655,64248754,64676342,68139819,71707831,74164040,79062185,77357325,76506595,76568585,74769822,72448123,76931198,84023431,87733932,100548776
4,Gross Profit Ratio,0.1147,0.1095,0.1077,0.1102,0.1193,0.0785,0.0731,0.0779,0.0725,0.0713,0.0716,0.0753,0.0752,0.0750,0.0710,0.0712,0.0673,0.0639,0.0619,0.0597,0.0578,0.0568,0.0582,0.0603,0.0577,0.0601
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,16700000,15900000,25100000,32800000,45910903,42200000,51610419,53049723,51000000,56491004,51721525,50963645,51631324,51539775,54445189,56374612,63250681,63880109,64723824,62769438,61733220,64173895,66781234,72182883,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16700000,15900000,25100000,32800000,45910903,42186916,51610419,53049723,56053767,56491004,51721525,50963645,51631324,51539775,54445189,56374612,63250681,63880109,64723824,62769438,61733220,64173895,66781234,72182883,75051227,79631140
9,Other Expenses,800000,177300000,1100000,1800000,2794996,2613084,3163549,2284608,846233,15694394,1936897,1831640,1386218,1216089,1736817,2234814,2392414,2412613,2386402,2264184,2162667,2049475,2318146,2617591,3116449,3093017
10,Operating Expenses,17500000,193200000,26200000,34600000,48705899,44800000,54773968,55334331,56900000,72185398,53658422,52795285,53017542,52755864,56182006,58609426,65643095,66292722,67110226,65033622,63895887,66223370,69099380,74800474,78167676,82724157
11,COGS and Expenses,173400000,352600000,288800000,377600000,459216965,581100000,839966850,767308485,819100000,857757310,833064547,842113043,848792322,892569089,995012210,1026077278,1160748668,1199988031,1227359019,1270320933,1283751288,1268759655,1314474840,1383165200,1511712507,1654553962
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45144,32686,25949,27599,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,-3900000,- -,- -,-2500000,- -,- -,- -,- -,1627373,1504899,1433790,1359241,1108146,935360,841739,723221,825690,1194373,1598864,1693251,1339560
14,Depreciation and Amortization,800000,900000,1100000,1900000,2794996,2519377,3453268,2520058,2536854,2828321,1936897,1831640,1386218,1216089,1736817,2234814,2392414,2412613,2386402,2264184,2162667,2049475,2318146,2617591,3116449,3093017
15,EBITDA,3100000,4100000,5000000,8000000,8814957,-5680623,6741337,4175531,-3963146,-14822658,1257592,8897944,9912464,21184197,17348528,18014640,16152217,13754431,11913290,13868201,13141561,8313741,8291129,9028398,12495290,24478842
16,EBITDA ratio,0.0176,0.0229,0.0170,0.0208,0.0189,-0.0098,0.0080,0.0054,-0.0048,-0.0175,0.0015,0.0104,0.0115,0.0233,0.0172,0.0173,0.0138,0.0114,0.0096,0.0108,0.0102,0.0065,0.0063,0.0065,0.0082,0.0146
17,Operating Income,2800000,2800000,5400000,7900000,6908280,980106,7150147,4826866,-3843830,-11834611,6475233,11453469,11658800,15383955,15525825,15554614,13419090,11064603,9396369,11534963,10873935,6224753,5918941,6349688,9080986,17824619
18,Operating Income ratio,0.0159,0.0156,0.0183,0.0205,0.0148,0.0017,0.0084,0.0063,-0.0047,-0.0140,0.0077,0.0134,0.0135,0.0169,0.0154,0.0149,0.0114,0.0091,0.0076,0.0090,0.0084,0.0049,0.0045,0.0046,0.0060,0.0107
19,Total Other Income Expenses (Gains),-500000,500000,-1500000,-1700000,-888319,-3780106,-3862078,-3171393,4043830,-4428785,-4720771,-4621716,-2871602,-1523114,-1419013,-1208578,-1018528,-830931,-804841,-772685,-618262,-786177,-1140331,-1537745,-1578975,-1136332
20,Income Before Tax,2300000,3300000,3900000,6200000,6019961,-2800000,3288069,1655473,200000,-16263396,1754462,6831753,8787198,13860841,14106812,14346036,12400562,10233672,8591528,10762278,10255673,5438576,4778610,4811943,7502011,16688287
21,Income Before Tax Ratio,0.0131,0.0184,0.0133,0.0161,0.0129,-0.0048,0.0039,0.0021,0.0002,-0.0192,0.0021,0.0080,0.0102,0.0153,0.0140,0.0138,0.0106,0.0085,0.0069,0.0084,0.0079,0.0043,0.0036,0.0035,0.0049,0.0100
22,Income Tax expense (Gain),1000000,1300000,1500000,2300000,2115522,-1000000,1316000,629000,100000,-4909000,432000,2626000,3194000,5367000,5141000,6282000,5033000,4375000,3632000,4401000,4275000,2489000,1164000,1609000,2143000,4501000
23,Net Income,1300000,1900000,2400000,3800000,3904439,-3300000,1972069,1026473,-4100000,-12741979,-1111305,4440304,5332246,12973735,8965812,8064036,7367562,5858672,4959528,6361278,5980673,2949576,3614610,3202943,5542590,15545265
24,Net Income ratio,0.0074,0.0106,0.0082,0.0099,0.0084,-0.0057,0.0023,0.0013,-0.0050,-0.0151,-0.0013,0.0052,0.0062,0.0143,0.0089,0.0077,0.0063,0.0048,0.0040,0.0050,0.0046,0.0023,0.0027,0.0023,0.0036,0.0093
25,EPS,2.78,4.31,5.24,8.45,8.58,-7.32,3.90,1.92,-7.94,-24.73,-2.80,7.63,9.16,22.61,15.36,13.09,11.56,9.08,7.81,9.96,9.37,4.34,5.47,5.36,9.88,28.24
