,https://roic.ai/company/SWIR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,17157341,23959000,53476000,59703000,77300000,101700000,211200000,107100000,221300000,439900000,567300000,526400000,358000000,333200000,397300000,441900000,548523000,607798000,615015000,690727000,793602000,713513000,448588000,473209000
2,COGS,8448690,11737000,28653000,47035000,69300000,60600000,127600000,69100000,152100000,316800000,407600000,349100000,236600000,231400000,272000000,296200000,369544000,413943000,397724000,456488000,529031000,493523000,289837000,316410000
3,Gross Profit,8708650,12222000,24823000,12668000,8000000,41100000,83600000,38000000,69200000,123100000,159700000,177300000,121400000,101800000,125300000,145700000,178979000,193855000,217291000,234239000,264571000,219990000,158751000,156799000
4,Gross Profit Ratio,0.5076,0.5101,0.4642,0.2122,0.1035,0.4041,0.3958,0.3548,0.3127,0.2798,0.2815,0.3368,0.3391,0.3055,0.3154,0.3297,0.3263,0.3189,0.3533,0.3391,0.3334,0.3083,0.3539,0.3314
5,Research and Development Exp.,2404627,3932000,10662000,14757000,14900000,16000000,24500000,30400000,34100000,43000000,54700000,80100000,60900000,60900000,61800000,73100000,80937000,74020000,72675000,82653000,93707000,86473000,82029000,68425000
6,General and Administrative Exp.,- -,- -,- -,- -,16300000,18200000,29000000,10849000,12886000,37600000,55600000,38596000,26901000,25401000,32733000,35118000,37027000,40321000,40584000,118039000,61582000,118611000,48513000,50104000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,15551000,13714000,- -,- -,52804000,51599000,45499000,37067000,42182000,50476000,54144000,64242000,- -,88587000,22309000,86481000,75971000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,16300000,18200000,29000000,26400000,26600000,37600000,55600000,91400000,78500000,70900000,69800000,77300000,87503000,94465000,104826000,118039000,150169000,140920000,134994000,126075000
9,Other Expenses,5069214,7423000,19140000,25270000,2299000,4250000,7732000,2931000,2889000,3966000,1825000,6428000,48581000,49511000,10447000,12199000,9109000,12360000,18051000,21675000,25829000,20607000,20584000,17066000
10,Operating Expenses,7473842,11355000,29802000,40027000,33499000,38450000,61232000,59731000,63589000,84566000,112125000,177928000,187981000,181311000,142047000,162599000,177549000,180845000,195552000,222367000,269705000,248000000,237607000,211566000
11,COGS and Expenses,15922532,23092000,58455000,87062000,115700000,100200000,183600000,146800000,215700000,401300000,522700000,564100000,400700000,387400000,419500000,459500000,555117000,597684000,593345000,690627000,811877000,771534000,527444000,527976000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000,237000,1009000,269000,163000,245000,253000,429000,131000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197000,345000,134000,154000,71000,159000,156000,263000,818000,- -
14,Depreciation and Amortization,454929,892000,3318000,7161000,7038000,5669000,6915000,9012000,9665000,13791000,16309000,32704000,34990000,32386000,28590000,28296000,23517000,20216000,25894000,30503000,39150000,33177000,32345000,28718000
15,EBITDA,2079678,3040000,2313000,-17881000,-31162000,8169000,36213000,-28433000,20511000,57191000,87109000,-6856000,17682000,2121000,41087000,85252000,5521000,18756000,45921000,38379000,15612000,-26178000,-28087000,-60293000
16,EBITDA ratio,0.1212,0.1269,0.0433,-0.2995,-0.4031,0.0803,0.1715,-0.2655,0.0927,0.1300,0.1536,-0.0130,0.0494,0.0064,0.1034,0.1929,0.0101,0.0309,0.0747,0.0556,0.0197,-0.0367,-0.0626,-0.1274
