,https://roic.ai/company/CLRO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,2300000,3300000,5100000,5500000,5200000,7000000,8700000,8800000,11100000,11469155,13371851,17267886,22990327,30871942,39878405,54542686,57585000,33894000,31645000,37632000,39861000,39752000,- -,41284000,46067000,46417000,49592000,57909000,57796000,48637000,41804000,28156000,25042000,29069000
2,COGS,- -,1500000,2100000,2700000,3500000,2800000,4000000,5100000,4800000,5800000,6279775,6874590,8347300,9877687,11932811,16503062,23000119,35301000,20431000,14951000,19284000,17723000,16461000,- -,16643000,18522000,19089000,19735000,22586000,21077000,19150000,17795000,14785000,13849000,16510000
3,Gross Profit,- -,800000,1200000,2400000,2000000,2400000,3000000,3600000,4000000,5300000,5189380,6497261,8920586,13112640,18939131,23375343,31542567,22284000,13463000,16694000,18348000,22138000,23291000,- -,24641000,27545000,27328000,29857000,35323000,36719000,29487000,24009000,13371000,11193000,12559000
4,Gross Profit Ratio,- -,0.3478,0.3636,0.4706,0.3636,0.4615,0.4286,0.4138,0.4545,0.4775,0.4525,0.4859,0.5166,0.5704,0.6135,0.5862,0.5783,0.3870,0.3972,0.5275,0.4876,0.5554,0.5859,- -,0.5969,0.5979,0.5887,0.6021,0.6100,0.6353,0.6063,0.5743,0.4749,0.4470,0.4320
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,929132,1046757,1142605,1494952,1821656,2502169,4052695,2995000,3908000,5305000,8299000,7535000,7070000,- -,7739000,7128000,8261000,7562000,8969000,8318000,8584000,9342000,7840000,5775000,5512000
6,General and Administrative Exp.,- -,600000,700000,1400000,2200000,1800000,2300000,3200000,4300000,3900000,3801201,5579880,6120825,7474404,9895877,12402291,16756586,30198000,21176000,12513000,12974000,10882000,14342000,- -,6420000,5427000,6934000,6416000,7152000,7493000,7325000,7161000,5950000,6045000,5886000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8685000,8120000,8112000,8896000,11227000,10646000,10032000,10996000,9908000,7935000,6728000
8,"Selling, General and Administrative Exp.",- -,600000,700000,1400000,2200000,1800000,2300000,3200000,4300000,3900000,3801201,5579880,6120825,7474404,9895877,12402291,16756586,30198000,21176000,12513000,12974000,10882000,14342000,- -,15105000,13547000,15046000,15312000,18379000,18139000,17357000,18157000,15858000,13980000,12614000
9,Other Expenses,- -,100000,100000,100000,200000,200000,200000,300000,300000,500000,- -,- -,- -,- -,- -,- -,- -,26001000,- -,180000,-1205000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,700000,800000,1500000,2400000,2000000,2500000,3500000,4600000,5200000,4730333,6626637,7263430,8969356,11717533,14904460,20809281,59194000,25084000,17998000,20068000,18417000,21412000,- -,22844000,20675000,23307000,22874000,27348000,26457000,25941000,27499000,23698000,19755000,18126000
11,COGS and Expenses,- -,2200000,2900000,4200000,5900000,4800000,6500000,8600000,9400000,11000000,11010108,13501227,15610730,18847043,23650344,31407522,43809400,94495000,45515000,32949000,39352000,36140000,37873000,- -,39487000,39197000,42396000,42609000,49934000,47534000,45091000,45294000,38483000,33604000,34636000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1988,7836,- -,- -,- -,397438,446548,- -,52000,425000,813000,1468000,1039000,- -,43000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,100000,100000,200000,200000,100000,100000,100000,200000,185676,196176,- -,- -,- -,42517,23494,- -,183000,104000,- -,4000,5000,- -,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,436000
