,https://roic.ai/company/JRSS,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,4351236,5979610,11872403,18118745,24147957,28402759,31463433,35706197
2,COGS,1555408,1735300,3331264,4882316,7055828,22410523,26795920,15135518
3,Gross Profit,2795828,4244310,8541139,13236429,17092129,5992236,4667513,20570679
4,Gross Profit Ratio,0.6425,0.7098,0.7194,0.7305,0.7078,0.2110,0.1483,0.5761
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1343522,5061647,9242940,13095635,17490784,22410523,26795920,11196429
7,Selling and Marketing Exp.,5344,- -,- -,- -,- -,- -,- -,130246
8,"Selling, General and Administrative Exp.",1348866,5061647,9242940,13095635,17490784,22410523,26795920,11326675
9,Other Expenses,116378,-3198170,-5415151,-8015059,-11232599,-13338661,-14061882,2696065
10,Operating Expenses,1465244,1863477,3827789,5080576,6258185,9071862,12734038,14022740
11,COGS and Expenses,3020652,6796947,12574204,17977951,24546612,44821046,53591840,29158258
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),12765,1011476,1244185,1384826,1324867,1133935,1112000,1137445
14,Depreciation and Amortization,116378,175303,871948,1081123,1268253,1764765,2212022,2696065
15,EBITDA,531104,1800430,3909450,5941876,7242538,7657320,4869782,7882220
16,EBITDA ratio,0.1221,0.3011,0.3293,0.3279,0.2999,0.2696,0.1548,0.2208
17,Operating Income,1317819,917963,2629463,5023110,6657173,5992236,4667513,5593390
18,Operating Income ratio,0.3029,0.1535,0.2215,0.2772,0.2757,0.2110,0.1483,0.1567
19,Total Other Income Expenses (Gains),6857,25299,9321,934,-16231,-379486,-2741155,-396497
20,Income Before Tax,1324676,943262,2638784,5024044,6640942,5612750,1926358,5196893
21,Income Before Tax Ratio,0.3044,0.1577,0.2223,0.2773,0.2750,0.1976,0.0612,0.1455
22,Income Tax expense (Gain),1984,2157,2604,4059,2528,2765650,657699,1369615
23,Net Income,399977,611494,1790713,3471868,4646890,1992970,888061,2679095
24,Net Income ratio,0.0919,0.1023,0.1508,0.1916,0.1924,0.0702,0.0282,0.0750
25,EPS,0.02,0.04,0.11,0.21,0.27,0.11,0.05,0.15
26,EPS Diluted,0.02,0.04,0.11,0.21,0.27,0.11,0.05,0.15
27,Weighted Average Shares Outstanding,16698000,16698000,16620292,16698000,17174318,17938076,16757890,18060070
28,Weighted Average Shares Outstanding Diluted,16698000,16698000,16620292,16698000,17174318,17938076,16783362,18270070
