,https://roic.ai/company/CEA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,8543304000,8172360000,10163882160,11222579520,12152808000,13078989000,14277158000,21038776000,27454443000,37488875000,42521226000,41744804000,40277676000,74462279000,83464581000,85253317000,88245000000,90185000000,93969000000,98904000000,102475000000,115210000000,120796000000,58470000000,66887000000
2,COGS,3456072000,4096116000,5097490920,6154192800,5838884725,6148064553,7738954524,11567724714,15135789223,13608793000,15117147000,31466119000,24860031000,39848094000,48627780000,70073068000,80464403000,78741000000,77237000000,82676000000,91592000000,103476000000,108865000000,72523000000,81828000000
3,Gross Profit,5087232000,4076244000,5066391240,5068386720,6313923275,6930924447,6538203476,9471051287,12318653777,23880082000,27404079000,10278685000,15417645000,34614185000,34836801000,15180249000,7780597000,11444000000,16732000000,16228000000,10883000000,11734000000,11931000000,-14053000000,-14941000000
4,Gross Profit Ratio,0.5955,0.4988,0.4985,0.4516,0.5195,0.5299,0.4579,0.4502,0.4487,0.6370,0.6445,0.2462,0.3828,0.4649,0.4174,0.1781,0.0882,0.1269,0.1781,0.1641,0.1062,0.1018,0.0988,-0.2403,-0.2234
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,2132095000,3943083000,9639713000,10080981000,19263565000,19407530000,8982628000,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1316620000,1805342000,1562945000,1977760000,3323830000,3739682000,3727437000,4138907000,4120000000,3651000000,3133000000,3294000000,3807000000,4134000000,1570000000,1128000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,3448715000,5748425000,11202658000,12058741000,22587395000,23147212000,12710065000,4138907000,4120000000,3651000000,3133000000,3294000000,3807000000,4134000000,1570000000,1128000000
9,Other Expenses,3648168000,3902364000,4045376160,4289959080,11278137000,12070163804,14058137000,19714021000,27685474000,23847072000,22090909000,11182554000,5202835000,5924453000,6878719000,-1719626000,2253400000,1323000000,679000000,878000000,-767000000,-841000000,-1963000000,-1695000000,-1488000000
10,Operating Expenses,3648168000,3902364000,4045376160,4289959080,11278137000,12070163804,14058137000,19714021000,27685474000,27295787000,27839334000,22385212000,17261576000,28511848000,30025931000,10990439000,6392307000,5443000000,4330000000,4011000000,2527000000,2966000000,2171000000,-125000000,-360000000
