,https://roic.ai/company/ENVB,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,200000,1200000,2024187,2781233,1679715,1660371,2201812,1603782,1855934,1269286,1105923,1192447,333201,750706,- -,- -,- -,- -,- -,- -,- -,15976422,36145589,48593712,42998280,39914675,- -,- -
2,COGS,- -,- -,- -,185540,229736,134190,48780,162248,96783,130516,122417,111395,106062,897,63269,- -,- -,- -,- -,- -,- -,- -,10225424,29608932,38355967,34014776,31763955,- -,656643000
3,Gross Profit,- -,- -,- -,1838647,2551497,1545525,1611591,2039564,1506999,1725418,1146869,994528,1086385,332304,687437,- -,- -,- -,- -,- -,- -,- -,5750998,6536657,10237745,8983504,8150720,- -,-656643000
4,Gross Profit Ratio,- -,- -,- -,0.9083,0.9174,0.9201,0.9706,0.9263,0.9397,0.9297,0.9036,0.8993,0.9111,0.9973,0.9157,- -,- -,- -,- -,- -,- -,- -,0.3600,0.1808,0.2107,0.2089,0.2042,- -,-Infinity
5,Research and Development Exp.,- -,- -,- -,2540084,3707995,755899,383176,540269,639223,432826,458940,393004,354138,157739,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174083,4788807000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22690,27211,32811,5687913,8552966,- -,- -,- -,5443234,20499052000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119847,417249,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1300000,4500000,4283860,3529913,2733844,772860,1055192,1183547,1278364,1171716,753301,822597,528106,433667,151441,55569,35875,31395,22690,27211,32811,5807760,8970215,18510120,10794822,12210317,5443234,20499052000
9,Other Expenses,- -,- -,100000,20218450,- -,- -,- -,85969,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157941,1361169,3217191,2903662,2265297,- -,38678918000
10,Operating Expenses,- -,1300000,4600000,27042394,7237908,3489743,1156036,1681430,1822770,1711190,1630656,1146305,1176735,685845,433667,- -,- -,- -,- -,- -,- -,- -,5965701,10331384,21727311,13698484,14475614,5617317,63966777000
11,COGS and Expenses,- -,1300000,4600000,27227934,7467644,3623933,1204816,1843678,1919553,1841706,1753073,1257700,1282797,686742,496936,151441,55569,35875,31395,22690,27211,32811,16191125,39940316,60083278,47713260,46239569,5617317,64623420000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,64857,- -,- -,7201,- -,13230,6730,- -,- -,- -,- -,- -,- -,- -,- -,89918,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,34112,- -,- -,13447,- -,5269,2266,- -,- -,- -,- -,- -,- -,- -,- -,238471,751074,575039,729896,691138,445250,10316000
14,Depreciation and Amortization,- -,- -,-100000,130057,407238,126334,103564,85969,139130,105503,82904,58857,47431,37229,- -,- -,- -,- -,- -,- -,- -,- -,157941,1361169,3217191,2903662,2265297,120872,656643
15,EBITDA,- -,-1200000,-3300000,-24954576,-4251880,-5627489,464856,512100,-103842,117695,-393682,-98233,-29689,-308331,807276,-151441,-55569,-35875,-31395,-22690,-27211,-32811,-1622806,-4416289,-7674345,-6915456,-2258883,-6298554,-56420728357
16,EBITDA ratio,- -,-6.0000,-2.7500,-12.3282,-1.5288,-3.3503,0.2800,0.2326,-0.0647,0.0634,-0.3102,-0.0888,-0.0249,-0.9254,1.0754,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1016,-0.1222,-0.1579,-0.1608,-0.0566,-Infinity,-Infinity
17,Operating Income,- -,- -,- -,-25203747,-4686411,-1944218,455555,358134,-315771,14228,-483787,-151777,-90350,-353541,253770,-151441,-55569,-35875,-31395,-22690,-27211,- -,-1870665,-5379863,-11970689,-7146460,-6324894,-5617317,-64623420000
18,Operating Income ratio,- -,- -,- -,-12.4513,-1.6850,-1.1575,0.2744,0.1627,-0.1969,0.0077,-0.3811,-0.1372,-0.0758,-1.0610,0.3380,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,- -,-0.1171,-0.1488,-0.2463,-0.1662,-0.1585,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,100000,119114,27293,-3809605,-94263,33885,72799,-2036,-6246,-5313,7961,5715,553506,12648,- -,- -,- -,- -,28500,- -,-148553,-1145287,504114,-3402554,1109576,-1247359,8191719000
20,Income Before Tax,- -,- -,- -,-25084633,-4659118,-5753823,361292,392019,-242972,12192,-490033,-157090,-82389,-347826,807276,-138793,-55569,-35875,-31395,-22690,1289,-32811,-2019218,-6525150,-11466575,-10549014,-5215318,-6864676,-56431701000
21,Income Before Tax Ratio,- -,- -,- -,-12.3924,-1.6752,-3.4255,0.2176,0.1780,-0.1515,0.0066,-0.3861,-0.1420,-0.0691,-1.0439,1.0754,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-0.1264,-0.1805,-0.2360,-0.2453,-0.1307,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,310537,60703,38238,6500,10000,-2865,-6100,5420,400,-874,4800,- -,4843,2975,3566,1985,1931,1450,833,-128460,-3747846,-2391762,6348502,388657,- -,7454805000
23,Net Income,- -,-1200000,-3200000,-25395170,-4719821,-5792061,354792,382019,-240107,18292,-495453,-157490,-81515,-352626,807276,-143636,-58544,-39441,-33380,-24621,-161,-33644,-1890758,-2780686,-9074813,-16897516,-5603975,-6864676,-63886506000
24,Net Income ratio,- -,-6.0000,-2.6667,-12.5459,-1.6970,-3.4482,0.2137,0.1735,-0.1497,0.0099,-0.3903,-0.1424,-0.0684,-1.0583,1.0754,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.1183,-0.0769,-0.1867,-0.3930,-0.1404,-Infinity,-Infinity
25,EPS,- -,-2465.27,-5634.89,-23405.69,-4050.08,-5106.62,176.09,176.09,-176.09,6.79,-176.09,-59.05,-30.55,-176.09,176.09,-35.22,-17.61,-17.61,-6.95,-3.57,-0.02,-3.89,-17.00,-21.00,-75.00,-82.00,-11.32,-1.19,-11103.75
26,EPS Diluted,- -,-2465.27,-5634.89,-23405.69,-4050.08,-5106.62,176.09,176.09,-176.09,6.79,-176.09,-59.05,-30.55,-176.09,176.09,-35.22,-17.61,-17.61,-6.95,-3.57,-0.02,-3.89,-17.00,-21.00,-75.00,-82.00,-11.32,-1.19,-11103.75
27,Weighted Average Shares Outstanding,- -,850,991,1085,1170,1259,1919,2654,2683,2692,2686,2667,2668,2769,3400,3691,3691,3691,4806,6895,6895,8656,110434,130685,149827,237900,532201,5753598,5753598
28,Weighted Average Shares Outstanding Diluted,- -,850,991,1085,1170,1259,1919,2654,2683,2692,2686,2667,2668,2769,3400,3691,3691,3691,4806,6895,6895,8656,118743,130685,149827,237900,532201,5753598,5753598
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/890821/000149315220015385/0001493152-20-015385-index.htm,https://www.sec.gov/Archives/edgar/data/890821/000149315221007757/0001493152-21-007757-index.htm,https://www.sec.gov/Archives/edgar/data/890821/000149315222008510/0001493152-22-008510-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,858725,589797,871155,550633,228940,582019,66833,1792,1126,18231,1381,249,5085,1878034,1379887,4882084,1371331,431400,1578460,17355999
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,82908,82908,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,858725,589797,871155,550633,228940,1582019,66833,1792,1126,18231,1381,249,5085,1960942,1462795,4882084,1371331,431400,1578460,17355999
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,499023,345411,325712,155233,74828,- -,- -,- -,- -,- -,- -,- -,- -,4872082,8059910,8838453,7871422,6384148,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
