,https://roic.ai/company/BYSI,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,180000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,1876000,6282000,10437000,88928000,51618000,31342000,41793000
6,General and Administrative Exp.,233000,1193000,1931000,9053000,5927000,8965000,22598000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",233000,1193000,1931000,9053000,5927000,8965000,22598000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2109000,7475000,12368000,97981000,57545000,40307000,64391000
11,COGS and Expenses,2109000,7475000,12368000,97981000,57545000,40307000,64391000
12,Interest Income ,3000,13000,18000,120000,211000,184000,116000
13,Interest Expense (Gain),826000,532000,- -,- -,- -,206000,85000
14,Depreciation and Amortization,- -,10000,18000,32000,48000,77000,77000
15,EBITDA,-2203000,-7496000,-12350000,-97949000,-57497000,-40230000,-60811000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-337.8389
17,Operating Income,-2109000,-7475000,-12368000,-97981000,-57545000,-40307000,-64211000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-356.7278
19,Total Other Income Expenses (Gains),-904000,-577000,-177000,1593000,71000,-26000,390000
20,Income Before Tax,-3013000,-8052000,-12545000,-96388000,-57474000,-40333000,-63821000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-354.5611
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3013000,-7970000,-12010000,-91763000,-54869000,-38085000,-60973000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-338.7389
25,EPS,-0.19,-0.53,-0.71,-4.40,-2.42,-1.55,-2.03
26,EPS Diluted,-0.19,-0.53,-0.71,-4.40,-2.42,-1.55,-2.03
27,Weighted Average Shares Outstanding,15820086,15171370,16879628,20866084,22665265,24645714,29984284
28,Weighted Average Shares Outstanding Diluted,15820086,15171370,16879628,20866084,22665265,24645714,29984284
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1677940/000114036118016587/form20f.htm,https://www.sec.gov/Archives/edgar/data/1677940/000114036119008017/form20f.htm,https://www.sec.gov/Archives/edgar/data/1677940/000114036120010310/form20f.htm,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,392000,10821000,11687000,27481000,3889000,35933000,109537000
32,Short-Term Investments,- -,- -,- -,3074000,- -,- -,- -
33,Cash and Short-Term Investments,392000,10821000,11687000,30555000,3889000,35933000,109537000
34,Net Receivables,764000,- -,- -,- -,481000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,18000,115000,3020000,1789000,1501000,4929000,3863000
37,Total Current Assets,1174000,10936000,14707000,32344000,5871000,40862000,113400000
38,PP&E,- -,34000,80000,123000,282000,2747000,2358000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,121000,361000,910000,946000,1280000
45,Total Non-Current Assets,- -,34000,201000,484000,1192000,3693000,3638000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1174000,10970000,14908000,32828000,7063000,44555000,117038000
48,Accounts Payable,206000,300000,444000,3379000,9586000,2537000,2216000
49,Short-Term Debt,- -,- -,210000,- -,- -,566000,787000
50,Tax Payable,- -,- -,- -,- -,- -,798000,857000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,1350000
52,Other Current Liabilities,2535000,1012000,1955000,1413000,6859000,6950000,9413000
53,Total Current Liabilities,2741000,1312000,2609000,4792000,16445000,10053000,13766000
54,Long-Term Debt,- -,- -,- -,- -,- -,1436000,2167000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,7925000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,7826000,- -,- -,- -,- -,1935000,6555000
58,Total Non-Current Liabilities,7826000,- -,- -,- -,- -,3371000,16647000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,2472000,2146000
61,Total Liabilities,10567000,1312000,2609000,4792000,16445000,13424000,30413000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,2000,2000,2000,2000,3000,4000
64,Retained Earnings,-12148000,-20118000,-32128000,-123891000,-178760000,-216845000,-277818000
65,Other Comprehensive Income/Loss,-42000,-53000,-91000,-182000,42000,140000,-297000
66,Other Total Stockholders Equity,2796000,29119000,44369000,151147000,170950000,246979000,366451000
67,Total Stockholders Equity,-9393000,8950000,12152000,27076000,-7766000,30277000,88340000
68,Total Liabilities And Stockholders Equity,1174000,10262000,14761000,31868000,8679000,43701000,118753000
69,Minority Interest,- -,708000,147000,960000,-1616000,854000,-1715000
70,Total Liabilities & Equity,1174000,10970000,14908000,32828000,7063000,44555000,117038000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1677940/000114036118016587/form20f.htm,https://www.sec.gov/Archives/edgar/data/1677940/000114036119008017/form20f.htm,https://www.sec.gov/Archives/edgar/data/1677940/000114036120010310/form20f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-3013000,-7970000,-12010000,-91763000,-54869000,-38085000,-60973000
74,Depreciation and Amortization,- -,10000,18000,32000,48000,77000,77000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,22683000,6560000,2101000,8194000
77,Change in Working Capital,944000,55000,-1171000,2618000,11218000,-10007000,11146000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,45000,94000,144000,2935000,6207000,-7049000,-321000
81,Other Working Capital,- -,- -,-121000,-240000,-549000,614000,9275000
82,Other Non-Cash Items,923000,1335000,-535000,37634000,-2912000,-2248000,-2189000
83,Cash Provided by Operating Activities,-1146000,-6570000,-13698000,-28796000,-39955000,-48162000,-43745000
84,CAPEX,- -,-40000,-64000,-76000,-207000,-4000,-52000
85,Acquisitions Net,- -,1256000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-3074000,- -,- -,- -
87,Sales/Maturities of Investments,- -,1256000,- -,- -,3074000,- -,- -
