,https://roic.ai/company/GDSI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,695022,641578,14386,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,300,- -,662307,581746,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,-300,- -,32715,59832,14386,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,-Infinity,- -,0.0471,0.0933,1.0000,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,100000,301284,8384247,10081352,1796506,599330,1363752,1277524,1363800,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,13000,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,100000,301284,8384247,10094352,1796506,599330,1363752,1277524,1363800,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,80694,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,- -,100000,301284,8384247,10175046,1796506,599330,1363752,1277524,1363800,- -
11,COGS and Expenses,- -,- -,- -,100000,301584,8384247,10837353,2378252,599330,1363752,1277524,1363800,1085417
12,Interest Income ,- -,- -,- -,- -,- -,59701,43182,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,10000,733198,19585,1150554,56196,42320,415924,2255660,4292001
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,80694,6010,4920,- -,- -,- -,5078
15,EBITDA,- -,- -,- -,-90000,-301584,-8324546,-11556909,-1532767,-982667,-1363752,-1328259,-1436137,-1172610
16,EBITDA ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-16.6281,-2.3891,-68.3072,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,- -,- -,-90000,-301584,-8384247,-10896903,-1736674,-584944,-1363752,-1277524,-1363800,-1085417
18,Operating Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-15.6785,-2.7069,-40.6606,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-9400,-641785,-757453,-952657,-458839,247456,-556834,-1928722,-11521123
20,Income Before Tax,- -,- -,- -,-90000,-310984,-9026032,-11654356,-2689331,-1043783,-1116296,-1834358,-3292522,-12606540
21,Income Before Tax Ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-16.7683,-4.1917,-72.5555,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,- -,- -,-90000,-491091,-9297253,-11657188,-2689331,-1043783,-1116296,-1834358,-3292522,-12606540
24,Net Income ratio,- -,- -,- -,-Infinity,-Infinity,-Infinity,-16.7724,-4.1917,-72.5555,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,- -,- -,-0.00,-0.01,-0.12,-0.11,-0.01,-0.00,-0.00,-0.00,-0.01,-0.02
26,EPS Diluted,- -,- -,- -,-0.00,-0.01,-0.12,-0.11,-0.01,-0.00,-0.00,-0.00,-0.01,-0.02
27,Weighted Average Shares Outstanding,- -,- -,- -,30330000,45302055,74484164,101755501,208438345,530806571,530806571,566130000,615339126,634290506
28,Weighted Average Shares Outstanding Diluted,- -,- -,- -,30330000,45302055,74484164,101755501,208438345,530806571,530806571,566130000,615339126,634290506
29,SEC Link,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1011662/000121390015002213/0001213900-15-002213-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495418006131/0001654954-18-006131-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495419001809/0001654954-19-001809-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495418007193/0001654954-18-007193-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495419007433/0001654954-19-007433-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000165495420004602/0001654954-20-004602-index.htm,https://www.sec.gov/Archives/edgar/data/1011662/000152013821000206/0001520138-21-000206-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,385141,509224,160102,2944,- -,93000,8100,493402,264
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,385141,509224,160102,2944,- -,93000,8100,493402,264
34,Net Receivables,- -,- -,- -,- -,- -,1465874,302400,4261,4261,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,226897,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,122056,81498,99111,22597,20000,- -,6000,- -
37,Total Current Assets,- -,- -,- -,- -,385141,2097154,770897,106316,26858,113000,8100,499402,264
38,PP&E,- -,- -,- -,- -,- -,- -,9040,4920,- -,- -,- -,26282,45704
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,596471,- -,- -,- -,- -,- -,64547
41,Intangible Assets,- -,- -,- -,- -,- -,- -,596471,- -,- -,- -,- -,- -,64547
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,395133,198,2882,2415,2415,- -,- -,- -,590710
45,Total Non-Current Assets,- -,- -,- -,- -,395133,198,608393,7335,2415,- -,- -,26282,700961
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,780274,2097352,1379290,113651,29273,113000,8100,525684,701225
48,Accounts Payable,- -,- -,- -,- -,155,166256,281726,357197,550106,656758,672284,539614,486594
49,Short-Term Debt,- -,- -,- -,- -,117600,25000,98965,155619,108991,1396991,2140300,4260138,5941450
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,695653,694846,197578,558486,1266600,1071971,1490995,1883438,10975517
53,Total Current Liabilities,- -,- -,- -,- -,813408,886102,578269,1071302,1925697,3125720,4303579,6683190,17403561
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103125
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,33974,- -,648615,1557650,- -,- -,- -,1,-1
58,Total Non-Current Liabilities,- -,- -,- -,- -,33974,- -,648615,1557650,- -,- -,- -,1,103124
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,847382,886102,1226884,2628952,1925697,3125720,4303579,6683191,17506685
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000
63,Common Stock,- -,- -,- -,- -,52264,93025,108292,530807,530807,530807,579901,643122,668338
64,Retained Earnings,- -,- -,- -,- -,-7561122,-16858375,-28515563,-30667384,-32711168,-33827464,-35661822,-38954344,-51560884
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-24463,- -,- -,- -,-5078
66,Other Total Stockholders Equity,- -,- -,- -,- -,7326336,17976600,28559677,27621276,30307400,30282937,30785442,32152715,34091164
