,https://roic.ai/company/DEN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20000000,52900000,85300000,81900000,81600000,179372000,265608000,285152000,393651000,451053000,560706000,731536000,971950000,1365702000,882493000,1812496000,2291862000,2436320000,2494184000,2417116000,1243652000,960567000,1115848000,1453734000,1260360000,737596000,1242872000
2,COGS,6700000,13500000,22200000,29200000,29700000,38676000,55940000,72588000,91149000,88445000,114830000,174819000,241107000,375518000,373265000,129046000,173581000,1054591000,1257433000,1265753000,1051260000,1264354000,658611000,708985000,728082000,604195000,619602000
3,Gross Profit,13300000,39400000,63100000,52700000,51900000,140696000,209668000,212564000,302502000,362608000,445876000,556717000,730843000,990184000,509228000,1683450000,2118281000,1381729000,1236751000,1151363000,192392000,-303787000,457237000,744749000,532278000,133401000,623270000
4,Gross Profit Ratio,0.6650,0.7448,0.7397,0.6435,0.6360,0.7844,0.7894,0.7454,0.7685,0.8039,0.7952,0.7610,0.7519,0.7250,0.5770,0.9288,0.9243,0.5671,0.4959,0.4763,0.1547,-0.3163,0.4098,0.5123,0.4223,0.1809,0.5015
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125525000,334593000,366671000,392183000,368087000,292091000,270424000,235565000,225896000,64677000,79258000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26047000,52836000,49246000,64379000,55746000,57454000,51820000,50002000,41810000,37759000,28817000
8,"Selling, General and Administrative Exp.",1800000,4300000,6200000,6600000,7000000,8055000,20260000,10967000,15189000,22629000,28540000,43014000,48972000,-139679000,352321000,147894000,151572000,387429000,415917000,456562000,423833000,349545000,322244000,285567000,267706000,102436000,108075000
9,Other Expenses,8200000,18100000,33100000,53000000,25800000,44732000,80038000,104504000,105949000,115096000,122355000,181158000,239030000,221792000,238323000,921230000,909181000,-30558000,-45229000,-64139000,-113531000,-104273000,-81411000,-79291000,-82265000,46999000,76102000
