,https://roic.ai/company/SUND,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,80813,123650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,39000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,84650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.6846,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,9295,8271,- -,10291,100000,2278009,2338265,3597439,2489938,1569224,1094917,828446,907978
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,9295,8271,- -,10291,100000,2278009,2338265,3597439,2489938,1569224,1094917,828446,907978
9,Other Expenses,- -,133453,57968,24881,- -,- -,8002,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,133453,57968,24881,9295,8271,8002,10291,100000,2278009,2338265,3597439,2489938,1569224,1094917,828446,907978
11,COGS and Expenses,221492,172453,60000,20000,10000,10000,10000,10000,100000,100000,-116210,-311730,-3261750,26455660,1112760,828450,907978
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,13788,17947,5241,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,161,260,-10000,122452,287203,233244,390625,257181,93555,174388,225296
14,Depreciation and Amortization,6245,3686,3304,2190,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-162497,-54474,-80000,-40000,-10000,-10000,-10000,-10000,-110000,-320000,140463,316974,3161745,-26926439,-1962565,-938442,-1330729
16,EBITDA ratio,-2.0108,-0.4405,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-140679,-48803,-57968,-24881,-9295,-8271,-8002,-10291,-100000,-1769598,116213,311732,3261751,-3505535,-1094917,-828446,-907978
18,Operating Income ratio,-1.7408,-0.3947,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-28063,-9357,-12032,-5119,-705,-1729,-1998,291,- -,1559598,-262953,-228002,-490621,-23678085,-961203,-284384,-621589
20,Income Before Tax,-168742,-58160,-70000,-30000,-10000,-10000,-10000,-10000,-100000,-210000,-146740,83730,2771130,-27183620,-2056120,-1112830,-1529567
21,Income Before Tax Ratio,-2.0881,-0.4704,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,758970,-758970,- -,- -,- -
23,Net Income,-168842,-58160,-70000,-30000,-10000,-10000,-10000,-10000,-100000,-210000,-146740,83730,2012150,-26424650,-2056120,-1112830,-1529567
24,Net Income ratio,-2.0893,-0.4704,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.09,-0.03,-0.03,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01,0.00,0.05,-0.60,-0.05,-0.03,-0.04
26,EPS Diluted,-0.09,-0.03,-0.03,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.01,0.00,0.04,-0.60,-0.05,-0.03,-0.04
27,Weighted Average Shares Outstanding,1800331,1900331,1900331,1997138,3760042,3760042,3760042,3760042,35470000,42559660,43137990,44026832,44131515,44128441,42455217,37828441,38904715
28,Weighted Average Shares Outstanding Diluted,1800331,1900331,2486930,1997138,3760042,3760042,3760042,3760042,35470000,42559660,43137990,45373208,45477464,44128441,42455217,37828441,38904715
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1171838/000102317508000105/0001023175-08-000105-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317509000197/0001023175-09-000197-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317510000181/0001023175-10-000181-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000102317511000355/0001023175-11-000355-index.html,- -,https://www.sec.gov/Archives/edgar/data/1171838/000101041213000195/0001010412-13-000195-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000101041214000126/0001010412-14-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000101041215000084/0001010412-15-000084-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000158095716000709/0001580957-16-000709-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000158095718000172/0001580957-18-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000158095718000172/0001580957-18-000172-index.html,https://www.sec.gov/Archives/edgar/data/1171838/000149315220000649/0001493152-20-000649-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000149315220015137/0001493152-20-015137-index.htm,https://www.sec.gov/Archives/edgar/data/1171838/000149315221015565/0001493152-21-015565-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30915,23536,- -,20000,10000,- -,- -,- -,550000,380000,336370,24720,4360,936900,580,28780,21179
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34156010,- -,- -,- -,- -
33,Cash and Short-Term Investments,30915,23536,- -,20000,10000,- -,- -,- -,550000,380000,336370,24720,34160370,936900,580,28780,21179
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211000,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,661,- -,- -,- -,- -,- -,- -,- -,- -,-209120,1870,4700,4710,5110,2210,9393
37,Total Current Assets,30915,24197,- -,20000,10000,- -,- -,- -,550000,380000,338250,26590,34165070,941610,5690,30990,30572
38,PP&E,14525,10839,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
