,https://roic.ai/company/TWTR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,28278000,106313000,316933000,664890000,1403002000,2218032000,2529619000,2443299000,3042359000,3459329000,3716349000,5077482000
2,COGS,43168000,61803000,128768000,266718000,446309000,729256000,932240000,861242000,964997000,1137041000,1366388000,1797510000
3,Gross Profit,-14890000,44510000,188165000,398172000,956693000,1488776000,1597379000,1582057000,2077362000,2322288000,2349961000,3279972000
4,Gross Profit Ratio,-0.5266,0.4187,0.5937,0.5989,0.6819,0.6712,0.6315,0.6475,0.6828,0.6713,0.6323,0.6460
5,Research and Development Exp.,29348000,80176000,119004000,593992000,691543000,806648000,713482000,542010000,553858000,682281000,873011000,1246704000
6,General and Administrative Exp.,16952000,65757000,59693000,123795000,189906000,260673000,293276000,283888000,298818000,359821000,562432000,584336000
7,Selling and Marketing Exp.,6289000,25988000,86551000,316216000,614110000,871491000,957829000,717419000,771361000,913813000,887860000,1175970000
8,"Selling, General and Administrative Exp.",23241000,91745000,146244000,440011000,804016000,1132164000,1251105000,1001307000,1070179000,1273634000,1450292000,1760306000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,52589000,171921000,265248000,1034003000,1495559000,1938812000,1964587000,1543317000,1624037000,1955915000,2323303000,3007010000
11,COGS and Expenses,95757000,233724000,394016000,1300721000,1941868000,2668068000,2896827000,2404559000,2589034000,3092956000,3689691000,4804520000
12,Interest Income ,- -,- -,- -,- -,- -,- -,25300000,- -,111221000,157703000,88178000,35683000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,98178000,99968000,105237000,132606000,138180000,152878000,51186000
14,Depreciation and Amortization,10364000,24192000,72506000,110894000,208165000,312823000,402172000,395867000,425498000,465549000,495177000,544848000
15,EBITDA,-57177000,-105554000,-6664000,-536252000,-370186000,-122304000,61306000,405686000,981648000,993868000,597116000,184921000
16,EBITDA ratio,-2.0220,-0.9929,-0.0210,-0.8065,-0.2639,-0.0551,0.0242,0.1660,0.3227,0.2873,0.1607,0.0364
17,Operating Income,-67479000,-127411000,-77083000,-635831000,-538866000,-450036000,-367208000,38740000,453325000,366373000,26658000,-492739000
18,Operating Income ratio,-2.3863,-1.1985,-0.2432,-0.9563,-0.3841,-0.2029,-0.1452,0.0159,0.1490,0.1059,0.0072,-0.0970
19,Total Other Income Expenses (Gains),-62000,-2335000,-2087000,-11315000,-39485000,-83269000,-73626000,-134158000,-29781000,23766000,-77597000,81626000
20,Income Before Tax,-67541000,-129746000,-79170000,-647146000,-578351000,-533305000,-440834000,-95418000,423544000,390139000,-50939000,-411113000
21,Income Before Tax Ratio,-2.3885,-1.2204,-0.2498,-0.9733,-0.4122,-0.2404,-0.1743,-0.0391,0.1392,0.1128,-0.0137,-0.0810
22,Income Tax expense (Gain),-217000,-1444000,229000,-1823000,-531000,-12274000,16039000,12645000,-782052000,-1075520000,1084687000,-189704000
23,Net Income,-67324000,-128302000,-79399000,-645323000,-577820000,-521031000,-456873000,-108063000,1205596000,1465659000,-1135626000,-221409000
24,Net Income ratio,-2.3808,-1.2068,-0.2505,-0.9706,-0.4118,-0.2349,-0.1806,-0.0442,0.3963,0.4237,-0.3056,-0.0436
25,EPS,-0.15,-1.60,-0.18,-3.41,-0.96,-0.79,-0.65,-0.15,1.60,1.90,-1.44,-0.28
26,EPS Diluted,-0.15,-1.60,-0.18,-3.41,-0.96,-0.79,-0.65,-0.15,1.56,1.87,-1.44,-0.28
27,Weighted Average Shares Outstanding,449900000,102544000,449900000,189510000,604990000,662424000,702135000,732702000,754326000,770729000,787861000,787861000
28,Weighted Average Shares Outstanding Diluted,449900000,102544000,449900000,189510000,604990000,662424000,702135000,732702000,772686000,785531000,787861000,787861000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1418091/000156459015001159/twtr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1418091/000156459016013646/0001564590-16-013646-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459017002584/0001564590-17-002584-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459018003046/0001564590-18-003046-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000156459019003523/0001564590-19-003523-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000141809120000037/0001418091-20-000037-index.html,https://www.sec.gov/Archives/edgar/data/1418091/000141809121000031/0001418091-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1418091/000141809122000029/0001418091-22-000029-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,218996000,203328000,841010000,1510724000,911471000,988598000,1638413000,1894444000,1799082000,1988429000,2186549000
