,https://roic.ai/company/QTRX,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,12180000,17585000,22874000,37632000,56734000,86377000,110556000
2,COGS,6465000,9837000,12887000,19684000,29898000,38195000,48828000
3,Gross Profit,5715000,7748000,9987000,17948000,26836000,48182000,61728000
4,Gross Profit Ratio,0.4692,0.4406,0.4366,0.4769,0.4730,0.5578,0.5583
5,Research and Development Exp.,10083000,16993000,16304000,15805000,16190000,20174000,27978000
6,General and Administrative Exp.,10155000,12466000,19688000,33693000,52246000,59592000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10155000,12466000,19688000,33693000,52246000,59592000,92336000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,20238000,29459000,35992000,49498000,68436000,79766000,120314000
11,COGS and Expenses,26703000,39296000,48879000,69182000,98334000,117961000,169142000
12,Interest Income ,-1040000,-1298000,-952000,46000,- -,- -,- -
13,Interest Expense (Gain),1040000,1298000,951000,-46000,-627000,- -,-403000
14,Depreciation and Amortization,425000,444000,482000,1352000,3009000,4312000,4851000
15,EBITDA,-14478000,-21431000,-25586000,-30205000,-38601000,-27594000,-53204000
16,EBITDA ratio,-1.1887,-1.2187,-1.1186,-0.8026,-0.6804,-0.3195,-0.4812
17,Operating Income,-14523000,-21711000,-26005000,-31550000,-41600000,-31584000,-58586000
18,Operating Income ratio,-1.1924,-1.2346,-1.1369,-0.8384,-0.7332,-0.3657,-0.5299
19,Total Other Income Expenses (Gains),-1420000,-1462000,-1014000,39000,617000,-322000,862000
20,Income Before Tax,-15943000,-23173000,-27019000,-31511000,-40983000,-31906000,-57724000
21,Income Before Tax Ratio,-1.3089,-1.3178,-1.1812,-0.8373,-0.7224,-0.3694,-0.5221
22,Income Tax expense (Gain),- -,- -,- -,25000,-187000,-376000,36000
23,Net Income,-15943000,-23173000,-27019000,-31536000,-40796000,-31530000,-57688000
24,Net Income ratio,-1.3089,-1.3178,-1.1812,-0.8380,-0.7191,-0.3650,-0.5218
25,EPS,-1.25,-1.58,-1.24,-1.39,-1.45,-1.10,-1.58
26,EPS Diluted,-1.25,-1.58,-1.24,-1.39,-1.45,-1.10,-1.58
27,Weighted Average Shares Outstanding,16206849,14483862,21707041,22369036,28112201,28600000,36518177
28,Weighted Average Shares Outstanding Diluted,16206849,14483862,21707041,22369036,28112201,28600000,36518177
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1503274/000104746918001842/0001047469-18-001842-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000104746919001374/0001047469-19-001374-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000155837020002676/0001558370-20-002676-index.html,https://www.sec.gov/Archives/edgar/data/1503274/000155837021002469/0001558370-21-002469-index.htm,https://www.sec.gov/Archives/edgar/data/1503274/000155837022002489/0001558370-22-002489-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,2323000,29671000,79682000,44429000,109155000,181584000,396465000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2323000,29671000,79682000,44429000,109155000,181584000,396465000
34,Net Receivables,2262000,3917000,5599000,6792000,10906000,17184000,23786000
35,Inventory,1002000,1528000,3571000,5945000,10463000,14856000,22190000
36,Other Current Assets,133000,127000,400000,2330000,2137000,5981000,6514000
37,Total Current Assets,5720000,35243000,89252000,59496000,132661000,219605000,448955000
38,PP&E,1080000,1223000,1874000,2923000,12047000,25907000,29451000
39,Goodwill,- -,- -,- -,1308000,9353000,10460000,9632000
40,Intangible Assets,- -,- -,- -,2349000,14307000,13716000,10534000
41,Intangible Assets,- -,- -,- -,3657000,23660000,24176000,20166000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,551000,651000,653000,1535000,1583000,1357000,2955000
45,Total Non-Current Assets,1631000,1874000,2527000,8115000,37290000,51440000,52572000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7351000,37117000,91779000,67611000,169951000,271045000,501527000
48,Accounts Payable,1346000,2549000,3552000,5110000,5777000,6799000,- -
49,Short-Term Debt,2078000,899000,5036000,- -,75000,7673000,1428000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,1474000,3428000,4942000,5437000,4697000,5421000,6361000
52,Other Current Liabilities,2890000,4079000,6184000,7578000,9284000,19910000,29188000
53,Total Current Liabilities,7788000,10955000,19714000,18125000,19833000,39803000,36977000
54,Long-Term Debt,7648000,9344000,4346000,7623000,7587000,7673000,20464000
55,Deferred Revenue,1363000,328000,1709000,520000,466000,577000,1099000
56,Deferred Tax Liabilities,- -,- -,- -,- -,2825000,2649000,2035000
57,Other Non-Current Liabilities,5747000,3014000,144000,278000,10582000,14218000,- -
58,Total Non-Current Liabilities,14758000,12686000,6199000,8421000,21460000,25117000,23598000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,23125000,- -
