,https://roic.ai/company/ALRM,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,96475000,130222000,167312000,208888000,261106000,338937000,420494000,502363000,618003000,748969000
2,COGS,41454000,54958000,67179000,77374000,99380000,116188000,145715000,183599000,227428000,305899000
3,Gross Profit,55021000,75264000,100133000,131514000,161726000,222749000,274779000,318764000,390575000,443070000
4,Gross Profit Ratio,0.5703,0.5780,0.5985,0.6296,0.6194,0.6572,0.6535,0.6345,0.6320,0.5916
5,Research and Development Exp.,8944000,13085000,23193000,40002000,44272000,72755000,89204000,114443000,152147000,177713000
6,General and Administrative Exp.,14099000,29928000,26113000,35473000,57926000,55396000,95750000,69959000,78643000,87406000
7,Selling and Marketing Exp.,13232000,21467000,25836000,32240000,38980000,43490000,55902000,61815000,75967000,86664000
8,"Selling, General and Administrative Exp.",27331000,51395000,51949000,67713000,96906000,98886000,151652000,131774000,154610000,174070000
9,Other Expenses,2230000,3360000,3991000,5808000,6490000,17734000,21721000,22134000,27520000,29715000
10,Operating Expenses,38505000,67840000,79133000,113523000,147668000,189375000,262577000,268351000,334277000,381498000
11,COGS and Expenses,79959000,122798000,146312000,190897000,247048000,305563000,408292000,451950000,561705000,687397000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,4922000,870000,587000
13,Interest Expense (Gain),312000,269000,196000,178000,190000,2199000,2918000,2974000,2596000,15956000
14,Depreciation and Amortization,2432000,3561000,4192000,6199000,7276000,18699000,22621000,22834000,28402000,30955000
15,EBITDA,18953000,11042000,24707000,23842000,21847000,53139000,37238000,84905000,112351000,94064000
16,EBITDA ratio,0.1965,0.0848,0.1477,0.1141,0.0837,0.1568,0.0886,0.1690,0.1818,0.1256
17,Operating Income,16516000,7424000,21000000,17991000,14058000,33374000,12202000,50413000,56298000,61572000
18,Operating Income ratio,0.1712,0.0570,0.1255,0.0861,0.0538,0.0985,0.0290,0.1004,0.0911,0.0822
19,Total Other Income Expenses (Gains),-307000,-212000,-681000,-526000,323000,-1133000,-503000,8483000,23862000,-15503000
20,Income Before Tax,16209000,7212000,20319000,17465000,14381000,32241000,11699000,58896000,80160000,46069000
21,Income Before Tax Ratio,0.1680,0.0554,0.1214,0.0836,0.0551,0.0951,0.0278,0.1172,0.1297,0.0615
22,Income Tax expense (Gain),7280000,2688000,6817000,5697000,4227000,2990000,-9825000,5566000,3500000,-5106000
23,Net Income,8929000,4524000,13502000,11768000,10154000,29251000,21524000,53531000,77853000,52259000
24,Net Income ratio,0.0926,0.0347,0.0807,0.0563,0.0389,0.0863,0.0512,0.1066,0.1260,0.0698
25,EPS,-3.66,0.00,0.35,-0.30,0.22,0.63,0.45,1.11,1.59,1.07
26,EPS Diluted,-3.66,0.00,0.34,-0.30,0.21,0.59,0.43,1.06,1.53,1.03
27,Weighted Average Shares Outstanding,38206840,38206840,37846721,24108362,45716757,46682141,47633739,48427446,48950328,48950328
28,Weighted Average Shares Outstanding Diluted,39742814,39742814,39460148,24108362,47875522,49153948,49692184,50273889,50963190,50963190
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1459200/000145920016000024/0001459200-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920017000007/0001459200-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920018000013/0001459200-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920019000007/0001459200-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920020000005/0001459200-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1459200/000145920021000012/0001459200-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1459200/000145920022000008/0001459200-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,33583000,42572000,128358000,140634000,96329000,146061000,119629000,253459000,710621000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,33583000,42572000,128358000,140634000,96329000,146061000,119629000,253459000,710621000
34,Net Receivables,- -,16579000,17259000,21348000,29810000,40634000,49510000,76373000,83326000,105548000
35,Inventory,- -,2518000,6852000,6474000,10543000,14177000,22990000,34168000,44281000,75276000
36,Other Current Assets,- -,2776000,5161000,4870000,9197000,12796000,9502000,13504000,16348000,26175000
37,Total Current Assets,- -,55456000,71844000,161050000,190184000,163936000,228063000,243674000,397414000,917620000
38,PP&E,- -,3586000,8130000,15446000,20180000,23459000,27757000,38548000,78251000,72192000
39,Goodwill,- -,18480000,21374000,24723000,24723000,63591000,63591000,104963000,112838000,112901000
40,Intangible Assets,- -,5962000,5092000,6318000,4568000,94286000,79067000,103438000,103259000,91406000
41,Intangible Assets,- -,24442000,26466000,31041000,29291000,157877000,142658000,208401000,216097000,204307000
42,Investments,- -,2208000,- -,- -,- -,- -,- -,- -,- -,- -
