,https://roic.ai/company/ONE,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , 
1,Revenue,1089198000,1528619000,2057557000,2862692000,3993873000,3438881000
2,COGS,580235000,729937000,1002266000,1413090000,2072067000,2169739000
3,Gross Profit,508963000,798682000,1055291000,1449602000,1921806000,1269142000
4,Gross Profit Ratio,0.4673,0.5225,0.5129,0.5064,0.4812,0.3691
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,202297000,303270000,381332000,629596000,876609000,810936000
7,Selling and Marketing Exp.,243610000,261330000,369221000,590589000,816658000,820883000
8,"Selling, General and Administrative Exp.",445907000,564600000,750553000,1220185000,1693267000,1631819000
9,Other Expenses,- -,- -,- -,- -,- -,- -
10,Operating Expenses,445907000,564600000,750553000,1220185000,1693267000,1631819000
11,COGS and Expenses,1026142000,1294537000,1752819000,2633275000,3765334000,3801558000
12,Interest Income ,10224000,12365000,13484000,23824000,81207000,37393000
13,Interest Expense (Gain),- -,- -,192000,18660000,60637000,103600000
14,Depreciation and Amortization,54291000,53033000,63584000,119314000,175882000,247965000
15,EBITDA,137994000,313882000,414619000,492389000,603428000,-416049000
16,EBITDA ratio,0.1267,0.2053,0.2015,0.1720,0.1511,-0.1210
17,Operating Income,63056000,234082000,304738000,229417000,228539000,-362677000
18,Operating Income ratio,0.0579,0.1531,0.1481,0.0801,0.0572,-0.1055
19,Total Other Income Expenses (Gains),21158000,25174000,32522000,88888000,87530000,-425773000
20,Income Before Tax,84214000,259256000,337260000,318305000,316069000,-788450000
21,Income Before Tax Ratio,0.0773,0.1696,0.1639,0.1112,0.0791,-0.2293
22,Income Tax expense (Gain),27635000,71496000,92016000,108479000,121541000,-37785000
23,Net Income,56068000,189353000,258827000,245936000,245368000,-729829000
24,Net Income ratio,0.0515,0.1239,0.1258,0.0859,0.0614,-0.2122
25,EPS,12.57,18.29,58.00,37.74,32.06,-112.49
26,EPS Diluted,12.57,18.29,58.00,37.74,32.06,-112.49
27,Weighted Average Shares Outstanding,4460000,5883000,4460000,6517207,6427103,6442945
28,Weighted Average Shares Outstanding Diluted,4460000,5883000,4460000,6517207,6427103,6442945
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722380/000110465919073031/a19-23416_120f.htm,- -
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,170874000,266238000,981772000,1410747000,1386412000,1158044000
32,Short-Term Investments,344633000,743385000,413883000,815854000,454426000,486756000
33,Cash and Short-Term Investments,515507000,1009623000,1395655000,2226601000,1840838000,1644800000
34,Net Receivables,32200000,40000000,87254000,88150000,346042000,203153000
35,Inventory,- -,- -,- -,- -,- -,- -
36,Other Current Assets,77651000,110395000,126836000,164814000,232745000,329449000
37,Total Current Assets,625358000,1160018000,1609745000,2479565000,2419625000,2177402000
38,PP&E,102710000,126009000,272226000,449990000,567987000,2062444000
39,Goodwill,225000,9114000,58676000,372077000,815052000,1481401000
40,Intangible Assets,- -,- -,9729000,112119000,168622000,277953000
41,Intangible Assets,225000,9114000,68405000,484196000,983674000,1759354000
42,Investments,19182000,45941000,267051000,484103000,1487638000,1048178000
43,Tax Assets,23909000,31115000,29096000,37455000,83104000,191721000
44,Other Non-Current Assets,27133000,46870000,71087000,267618000,529447000,659292000
45,Total Non-Current Assets,173159000,259049000,707865000,1723362000,3651850000,5720989000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,798517000,1419067000,2317610000,4202927000,6071475000,7898391000
48,Accounts Payable,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,5000000,45000000,321696000,1568039000
50,Tax Payable,54881000,61117000,69260000,74842000,116568000,109950000
51,Deferred Revenue,751063000,1070777000,1548689000,2013177000,2191415000,2563742000
52,Other Current Liabilities,271773000,335850000,434669000,603294000,877189000,984973000
53,Total Current Liabilities,1022836000,1406627000,1988358000,2661471000,3390300000,5116754000
54,Long-Term Debt,- -,- -,- -,405000000,1345754000,2191945000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,23528000,57066000,71025000
57,Other Non-Current Liabilities,6169000,9083000,13012000,17685000,120882000,76694000
58,Total Non-Current Liabilities,6169000,9083000,13012000,446213000,1523702000,2339664000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1412191000
61,Total Liabilities,1029005000,1415710000,2001370000,3107684000,4914002000,7456418000
62,Preferred Stock,1749900000,1749900000,1749900000,- -,- -,- -
63,Common Stock,17000,17000,17000,42000,42000,42000
64,Retained Earnings,-1981681000,-1822224000,-1567136000,-4535042000,-4300153000,-5035172000
65,Other Comprehensive Income/Loss,30000,5828000,22862000,133172000,94228000,111437000
66,Other Total Stockholders Equity,- -,57348000,82139000,5426503000,5298233000,5324330000
67,Total Stockholders Equity,-231734000,-9131000,287782000,1024675000,1092350000,400637000
68,Total Liabilities And Stockholders Equity,797271000,1406579000,2289152000,4132359000,6006352000,7857055000
69,Minority Interest,1246000,12488000,28458000,70568000,65123000,41336000
70,Total Liabilities & Equity,798517000,1419067000,2317610000,4202927000,6071475000,7898391000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722380/000110465919073031/a19-23416_120f.htm,- -
72,CASH FLOW STATEMENT, , , , , , 
73,Net Income,56068000,189353000,258827000,245936000,245368000,-729829000
74,Depreciation and Amortization,54291000,53033000,63584000,119314000,175882000,247965000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,57348000,24975000,146486000,71532000,137986000
77,Change in Working Capital,284847000,317128000,454625000,413925000,-22927000,-169121000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -
81,Other Working Capital,194671000,288741000,453716000,360799000,-99877000,185105000
82,Other Non-Cash Items,734000,-3147000,-28730000,-58291000,-124481000,753691000
83,Cash Provided by Operating Activities,395940000,613715000,773281000,867370000,345374000,240692000
84,CAPEX,-47002000,-84274000,-172696000,-242041000,-283964000,-193166000
85,Acquisitions Net,-600000,-2228000,-43223000,-229495000,-196257000,-75910000
86,Purchases of Investments,-364269000,-758456000,-625089000,-2130445000,-1940711000,-763556000
87,Sales/Maturities of Investments,50232000,344633000,758532000,1413289000,1255937000,404859000
88,Other Investing Activites,2569000,3595000,764000,19448000,-227340000,-279158000
89,Cash Used for Investing Activites,-359070000,-496730000,-81712000,-1169244000,-1392335000,-906931000
90,Debt Repayment,- -,- -,- -,-15000000,-95000000,-322418000
91,Common Stock Issued,- -,- -,- -,1048660000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-203760000,-70889000
93,Dividends Paid,- -,-1422100000,- -,-2638646000,- -,- -
94,Other Financing Activites,1230000,1400479000,23965000,2257591000,1287118000,1042066000
95,Cash Used/Provided by Financing Activities,1230000,-21621000,23965000,652605000,988358000,648759000
96,Effect of Forex Changes on Cash,- -,- -,- -,78244000,34268000,-23647000
97,Net Change In Cash,38100000,95364000,715534000,428975000,-24335000,-41127000
98,Cash at the End of Period,170874000,266238000,981772000,1410747000,1386412000,1345285000
99,Cash at the Beginning of Period,132774000,170874000,266238000,981772000,1410747000,1386412000
100,Free Cash Flow,348938000,529441000,600585000,625329000,61410000,47526000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1722380/000110465919073031/a19-23416_120f.htm,- -
102,Forex Rate,0.1568,0.1497,0.1517,0.1463,0.1397,0.146
