,https://roic.ai/company/ABILF,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,5903000,- -,52151000,16508000,2972000,539000,1885000,1726000
2,COGS,4785000,- -,29654000,8617000,2957000,1637000,3117000,2806000
3,Gross Profit,1118000,- -,22497000,7891000,15000,-1098000,-1232000,-1080000
4,Gross Profit Ratio,0.1894,- -,0.4314,0.4780,0.0050,-2.0371,-0.6536,-0.6257
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,419000,948835,1317000,7884000,5940000,6503000,4818000,2380000
7,Selling and Marketing Exp.,665000,- -,3305000,5323000,3033000,2569000,1535000,1021000
8,"Selling, General and Administrative Exp.",1084000,948835,4622000,13207000,8973000,9072000,6353000,3401000
9,Other Expenses,- -,- -,- -,- -,76000,- -,- -,1950000
10,Operating Expenses,1084000,- -,4622000,13207000,9049000,9072000,6353000,5351000
11,COGS and Expenses,5869000,948835,34276000,21824000,12006000,10709000,9470000,8157000
12,Interest Income ,- -,34137,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,19000,152000,278000
14,Depreciation and Amortization,115000,- -,132000,342000,489000,478000,766000,699000
15,EBITDA,-222000,-948835,17908000,-6625000,-8622000,-9692000,-6819000,-5732000
16,EBITDA ratio,-0.0376,-Infinity,0.3434,-0.4013,-2.9011,-17.9814,-3.6175,-3.3210
17,Operating Income,34000,-948835,17875000,-7094000,-9034000,-10170000,-7585000,-6431000
18,Operating Income ratio,0.0058,-Infinity,0.3428,-0.4297,-3.0397,-18.8683,-4.0239,-3.7260
19,Total Other Income Expenses (Gains),-371000,34137,-99000,127000,-77000,-19000,-152000,-278000
20,Income Before Tax,-337000,-914698,17776000,-6967000,-9111000,-10189000,-7737000,-6709000
21,Income Before Tax Ratio,-0.0571,-Infinity,0.3409,-0.4220,-3.0656,-18.9035,-4.1045,-3.8870
