,https://roic.ai/company/HPP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,6963000,35588000,39337000,60640000,142189000,166156000,205558000,253415000,520850000,639639000,728139000,728418000,818182000,804965000,896835000
2,COGS,4047000,17340000,19088000,30027000,67186000,77917000,87583000,104269000,189857000,228745000,253507000,267710000,301522000,299779000,335847000
3,Gross Profit,2916000,18248000,20249000,30613000,75003000,88239000,117975000,149146000,330993000,410894000,474632000,460708000,516660000,505186000,560988000
4,Gross Profit Ratio,0.4188,0.5128,0.5148,0.5048,0.5275,0.5311,0.5739,0.5885,0.6355,0.6424,0.6518,0.6325,0.6315,0.6276,0.6255
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,4493000,13038000,16497000,19952000,28253000,38534000,52400000,54459000,61027000,71947000,77882000,72478000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,4493000,13038000,16497000,19952000,28253000,38534000,52400000,54459000,61027000,71947000,77882000,72478000
9,Other Expenses,1359000,8695000,12198000,15912000,44660000,57024000,70063000,72216000,245071000,269087000,283570000,251003000,282088000,299682000,343614000
10,Operating Expenses,1359000,8695000,12198000,20405000,57698000,73521000,90015000,100469000,283605000,321487000,338029000,312030000,354035000,377564000,416092000
11,COGS and Expenses,5406000,26035000,31286000,50432000,124884000,151438000,177598000,204738000,473462000,550232000,591536000,579740000,655557000,677343000,751939000
12,Interest Income ,43000,45000,17000,59000,73000,306000,272000,30000,124000,260000,97000,1718000,4044000,4089000,3794000
13,Interest Expense (Gain),3860000,10244000,8352000,8831000,17480000,19071000,25470000,25932000,50667000,76044000,84005000,77202000,99587000,106938000,111476000
14,Depreciation and Amortization,741000,6599000,10652000,15975000,44926000,53460000,64824000,66581000,222998000,251513000,268013000,235832000,271712000,292399000,334566000
15,EBITDA,2341000,15133000,19035000,21556000,51972000,67546000,88021000,115886000,253730000,362025000,421244000,412405000,415328000,401373000,456089000
16,EBITDA ratio,0.3362,0.4252,0.4839,0.3555,0.3655,0.4065,0.4282,0.4573,0.4871,0.5660,0.5785,0.5662,0.5076,0.4986,0.5086
17,Operating Income,1557000,9553000,8051000,10208000,17305000,14718000,27960000,48677000,47388000,89407000,136603000,148678000,162625000,127622000,-61000
18,Operating Income ratio,0.2236,0.2684,0.2047,0.1683,0.1217,0.0886,0.1360,0.1921,0.0910,0.1398,0.1876,0.2041,0.1988,0.1585,-0.0001
19,Total Other Income Expenses (Gains),- -,-856000,315000,-12890000,-2136000,-19724000,-26545000,-24991000,-63470000,-45649000,-42042000,-36897000,-106779000,-111192000,29073000
20,Income Before Tax,- -,- -,- -,-2682000,- -,-5006000,1415000,23686000,-16082000,43758000,94561000,111781000,55846000,16430000,29012000
21,Income Before Tax Ratio,- -,- -,- -,-0.0442,- -,-0.0301,0.0069,0.0935,-0.0309,0.0684,0.1299,0.1535,0.0683,0.0204,0.0323
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-2260000,-1710000,31000,-3250000,-10434000,-4985000,-2273000,23373000,-19935000,34468000,69226000,99371000,44029000,2036000,10047000
24,Net Income ratio,-0.3246,-0.0480,0.0008,-0.0536,-0.0734,-0.0300,-0.0111,0.0922,-0.0383,0.0539,0.0951,0.1364,0.0538,0.0025,0.0112
25,EPS,-0.11,-0.08,0.00,-0.14,-0.35,-0.41,-0.27,0.15,-0.19,0.26,0.44,0.63,0.28,0.00,0.04
26,EPS Diluted,-0.11,-0.08,0.00,-0.14,-0.35,-0.41,-0.27,0.15,-0.19,0.25,0.44,0.63,0.28,0.00,0.04
27,Weighted Average Shares Outstanding,20297096,20297096,20297096,22436950,29392920,41640691,55182647,65792447,85927216,106188902,153488730,155445247,154404427,153126027,151618282
28,Weighted Average Shares Outstanding Diluted,20297096,20297096,20297096,22436950,29392920,41640691,55182647,65792447,85927216,110369055,153882814,155696486,156602408,153169025,151943360
