,https://roic.ai/company/ADT,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,466557000,549276000,2949766000,4315502000,4581673000,5125657000,5314787000,5307000000
2,COGS,200054000,249112000,693430000,895736000,1041336000,1390284000,1516528000,1550000000
3,Gross Profit,266503000,300164000,2256336000,3419766000,3540337000,3735373000,3798259000,3757000000
4,Gross Profit Ratio,0.5712,0.5465,0.7649,0.7924,0.7727,0.7288,0.7147,0.7079
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,134299000,159111000,858896000,1209200000,1246950000,1406532000,1722906000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",134299000,159111000,858896000,1209200000,1246950000,1406532000,1722906000,1789000000
9,Other Expenses,79650000,125198000,1232967000,1863299000,1930929000,1989082000,1913767000,- -
10,Operating Expenses,213949000,284309000,2091863000,3072499000,3177879000,3395614000,3636673000,1789000000
11,COGS and Expenses,414003000,533421000,2785293000,3968235000,4219215000,4785898000,5153201000,3339000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),59329000,74298000,521491000,732841000,663204000,619573000,708189000,-458000000
14,Depreciation and Amortization,79650000,125198000,1232967000,1863299000,1930929000,1989082000,1913767000,1915000000
15,EBITDA,123039000,97312000,951720000,2174454000,1961515000,2086463000,1843037000,1246000000
16,EBITDA ratio,0.2637,0.1772,0.3226,0.5039,0.4281,0.4071,0.3468,0.2348
17,Operating Income,42302000,-28542000,-229315000,282439000,277840000,196444000,40640000,15278000
18,Operating Income ratio,0.0907,-0.0520,-0.0777,0.0654,0.0606,0.0383,0.0076,0.0029
19,Total Other Income Expenses (Gains),-58242000,-73642000,-573423000,-704125000,-910458000,-718636000,-819559000,-486278000
20,Income Before Tax,-15940000,-102184000,-802738000,-421686000,-632618000,-522192000,-778919000,-471000000
21,Income Before Tax Ratio,-0.0342,-0.1860,-0.2721,-0.0977,-0.1381,-0.1019,-0.1466,-0.0888
22,Income Tax expense (Gain),2548000,-29340000,-266151000,-764313000,-23463000,-98042000,-146726000,130000000
23,Net Income,-18488000,-72844000,-536587000,342627000,-609155000,-424150000,-632193000,-341000000
24,Net Income ratio,-0.0396,-0.1326,-0.1819,0.0794,-0.1330,-0.0828,-0.1189,-0.0643
25,EPS,-0.03,-0.10,-0.77,0.46,-0.81,-0.57,-0.82,-0.45
26,EPS Diluted,-0.03,-0.10,-0.77,0.46,-0.81,-0.57,-0.82,-0.44
27,Weighted Average Shares Outstanding,694632000,694632000,694296000,748949378,748000000,747000000,760000000,760000000
28,Weighted Average Shares Outstanding Diluted,694632000,694632000,694296000,748949378,748000000,747000000,778000000,778000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1703056/000170305618000008/0001703056-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305619000042/0001703056-19-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305620000013/0001703056-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305621000020/0001703056-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1703056/000170305622000042/0001703056-22-000042-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,15759000,75891000,122899000,363177000,48736000,204998000,24000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,15759000,75891000,122899000,363177000,48736000,204998000,24000000
34,Net Receivables,- -,71501000,135218000,148822000,245714000,287243000,336033000,442000000
35,Inventory,- -,24034000,108889000,106924000,115315000,138402000,216151000,277000000
36,Other Current Assets,- -,30399000,68358000,77241000,129811000,151102000,210212000,250000000
37,Total Current Assets,- -,141693000,388356000,455886000,854017000,625483000,967394000,993000000
38,PP&E,- -,34822000,3179727000,3225128000,3234266000,3068027000,2988944000,364000000
39,Goodwill,- -,927896000,5013376000,5070586000,5081887000,4959658000,5236302000,5943000000
