,https://roic.ai/company/GILD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1300000,2800000,4200000,4100000,2700000,33400000,40000000,32600000,169000000,195555000,233769000,466790000,867864000,1324621000,2028400000,3026139000,4230045000,5335750000,7011383000,7949420000,8385385000,9702517000,11201688000,24890000000,32639000000,30390000000,26107000000,22127000000,22449000000,24689000000,27305000000
2,COGS,- -,-800000,-1000000,-1700000,-2800000,-3200000,-3600000,-1800000,-2200000,16900000,21504000,43764000,69724000,112691000,166587000,260326000,433320000,768771000,1127246000,1595558000,1869876000,2124410000,2471363000,2858502000,3788000000,4006000000,4261000000,4371000000,4853000000,4675000000,4572000000,6601000000
3,Gross Profit,- -,2100000,3800000,5900000,6900000,5900000,37000000,41800000,34800000,152100000,174051000,190005000,397066000,755173000,1158034000,1768074000,2592819000,3461274000,4208504000,5415825000,6079544000,6260975000,7231154000,8343186000,21102000000,28633000000,26129000000,21736000000,17274000000,17774000000,20117000000,20704000000
4,Gross Profit Ratio,- -,1.6154,1.3571,1.4048,1.6829,2.1852,1.1078,1.0450,1.0675,0.9000,0.8900,0.8128,0.8506,0.8702,0.8742,0.8717,0.8568,0.8183,0.7887,0.7724,0.7648,0.7467,0.7453,0.7448,0.8478,0.8773,0.8598,0.8326,0.7807,0.7918,0.8148,0.7582
5,Research and Development Exp.,- -,- -,- -,- -,26000000,- -,41900000,59200000,75300000,112900000,131568000,185553000,134758000,164873000,223552000,277724000,383861000,591026000,721768000,939918000,1072930000,1229151000,1759945000,2119756000,2854000000,3014000000,5098000000,3734000000,5018000000,9106000000,5039000000,5363000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,26700000,25500000,31000000,78300000,82793000,125141000,181301000,250157000,302793000,379248000,573660000,705741000,797344000,946686000,1044392000,1241983000,1461034000,1699431000,2983000000,3426000000,3398000000,3878000000,4056000000,4381000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,6100000,9100000,22400000,7600000,34700000,26700000,25500000,31000000,78300000,82793000,125141000,181301000,250157000,302793000,379248000,573660000,705741000,797344000,946686000,1044392000,1241983000,1461034000,1699431000,2983000000,3426000000,3398000000,3878000000,4056000000,4381000000,5151000000,5246000000
9,Other Expenses,- -,800000,1000000,1700000,2800000,3200000,4500000,3000000,2800000,12600000,12008000,- -,- -,10219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
