,https://roic.ai/company/KALV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,1538000,415000,29000,29000,2133000,1504000,8394000,16127000,12690000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,1959000,4229000,8294000,16199000,14661000,12666000,18237000,35021000,40194000,41286000
6,General and Administrative Exp.,- -,1412000,1402000,3412000,4866000,2653000,11177000,8862000,10926000,13029000,16637000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1412000,1402000,3412000,4866000,2653000,11177000,8862000,10926000,13029000,16637000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,3371000,5631000,11706000,21065000,17314000,23843000,27099000,45947000,53223000,57923000
11,COGS and Expenses,- -,3371000,5631000,11706000,21065000,17314000,23843000,27099000,45947000,53223000,57923000
12,Interest Income ,- -,1000,2000,2000,5000,50000,36000,82000,1397000,1830000,903000
13,Interest Expense (Gain),- -,256000,405000,1082000,1188000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,38000,27000,54000,133000,33000,40000,180000,378000,512000,537000
15,EBITDA,- -,-1759000,-5246000,-12223000,-23525000,-11403000,-18563000,-15625000,-20314000,-28728000,-58233000
16,EBITDA ratio,- -,-1.1437,-12.6410,-421.4828,-811.2069,-5.3460,-12.3424,-1.8614,-1.2596,-2.2638,-Infinity
17,Operating Income,- -,-1833000,-5216000,-11677000,-21036000,-15181000,-22339000,-18705000,-29820000,-40533000,-57923000
18,Operating Income ratio,- -,-1.1918,-12.5687,-402.6552,-725.3793,-7.1172,-14.8531,-2.2284,-1.8491,-3.1941,-Infinity
19,Total Other Income Expenses (Gains),- -,-220000,-462000,-1682000,-3810000,3745000,3736000,2900000,9128000,11293000,11679000
20,Income Before Tax,- -,-2053000,-5678000,-13359000,-24846000,-11436000,-18603000,-15805000,-20692000,-29240000,-46244000
21,Income Before Tax Ratio,- -,-1.3349,-13.6819,-460.6552,-856.7586,-5.3615,-12.3690,-1.8829,-1.2831,-2.3042,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,124000,-124000,- -
23,Net Income,- -,-2053000,-5678000,-13359000,-24846000,-11436000,-18603000,-15805000,-20816000,-29116000,-46244000
24,Net Income ratio,- -,-1.3349,-13.6819,-460.6552,-856.7586,-5.3615,-12.3690,-1.8829,-1.2908,-2.2944,-Infinity
25,EPS,- -,-2.83,-2.38,-20.44,-18.20,-26.17,-4.47,-1.53,-1.38,-1.64,-2.42
26,EPS Diluted,- -,-2.83,-2.38,-20.44,-18.20,-26.17,-4.47,-1.53,-1.38,-1.64,-2.42
27,Weighted Average Shares Outstanding,- -,724800,2332817,724800,1363051,591298,4646764,10321780,15080863,17748666,19094440
28,Weighted Average Shares Outstanding Diluted,- -,724800,2332817,724800,1363051,591298,4646764,10321780,15080863,17748666,19094440
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1348911/000156459016015646/0001564590-16-015646-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459016019244/0001564590-16-019244-index.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459017014286/0001564590-17-014286-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459018017915/0001564590-18-017915-index.html,https://www.sec.gov/Archives/edgar/data/1348911/000156459019025009/kalv-10k_20190430.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459020031501/0001564590-20-031501-index.htm,https://www.sec.gov/Archives/edgar/data/1348911/000156459021036441/0001564590-21-036441-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8242000,9781000,3897000,53723000,21764000,30950000,51055000,32006000,15789000,50592000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,68805000,51925000,198337000
33,Cash and Short-Term Investments,- -,8242000,9781000,3897000,53723000,21764000,30950000,51055000,100811000,67714000,248929000
34,Net Receivables,- -,- -,- -,- -,- -,2239000,2547000,6834000,11315000,16527000,10418000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,83000,129000,690000,1222000,668000,751000,1491000,3420000,4455000,4917000
