,https://roic.ai/company/BWA,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,926000000,985400000,1223400000,1329100000,1540100000,1767000000,1836800000,2458600000,2645900000,2351600000,2731100000,3069200000,3525300000,4293800000,4585400000,5328600000,5263900000,3961800000,5652800000,7114700000,7183200000,7436600000,8305100000,8023200000,9071000000,9799300000,10529600000,10168000000,10165000000,14838000000
2,COGS,755200000,769300000,948400000,1044900000,1205500000,1375400000,1450700000,1888500000,2003100000,1802000000,2176500000,2482500000,2874200000,3440000000,3735500000,4378700000,4425400000,3401000000,4559500000,5704300000,5716300000,5879100000,6548700000,6320100000,7137900000,7679200000,8300200000,8067000000,8255000000,11983000000
3,Gross Profit,170800000,216100000,275000000,284200000,334600000,391600000,386100000,570100000,642800000,549600000,554600000,586700000,651100000,853800000,849900000,949900000,838500000,560800000,1093300000,1410400000,1466900000,1557500000,1756400000,1703100000,1933100000,2120100000,2229400000,2101000000,1910000000,2855000000
4,Gross Profit Ratio,0.1844,0.2193,0.2248,0.2138,0.2173,0.2216,0.2102,0.2319,0.2429,0.2337,0.2031,0.1912,0.1847,0.1988,0.1853,0.1783,0.1593,0.1416,0.1934,0.1982,0.2042,0.2094,0.2115,0.2123,0.2131,0.2164,0.2117,0.2066,0.1879,0.1924
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,646600000,645600000,702000000,687700000,817500000,898500000,945700000,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",69600000,83500000,92100000,97800000,122700000,132000000,135100000,203300000,244100000,234300000,303500000,316900000,339000000,495900000,498100000,531900000,542900000,459800000,566600000,621000000,646600000,645600000,702000000,687700000,817500000,898500000,945700000,873000000,951000000,1460000000
9,Other Expenses,74000000,67600000,70500000,77600000,84800000,87100000,91600000,123400000,145500000,146200000,-900000,-100000,3000000,34800000,-8500000,-6800000,153700000,-100000,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,34000000,- -
10,Operating Expenses,143600000,151100000,162600000,175400000,207500000,219100000,226700000,326700000,389600000,380500000,302600000,316800000,342000000,530700000,489600000,525100000,696600000,459700000,566600000,621000000,646900000,645600000,702000000,687700000,817500000,898500000,945700000,873000000,985000000,1460000000
11,COGS and Expenses,898800000,920400000,1111000000,1220300000,1413000000,1594500000,1677400000,2215200000,2392700000,2182500000,2479100000,2799300000,3216200000,3970700000,4225100000,4903800000,5122000000,3860700000,5126100000,6325300000,6363200000,6524700000,7250700000,7007800000,7955400000,8577700000,9245900000,8940000000,9240000000,13443000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2800000,4800000,4700000,4800000,5500000,7500000,6300000,5800000,6400000,12000000,12000000,12000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57200000,68800000,74600000,39400000,34200000,36400000,60400000,84600000,70500000,58700000,55000000,73000000,105000000
14,Depreciation and Amortization,74000000,67600000,70500000,77600000,84800000,87100000,91600000,123400000,145500000,104200000,137400000,161300000,177000000,255500000,256600000,264600000,286800000,260900000,252900000,283000000,288600000,299400000,330400000,320200000,391400000,407800000,431300000,439000000,568000000,772000000
15,EBITDA,64600000,-6100000,178200000,188800000,139500000,245000000,232300000,330400000,294300000,210300000,95500000,409400000,476500000,550200000,500600000,667000000,284500000,326600000,780800000,1103000000,1067500000,1176200000,1315200000,1270700000,624800000,1498500000,1632000000,1708000000,1538000000,1564000000
16,EBITDA ratio,0.0698,-0.0062,0.1457,0.1421,0.0906,0.1387,0.1265,0.1344,0.1112,0.0894,0.0350,0.1334,0.1352,0.1281,0.1092,0.1252,0.0540,0.0824,0.1381,0.1550,0.1486,0.1582,0.1584,0.1584,0.0689,0.1529,0.1550,0.1680,0.1513,0.1054
17,Operating Income,27200000,65000000,112400000,108800000,127100000,172500000,159400000,243400000,253200000,140700000,252000000,269900000,309100000,323100000,274600000,424800000,14400000,50800000,504300000,797500000,752900000,855200000,963700000,939700000,225900000,1077100000,1189900000,1303000000,618000000,1151000000
18,Operating Income ratio,0.0294,0.0660,0.0919,0.0819,0.0825,0.0976,0.0868,0.0990,0.0957,0.0598,0.0923,0.0879,0.0877,0.0752,0.0599,0.0797,0.0027,0.0128,0.0892,0.1121,0.1048,0.1150,0.1160,0.1171,0.0249,0.1099,0.1130,0.1281,0.0608,0.0776
19,Total Other Income Expenses (Gains),-36600000,-7900000,-4700000,2400000,-72400000,-14600000,-18700000,-36400000,-104400000,-34600000,-18200000,-13200000,-500000,-8900000,-4300000,5600000,-400000,-32900000,-26400000,-31600000,8100000,14100000,16400000,-12900000,-35400000,-13500000,6000000,-38000000,346000000,-362000000
20,Income Before Tax,-9400000,57100000,107700000,111200000,54700000,157900000,140700000,207000000,148800000,106100000,233800000,256700000,308600000,314200000,270300000,430400000,14000000,17900000,477900000,765900000,761000000,869300000,980100000,926800000,190500000,1063600000,1195900000,1265000000,964000000,789000000
21,Income Before Tax Ratio,-0.0102,0.0579,0.0880,0.0837,0.0355,0.0894,0.0766,0.0842,0.0562,0.0451,0.0856,0.0836,0.0875,0.0732,0.0589,0.0808,0.0027,0.0045,0.0845,0.1077,0.1059,0.1169,0.1180,0.1155,0.0210,0.1085,0.1136,0.1244,0.0948,0.0532
