,https://roic.ai/company/BRX,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,1125104000,1113380000,1125797000,1174697000,1236599000,1265980000,1275772000,1283180000,1234340000,1168258000,1053266000,1152274000
2,COGS,- -,291907000,288265000,287573000,295896000,308652000,310388000,307916000,315189000,313618000,295864000,280621000,297788000
3,Gross Profit,- -,833197000,825115000,838224000,878801000,927947000,955592000,967856000,967991000,920722000,872394000,772645000,854486000
4,Gross Profit Ratio,- -,0.7406,0.7411,0.7446,0.7481,0.7504,0.7548,0.7586,0.7544,0.7459,0.7467,0.7336,0.7416
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,94644000,107871000,88870000,121093000,80175000,98454000,92248000,92247000,93596000,102309000,98280000,105454000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,94644000,107871000,88870000,121093000,80175000,98454000,92248000,92247000,93596000,102309000,98280000,105454000
9,Other Expenses,- -,407045000,486328000,516444000,459602000,453167000,427475000,396484000,380351000,362327000,332431000,335583000,327152000
10,Operating Expenses,- -,501689000,594199000,605314000,580695000,533342000,525929000,488732000,472598000,455923000,434740000,433863000,432606000
11,COGS and Expenses,- -,793596000,882464000,892887000,876591000,841994000,836317000,796648000,787787000,769541000,730604000,714484000,730394000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,374388000,394345000,386380000,347996000,262812000,245012000,226671000,226660000,215025000,189775000,199988000,194776000
14,Depreciation and Amortization,- -,404558000,478069000,510435000,450279000,442236000,417935000,387302000,375028000,352245000,332431000,335583000,327152000
15,EBITDA,- -,441065000,939922000,774248000,704741000,794050000,856667000,889601000,901981000,933554000,796979000,656744000,792115000
16,EBITDA ratio,- -,0.3920,0.8442,0.6877,0.5999,0.6421,0.6767,0.6973,0.7029,0.7563,0.6822,0.6235,0.6874
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-624703000,-113229000,-385416000,-398934000,-281834000,-232127000,-200982000,-195024000,-98515000,-162881000,-217609000,-151693000
20,Income Before Tax,- -,-293195000,117687000,-152506000,-100828000,112771000,197536000,278142000,300369000,366284000,274773000,121173000,270187000
21,Income Before Tax Ratio,- -,-0.2606,0.1057,-0.1355,-0.0858,0.0912,0.1560,0.2180,0.2341,0.2967,0.2352,0.1150,0.2345
22,Income Tax expense (Gain),- -,-16494000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-321387000,67508000,-122567000,-93534000,89002000,193720000,275628000,300293000,366284000,274773000,121173000,270187000
24,Net Income ratio,- -,-0.2857,0.0606,-0.1089,-0.0796,0.0720,0.1530,0.2160,0.2340,0.2967,0.2352,0.1150,0.2345
25,EPS,- -,-1.44,0.30,-0.21,-0.50,0.36,0.65,0.91,0.98,1.21,0.92,0.41,0.91
26,EPS Diluted,- -,-1.44,0.30,-0.21,-0.50,0.36,0.65,0.91,0.98,1.21,0.92,0.41,0.91
27,Weighted Average Shares Outstanding,180675000,223492460,223492460,223492460,188993000,243390000,298004000,301601000,304834000,302074000,298229000,296972000,296972000
28,Weighted Average Shares Outstanding Diluted,180675000,223492460,223492460,223492460,188993000,244588000,305017000,305060000,305281000,302339000,299334000,297899000,297899000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1581068/000158106814000008/bpginc1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106815000028/brx10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106816000101/0001581068-16-000101-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106817000005/0001581068-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1630031/000158106818000008/0001581068-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106819000005/0001581068-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106820000008/0001581068-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106821000012/0001581068-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106822000012/0001581068-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,157606000,103098000,113915000,60595000,69528000,51402000,56938000,41745000,19097000,368675000,296632000
32,Short-Term Investments,- -,- -,23027000,24883000,22104000,20315000,23001000,25573000,28006000,30243000,18054000,19548000,20224000
33,Cash and Short-Term Investments,- -,- -,180633000,127981000,136019000,80910000,92529000,76975000,84944000,71988000,37151000,388223000,316856000
34,Net Receivables,- -,- -,145467000,156944000,178505000,182424000,180486000,178216000,232111000,228297000,234246000,240323000,234873000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,98282000,90160000,75457000,53164000,41462000,51467000,53839000,11921000,24597000,19426000,17242000
37,Total Current Assets,- -,- -,424382000,375085000,389981000,316498000,314477000,306658000,370894000,312206000,295994000,647972000,568971000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45143000,45454000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,15808000,16038000,9205000,5072000,5019000,7921000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,9592076000,9212606000,9772730000,9380832000,9178511000,9005106000,8783032000,7930215000,7846502000,7649032000,7762968000
45,Total Non-Current Assets,- -,- -,9607884000,9228644000,9781935000,9385904000,9183530000,9013027000,8783032000,7930215000,7846502000,7694175000,7808422000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,10032266000,9603729000,10171916000,9702402000,9498007000,9319685000,9153926000,8242421000,8142496000,8342147000,8377393000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,236433000,252912000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,691154000,632112000,709529000,679102000,603439000,553636000,569340000,520459000,537454000,257683000,241617000
53,Total Current Liabilities,- -,- -,691154000,632112000,709529000,679102000,603439000,553636000,569340000,520459000,537454000,494116000,494529000
54,Long-Term Debt,- -,- -,6694549000,6499356000,5981289000,6042997000,5974266000,5838889000,5676238000,4885863000,4861185000,5167330000,5164518000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,189133000,195907000,196578000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,6883682000,6695263000,6177867000,6042997000,5974266000,5838889000,5676238000,4885863000,4861185000,5167330000,5164518000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38599000,33713000
61,Total Liabilities,- -,- -,7574836000,7327375000,6887396000,6722099000,6577705000,6392525000,6245578000,5406322000,5398639000,5661446000,5659047000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,2297000,2966000,2991000,3043000,3046000,2985000,2979000,2965000,2972000
64,Retained Earnings,- -,- -,115214000,-26559000,-196707000,-318762000,-400945000,-426552000,-449375000,-416188000,-480204000,-508196000,-503684000
65,Other Comprehensive Income/Loss,- -,- -,44000,-39000,-6812000,-4435000,-2509000,21519000,24211000,15973000,-9543000,-28058000,-12674000
66,Other Total Stockholders Equity,- -,- -,1743235000,1748092000,2543690000,3223941000,3270246000,3324874000,3330466000,3233329000,3230625000,3213990000,- -
67,Total Stockholders Equity,- -,- -,1858494000,1721495000,2342468000,2903710000,2869783000,2922884000,2908348000,2836099000,2743857000,2680701000,2718346000
68,Total Liabilities And Stockholders Equity,- -,- -,9433330000,9048870000,9229864000,9625809000,9447488000,9315409000,9153926000,8242421000,8142496000,8342147000,8377393000
69,Minority Interest,- -,- -,598936000,554859000,942052000,76593000,50519000,4276000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,10032266000,9603729000,10171916000,9702402000,9498007000,9319685000,9153926000,8242421000,8142496000,8342147000,8377393000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1581068/000158106814000008/bpginc1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106815000028/brx10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106816000101/0001581068-16-000101-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106817000005/0001581068-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1630031/000158106818000008/0001581068-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106819000005/0001581068-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106820000008/0001581068-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106821000012/0001581068-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106822000012/0001581068-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,- -,-321387000,67508000,-122567000,-93534000,89002000,193720000,275628000,300293000,366284000,274773000,121173000,270187000
74,Depreciation and Amortization,- -,404558000,478069000,510435000,450279000,442236000,417935000,387302000,375028000,352245000,332431000,335583000,327152000
75,Deferred Income Tax,- -,-8952000,- -,-687000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,9452000,23331000,11569000,10477000,9378000,12661000,10951000,17090000
77,Change in Working Capital,- -,-3173000,-252646000,9745000,-62521000,-43056000,73642000,41984000,48532000,-9807000,-33207000,395316000,-16316000
78,Accounts Receivable,- -,15115000,7929000,-11793000,-17055000,-5347000,1829000,1566000,-26458000,-12312000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-1681000,-4602000,18323000,767000,-12701000,-2923000,-5667000,8695000,824000,2627000,1577000,12320000
81,Other Working Capital,- -,-14126000,-266772000,-257027000,-319548000,-362604000,-288962000,-246978000,-198446000,-208253000,-241460000,153856000,-30377000
82,Other Non-Cash Items,- -,237849000,-119092000,-128079000,37766000,-18424000,-174603000,-149288000,-182389000,-176411000,-57986000,-419922000,-45874000
83,Cash Provided by Operating Activities,- -,308895000,173839000,268847000,331990000,479210000,534025000,567195000,551941000,541689000,528672000,443101000,552239000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,9775000,-1335801000,-1496000,-25000,454000,- -,-2846000,12369000,- -,- -,- -,- -
86,Purchases of Investments,- -,-16112000,-23937000,-22116000,-12737000,-23123000,-24278000,-46325000,-28263000,-33096000,-37781000,-22565000,-17475000
87,Sales/Maturities of Investments,- -,10355000,20506000,19608000,15538000,25197000,21441000,43647000,25623000,30880000,50293000,21110000,16448000
88,Other Investing Activites,- -,-47730000,-66641000,-114698000,-89143000,-203360000,-186231000,-146090000,-62603000,671819000,-184576000,-165794000,-329978000
89,Cash Used for Investing Activites,- -,-43712000,-1405873000,-118702000,-86367000,-200832000,-189068000,-151614000,-52874000,669603000,-172064000,-167249000,-331005000
90,Debt Repayment,- -,-1294133000,-2798845000,-530342000,-3617039000,-1806288000,-2240593000,-1754471000,-1827575000,-1524717000,-1086000000,-1160000000,-850000000
91,Common Stock Issued,- -,- -,1742426000,- -,893860000,- -,- -,- -,- -,- -,- -,- -,5146000
92,Common Stock Repurchased,- -,- -,- -,- -,-1250000,- -,- -,- -,-5872000,-104700000,-14563000,-25007000,- -
93,Dividends Paid,- -,- -,-137000,-19209000,-47442000,-173147000,-268281000,-295205000,-317389000,-333411000,-334895000,-170397000,-257229000
94,Other Financing Activites,- -,1163447000,2189874000,344898000,2537065000,1647737000,2172850000,1615969000,1659677000,691524000,1049608000,1428116000,808505000
95,Cash Used/Provided by Financing Activities,- -,-130686000,1133318000,-204653000,-234806000,-331698000,-336024000,-433707000,-491159000,-1271304000,-385850000,72712000,-293578000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,134497000,-98716000,-54508000,10817000,-53320000,8933000,-18126000,7908000,-60012000,-29242000,348564000,-72344000
98,Cash at the End of Period,- -,304522000,205806000,103098000,113915000,60595000,69528000,51402000,110777000,50765000,21523000,370087000,297743000
99,Cash at the Beginning of Period,- -,170025000,304522000,157606000,103098000,113915000,60595000,69528000,102869000,110777000,50765000,21523000,370087000
100,Free Cash Flow,- -,308895000,173839000,268847000,331990000,479210000,534025000,567195000,551941000,541689000,528672000,443101000,552239000
101,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1581068/000158106814000008/bpginc1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106815000028/brx10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106816000101/0001581068-16-000101-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106817000005/0001581068-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1630031/000158106818000008/0001581068-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106819000005/0001581068-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106820000008/0001581068-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1581068/000158106821000012/0001581068-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1581068/000158106822000012/0001581068-22-000012-index.htm
102,false,,,,,,,,,,,,,
