,https://roic.ai/company/BASA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,32973,32907,10025,30372,175156,394219,9664,87836,3892,7161
2,COGS,- -,- -,- -,- -,- -,- -,- -,23574,101386,254222,5860,91085,105010,4487
3,Gross Profit,- -,- -,- -,- -,32973,32907,10025,6798,73770,139997,3804,-3249,-101118,2674
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,1.0000,1.0000,0.2238,0.4212,0.3551,0.3936,-0.0370,-25.9810,0.3734
5,Research and Development Exp.,- -,- -,- -,- -,64596,- -,- -,18317,4508,- -,- -,- -,- -,- -
6,General and Administrative Exp.,8763,1000,19400,666274,1514020,1514649,1354741,983902,462293,2485240,2355360,3315980,3910286,2955570
7,Selling and Marketing Exp.,- -,- -,- -,- -,18454,28226,- -,18743,27624,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",8763,1000,19400,666274,1532474,1542875,1354741,1002645,489917,2485240,2355360,3315980,3910286,2955570
9,Other Expenses,- -,- -,- -,2181,- -,- -,- -,- -,- -,- -,- -,- -,- -,33062
10,Operating Expenses,8763,1000,19400,668455,1597070,1542875,1354741,1020962,494425,2485240,2355360,3315980,3910286,2988632
11,COGS and Expenses,8763,1000,19400,668455,1597070,1542875,1354741,1044536,595811,2739462,2361220,3407065,4015296,2993119
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,2967,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,34726,96582,567461,412549,312763,303978,170323,106994,113076,898257
14,Depreciation and Amortization,- -,- -,- -,2182,10579,9476,9221,1103,11478,65131,68638,90613,193063,336026
15,EBITDA,-8763,-1000,-19400,-666274,-1570093,-1500492,-1856504,-1013061,-406210,-3328344,-2696151,-5712342,-4002665,-2965048
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-47.6175,-45.5980,-185.1874,-33.3551,-2.3191,-8.4429,-278.9891,-65.0342,-1028.4340,-414.0550
17,Operating Income,- -,- -,- -,-668455,-1564097,-1509968,-1865725,-1014164,-420655,-2345243,-2351556,-3398798,-4012882,-2985958
18,Operating Income ratio,- -,- -,- -,-Infinity,-47.4357,-45.8859,-186.1072,-33.3914,-2.4016,-5.9491,-243.3315,-38.6948,-1031.0591,-416.9750
19,Total Other Income Expenses (Gains),- -,- -,- -,-1145411,-51301,-96582,-567461,-412549,-309796,-1352210,-170323,-2489767,93010,-1213373
20,Income Before Tax,-8763,-1000,- -,- -,-1615398,-1606550,-2433186,-1426713,-730451,-3697453,-2521879,-5888565,-3919872,-4199331
