,https://roic.ai/company/CTSO,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,10000,- -,- -,- -,- -,- -,36078,1342936,2422667,4122825,4791616,9527843,15150754,22503908,24949473,41004601,43165527
2,COGS,10000,- -,- -,- -,- -,- -,11760,319298,1911565,2133888,2212546,3953725,5518360,7489400,7363919,11052409,11047350
3,Gross Profit,- -,- -,- -,- -,- -,- -,24318,1023638,511102,1988937,2579070,5574118,9632394,15014508,17585554,29952192,32118177
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,0.6740,0.7622,0.2110,0.4824,0.5382,0.5850,0.6358,0.6672,0.7048,0.7305,0.7441
5,Research and Development Exp.,- -,1112804,1415509,1983483,1961960,1757370,2888245,2532489,1738938,2431759,3871069,4783491,4049436,7723028,12091797,8810561,16380930
6,General and Administrative Exp.,70000,- -,1651121,1260729,1065402,1066649,1572840,1981983,3485395,6835970,8011660,12282752,15425556,22876408,24467821,31511965,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",70000,1851507,1651121,1260729,1065402,1066649,1572840,1981983,3485395,6835970,8011660,12282752,15425556,22876408,24467821,31511965,35750477
9,Other Expenses,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2731515
10,Operating Expenses,80000,2964311,3066630,3244212,3027362,2824019,4461085,4514472,5224333,9267729,11882729,17066243,19474992,30599436,36559618,40322526,54862922
11,COGS and Expenses,90000,2964311,3066630,3244212,3027362,2824019,4472845,4833770,7135898,11401617,14095275,21019968,24993352,38088836,43923537,51374935,65910272
12,Interest Income ,- -,- -,67362,- -,- -,- -,- -,- -,- -,- -,- -,-231805,-749076,- -,- -,- -,- -
13,Interest Expense (Gain),- -,4738877,- -,22207,8142,84846,1044881,564428,422843,310024,9301,- -,- -,1461045,1033661,1201067,28007
14,Depreciation and Amortization,10000,1255526,190440,103701,51695,17804,39150,54606,64350,65547,112969,161613,218271,390551,581532,660788,- -
15,EBITDA,-70000,-1740393,-2876190,-3140511,-2975667,-2806215,-4397617,-3436228,-4648881,-9331743,-8334074,-12095812,-8919267,-15979129,-18742897,-7102407,-25266644
16,EBITDA ratio,-7.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-121.8919,-2.5587,-1.9189,-2.2634,-1.7393,-1.2695,-0.5887,-0.7101,-0.7512,-0.1732,-0.5853
17,Operating Income,-80000,-2964311,-3066630,- -,- -,- -,-4436767,-3490834,-4713231,-7278792,-9303659,-11492125,-9842598,-15584928,-18974064,-10370334,-22744745
18,Operating Income ratio,-8.0000,-Infinity,-Infinity,- -,- -,- -,-122.9771,-2.5994,-1.9455,-1.7655,-1.9417,-1.2062,-0.6496,-0.6925,-0.7605,-0.2529,-0.5269
19,Total Other Income Expenses (Gains),- -,31608,-351486,-22207,6062866,5732884,-1044881,-564428,-422843,-2428522,847315,-765300,705060,-2245797,-1384026,1406072,-2549906
20,Income Before Tax,-80000,- -,- -,-3266419,3035504,2908865,-5481648,-4055262,-5136074,-9707314,-8456344,-12257425,-9137538,-17830725,-20358090,-8964262,-25294651
21,Income Before Tax Ratio,-8.0000,- -,- -,-Infinity,Infinity,Infinity,-151.9388,-3.0197,-2.1200,-2.3545,-1.7648,-1.2865,-0.6031,-0.7923,-0.8160,-0.2186,-0.5860
22,Income Tax expense (Gain),- -,- -,- -,-248529,298789,- -,- -,-391756,-458279,-385642,-324606,-318550,-676739,-619546,-1092446,-1127074,-736003
23,Net Income,-80000,-7671580,-3350754,-3017890,-2736715,-2908865,-5481648,-3663506,-4677795,-9321672,-8131738,-11938875,-8460799,-17211179,-19265644,-7837188,-24558648
24,Net Income ratio,-8.0000,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-151.9388,-2.7280,-1.9308,-2.2610,-1.6971,-1.2531,-0.5584,-0.7648,-0.7722,-0.1911,-0.5689
25,EPS,-0.26,-14.00,-4.25,-4.00,-2.00,-1.25,-1.25,-0.75,-0.75,-1.29,-0.33,-0.47,-0.32,-0.56,-0.60,-0.20,-0.57
26,EPS Diluted,-0.26,-14.00,-4.25,-4.00,-2.00,-1.25,-1.25,-0.75,-0.75,-1.29,-0.33,-0.47,-0.32,-0.56,-0.60,-0.20,-0.57
27,Weighted Average Shares Outstanding,310000,598242,993942,1004855,1663744,3923790,6409411,7929131,9440762,14382813,24885809,25433719,27613911,30719176,32255253,38818990,43359186
28,Weighted Average Shares Outstanding Diluted,310000,598242,993942,1004855,1663744,3923790,6409411,7929131,9440762,14382813,24885809,25433719,27613911,30719176,32255253,38818990,43359186
