,https://roic.ai/company/NIMU,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1240000,600000,1400000,800000,600000,900000,940000,1632247,1712248,1351982,224165,240648,691773,1159626,333498,463132,851514,461675,340597,310314,302000,546000,617000,743000,250000,109000,13000,- -,23000,6000,- -,- -,- -,- -
2,COGS,380000,1500000,500000,400000,300000,1100000,700000,714359,978695,261950,35866,35367,7770,52015,41565,236863,168228,133503,71839,10490,19000,250000,243000,172000,25000,41000,6000,20000,336000,100000,- -,- -,- -,- -
3,Gross Profit,860000,-900000,900000,400000,300000,-200000,240000,917888,733553,1090032,188299,205281,684003,1107611,291933,226269,683286,328172,268758,299824,283000,296000,374000,571000,225000,68000,7000,-20000,-313000,-94000,- -,- -,- -,- -
4,Gross Profit Ratio,0.6935,-1.5000,0.6429,0.5000,0.5000,-0.2222,0.2553,0.5623,0.4284,0.8062,0.8400,0.8530,0.9888,0.9551,0.8754,0.4886,0.8024,0.7108,0.7891,0.9662,0.9371,0.5421,0.6062,0.7685,0.9000,0.6239,0.5385,-Infinity,-13.6087,-15.6667,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,330662,322780,360081,377125,387516,350829,536496,605423,604671,252244,182561,212472,282304,178000,176000,118000,38000,38000,3000,1000,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,770000,- -,1900000,2500000,1800000,1300000,1090000,349487,453998,413810,348453,400997,342203,593557,853880,1111902,404852,542292,601705,1389506,1953000,1949000,1899000,1365000,599000,444000,319000,255000,259000,201000,225000,446000,165000,158000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,150157,35844,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",770000,- -,1900000,2500000,1800000,1300000,1090000,499644,489842,413810,348453,400997,342203,593557,853880,1111902,404852,542292,601705,1389506,1953000,1949000,1899000,1365000,599000,444000,319000,255000,259000,201000,225000,446000,165000,158000
9,Other Expenses,130000,- -,- -,100000,200000,200000,100000,- -,- -,164072,- -,- -,30280,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,900000,- -,1900000,2600000,2000000,1500000,1190000,830306,812622,937963,725578,788513,723312,1130053,1459303,1716573,657096,724853,814177,1671810,2131000,2125000,2017000,1403000,637000,447000,320000,255000,259000,201000,225000,446000,165000,158000
11,COGS and Expenses,1280000,1500000,2400000,3000000,2300000,2600000,1890000,1544665,1791317,1199913,761444,823880,731082,1182068,1500868,1953436,825324,858356,886016,1682300,2150000,2375000,2260000,1575000,662000,488000,326000,275000,595000,301000,225000,446000,165000,158000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-60000,- -,- -,- -,- -,- -,-80000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000,- -,- -,- -,- -,- -,- -,220000,93000,- -,- -
14,Depreciation and Amortization,- -,30000,30000,-100000,-200000,-200000,210000,178949,168130,65324,68580,84868,30280,120106,72689,28510,23596,13496,11718,18821,6000,114000,123000,119000,17000,5000,- -,- -,1000,- -,- -,- -,- -,- -
15,EBITDA,-80000,-570000,-970000,-2200000,-1900000,-1900000,-800000,190019,-226010,228227,-450223,-484017,-4825,97664,-1194953,-1527675,49786,-383185,-601342,-1339871,-1830000,-1654000,-1501000,-1167000,-537000,-502000,-443000,-275000,-740000,-488000,-225000,-446000,-165000,-158000
16,EBITDA ratio,-0.0645,-0.9500,-0.6929,-2.7500,-3.1667,-2.1111,-0.8511,0.1164,-0.1320,0.1688,-2.0084,-2.0113,-0.0070,0.0842,-3.5831,-3.2986,0.0585,-0.8300,-1.7656,-4.3178,-6.0596,-3.0293,-2.4327,-1.5707,-2.1480,-4.6055,-34.0769,-Infinity,-32.1739,-81.3333,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-40000,-900000,-1000000,-2200000,-1700000,-1700000,-950000,-2418,-441102,152069,-537279,-583232,-39309,-22442,-1167370,-1490304,26190,-396681,-545419,-1371986,-1848000,-1829000,-1643000,-1262000,-412000,-379000,-313000,-275000,-572000,-295000,-225000,-446000,-165000,-158000
18,Operating Income ratio,-0.0323,-1.5000,-0.7143,-2.7500,-2.8333,-1.8889,-1.0106,-0.0015,-0.2576,0.1125,-2.3968,-2.4236,-0.0568,-0.0194,-3.5004,-3.2179,0.0308,-0.8592,-1.6014,-4.4213,-6.1192,-3.3498,-2.6629,-1.6985,-1.6480,-3.4771,-24.0769,-Infinity,-24.8696,-49.1667,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),20000,300000,100000,300000,100000,100000,20000,15388,45606,10834,18476,14347,4204,- -,-100272,8782,- -,- -,- -,- -,- -,68000,19000,-454000,-142000,-128000,-130000,-143000,-169000,-193000,-220000,-1159000,- -,- -
20,Income Before Tax,-20000,- -,- -,- -,- -,- -,-930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1624000,- -,-554000,-507000,-443000,-418000,-741000,-488000,-445000,-1605000,-165000,-158000
21,Income Before Tax Ratio,-0.0161,- -,- -,- -,- -,- -,-0.9894,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2.6321,- -,-2.2160,-4.6514,-34.0769,-Infinity,-32.2174,-81.3333,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-20000,-600000,-1000000,-2100000,-1700000,-1700000,-930000,11070,-394140,162903,-518803,-568885,-35105,-22442,-1267642,-1556185,26190,-396681,-613060,-1358692,-1836000,-1768000,-1624000,-1392000,-554000,-507000,-443000,-418000,-741000,-488000,-445000,-1615000,-163000,-158000
24,Net Income ratio,-0.0161,-1.0000,-0.7143,-2.6250,-2.8333,-1.8889,-0.9894,0.0068,-0.2302,0.1205,-2.3144,-2.3640,-0.0507,-0.0194,-3.8010,-3.3601,0.0308,-0.8592,-1.8000,-4.3784,-6.0795,-3.2381,-2.6321,-1.8735,-2.2160,-4.6514,-34.0769,-Infinity,-32.2174,-81.3333,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.01,-0.24,-0.16,-0.24,-0.20,-0.17,-0.09,0.00,-0.03,0.01,-0.04,-0.03,-0.00,-0.00,-0.05,-0.05,0.00,-0.01,-0.01,-0.02,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00
26,EPS Diluted,-0.01,-0.24,-0.16,-0.24,-0.20,-0.17,-0.09,0.00,-0.03,0.01,-0.04,-0.03,-0.00,-0.00,-0.05,-0.05,0.00,-0.01,-0.01,-0.02,-0.04,-0.04,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00
