,https://roic.ai/company/RLJ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,551819000,482488000,545568000,758952000,854205000,970380000,1109197000,1136340000,1159995000,1356261000,1761224000,1566192000,473087000,785664000
2,COGS,366908000,301473000,369438000,461303000,565692000,638734000,717788000,734328000,745390000,903277000,1212288000,1076497000,75604000,600375000
3,Gross Profit,184911000,181015000,176130000,297649000,288513000,331646000,391409000,402012000,414605000,452984000,548936000,489695000,397483000,185289000
4,Gross Profit Ratio,0.3351,0.3752,0.3228,0.3922,0.3378,0.3418,0.3529,0.3538,0.3574,0.3340,0.3117,0.3127,0.8402,0.2358
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,18791000,18533000,19599000,34986000,31099000,35466000,41671000,37810000,31516000,40453000,49195000,45252000,41141000,47526000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",18791000,18533000,19599000,34986000,31099000,35466000,41671000,37810000,31516000,40453000,49195000,45252000,41141000,47526000
9,Other Expenses,84390000,140168000,100793000,174717000,126798000,127231000,144294000,156226000,162500000,186993000,241641000,211584000,689036000,187778000
10,Operating Expenses,103181000,158701000,120392000,209703000,157897000,162697000,185965000,194036000,194016000,227446000,290836000,256836000,730177000,235304000
11,COGS and Expenses,470089000,460174000,489830000,671006000,723589000,801431000,903753000,928364000,939406000,1130723000,1503124000,1333333000,805781000,835679000
12,Interest Income ,1612000,624000,3357000,1682000,1686000,1665000,1881000,1563000,1695000,2987000,4891000,8720000,4237000,996000
13,Interest Expense (Gain),92892000,92175000,89195000,96020000,84997000,59864000,56810000,50624000,54855000,74823000,98139000,86819000,100169000,106366000
14,Depreciation and Amortization,84390000,98884000,100793000,131714000,126798000,127430000,144294000,156226000,162500000,184895000,238560000,209529000,191764000,187778000
15,EBITDA,147016000,24862000,168530000,239881000,254058000,301094000,337690000,385945000,425897000,377167000,535618000,421778000,-64899000,-9836000
16,EBITDA ratio,0.2664,0.0515,0.3089,0.3161,0.2974,0.3103,0.3044,0.3396,0.3672,0.2781,0.3041,0.2693,-0.1372,-0.0125
