,https://roic.ai/company/ARNA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,7683396,18059999,19421765,12834279,13685822,23233346,30569000,19332000,9809000,10387000,16613000,12719000,27587000,81394000,36970000,38326000,123975000,21337000,17970000,806431000,319000,54000
2,COGS,- -,-399278,-787829,- -,- -,- -,- -,- -,- -,- -,8515000,6536000,7414000,8100000,3671000,6180000,7759000,13175000,15341000,- -,- -,- -,- -,- -
3,Gross Profit,- -,399279,8471225,- -,- -,12834279,- -,23233346,30569000,- -,1294000,3851000,9199000,4619000,23916000,75214000,29211000,25151000,108634000,- -,- -,- -,319000,- -
4,Gross Profit Ratio,- -,399279.0000,1.1025,- -,- -,1.0000,- -,1.0000,1.0000,- -,0.1319,0.3708,0.5537,0.3632,0.8669,0.9241,0.7901,0.6562,0.8763,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,2615526,8336483,12080204,22864250,44399136,50885417,57729138,79514020,103388000,149524000,204374000,110159000,75459000,58706000,54112000,66468000,100347000,88411000,66425000,70988000,115029000,231496000,323740000,419509000
6,General and Administrative Exp.,728806,1814023,2678980,5390446,7499011,8553910,10449281,12879578,18466000,26571000,30535000,25247000,27936000,24248000,26200000,31700000,34100000,36000000,31200000,30300000,47700000,77600000,103200000,126200000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",728806,1814023,2678980,5390446,7499011,8553910,10449281,12879578,18466000,26571000,30535000,25247000,27936000,24248000,26200000,31700000,34100000,36000000,31200000,30300000,47700000,77600000,103200000,126200000
9,Other Expenses,- -,777387,5130725,5520570,3851061,4857307,3291006,1975335,1537000,1537000,2314000,3508000,2159000,997000,691000,- -,- -,- -,- -,- -,- -,14573000,- -,8638000
