,https://roic.ai/company/BANT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,24589761,18389568,10287214,4455186,2422996
2,COGS,22963231,16772661,9191809,3351438,1553516
3,Gross Profit,1626530,1616907,1095405,1103748,869480
4,Gross Profit Ratio,0.0661,0.0879,0.1065,0.2477,0.3588
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6946559,3403674,3019292,2830140,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",6946559,3403674,3019292,2830140,2834856
9,Other Expenses,264997,274655,276276,11088,7374
10,Operating Expenses,7211556,3678329,3295568,2841228,2842230
11,COGS and Expenses,30174787,20450990,12487377,6192666,4395746
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3534083,1527262,- -,1440220
14,Depreciation and Amortization,1002637,274655,276276,11088,7374
15,EBITDA,-6824246,-1966129,-5311621,-4317230,-434477
16,EBITDA ratio,-0.2775,-0.1069,-0.5163,-0.9690,-0.1793
17,Operating Income,-5585026,- -,- -,- -,- -
18,Operating Income ratio,-0.2271,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-2241857,-3713445,-4914996,- -,90679
20,Income Before Tax,-7826883,-5774867,-7115159,4328318,-1882071
21,Income Before Tax Ratio,-0.3183,-0.3140,-0.6917,0.9715,-0.7768
22,Income Tax expense (Gain),50,- -,- -,- -,- -
23,Net Income,-7826933,-5774867,-7115159,-4328318,-1882071
24,Net Income ratio,-0.3183,-0.3140,-0.6917,-0.9715,-0.7768
25,EPS,-0.18,-30.00,-3.00,-0.05,-0.00
26,EPS Diluted,-0.18,-30.00,-3.00,-0.05,-0.00
27,Weighted Average Shares Outstanding,42590735,172210,2615436,93011260,1425249598
28,Weighted Average Shares Outstanding Diluted,42590735,172210,2615436,93011260,1425249598
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1704795/000114420417065943/0001144204-17-065943-index.html,https://www.sec.gov/Archives/edgar/data/1704795/000121390018018073/0001213900-18-018073-index.html,https://www.sec.gov/Archives/edgar/data/1704795/000121390020002774/0001213900-20-002774-index.htm,https://www.sec.gov/Archives/edgar/data/1704795/000121390021001662/0001213900-21-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1704795/000121390022001080/0001213900-22-001080-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,152492,108446,149832,164014,985953
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,152492,108446,149832,164014,985953
34,Net Receivables,1169091,1615582,791728,349389,128386
35,Inventory,681057,533106,118558,44599,61837
36,Other Current Assets,56606,194587,4547,35403,28882
37,Total Current Assets,2059246,2451721,1064665,593405,1205058
38,PP&E,- -,15597,19923,8835,87208
39,Goodwill,2410335,2410335,- -,- -,- -
40,Intangible Assets,780281,1275285,- -,- -,44650
41,Intangible Assets,3190616,3685620,- -,- -,44650
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,760000,- -,- -,- -,119670
45,Total Non-Current Assets,3950616,3701217,19923,8835,251528
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,6009862,6152938,1084588,602240,1456586
48,Accounts Payable,3815546,4113812,3163443,2832790,2667110
49,Short-Term Debt,3779572,8042326,9323880,10207990,8762739
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,4824830,2465700,2209680,3766906,4484801
53,Total Current Liabilities,12419948,14621838,14697003,16807686,15914650
54,Long-Term Debt,- -,688444,1282939,- -,338014
