,https://roic.ai/company/NDLS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,220832000,256066000,300410000,350924000,403741000,455451000,487474000,- -,456492000,462411000,393655000,475152000
2,COGS,173245000,199130000,236996000,275183000,280289000,327149000,420772000,- -,335725000,383291000,97697000,393075000
3,Gross Profit,47587000,56936000,63414000,75741000,123452000,128302000,66702000,- -,120767000,79120000,295958000,82077000
4,Gross Profit Ratio,0.2155,0.2223,0.2111,0.2158,0.3058,0.2817,0.1368,- -,0.2646,0.1711,0.7518,0.1727
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,24921000,26463000,26220000,35893000,78359000,91951000,55654000,- -,92558000,43446000,42876000,47535000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",24921000,26463000,26220000,35893000,78359000,91951000,55654000,- -,92558000,43446000,42876000,47535000
9,Other Expenses,16020000,16828000,19864000,24432000,26178000,57418000,31265000,- -,62059000,22488000,- -,22998000
10,Operating Expenses,40941000,43291000,46084000,60325000,104537000,149369000,86919000,- -,154617000,65934000,42876000,70533000
11,COGS and Expenses,214186000,242421000,283080000,335508000,384826000,476518000,507691000,- -,490342000,449225000,413684000,463608000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),1819000,6132000,5028000,2196000,365000,1432000,2916000,- -,3839000,2942000,3146000,2082000
14,Depreciation and Amortization,13932000,14501000,16719000,20623000,24787000,27802000,28134000,- -,24613000,22086000,21709000,4000
15,EBITDA,17763000,26242000,30125000,34251000,43702000,6735000,-39394000,- -,-9237000,26779000,1680000,5821000
16,EBITDA ratio,0.0804,0.1025,0.1003,0.0976,0.1082,0.0148,-0.0808,- -,-0.0202,0.0579,0.0043,0.0123
17,Operating Income,3831000,12016000,16052000,14252000,18915000,-21067000,-67528000,- -,-33850000,5439000,-20029000,5817000
18,Operating Income ratio,0.0173,0.0469,0.0534,0.0406,0.0468,-0.0463,-0.1385,- -,-0.0742,0.0118,-0.0509,0.0122
19,Total Other Income Expenses (Gains),-1819000,-6407000,-7674000,-2820000,-365000,-1432000,-2916000,- -,-3839000,-3688000,-3146000,-2082000
20,Income Before Tax,2012000,5609000,8378000,11432000,18550000,-22499000,-70444000,- -,-37689000,1751000,-23175000,3735000
21,Income Before Tax Ratio,0.0091,0.0219,0.0279,0.0326,0.0459,-0.0494,-0.1445,- -,-0.0826,0.0038,-0.0589,0.0079
22,Income Tax expense (Gain),-366000,1780000,3215000,4767000,7122000,-8734000,1233000,- -,-207000,104000,84000,70000
23,Net Income,2378000,3829000,5163000,6665000,11428000,-13765000,-71677000,- -,-37482000,1647000,-23259000,3665000
24,Net Income ratio,0.0108,0.0150,0.0172,0.0190,0.0283,-0.0302,-0.1470,- -,-0.0821,0.0036,-0.0591,0.0077
25,EPS,0.08,0.13,0.18,0.25,0.38,-0.48,-2.58,- -,-1.20,0.04,-0.53,0.08
26,EPS Diluted,0.08,0.13,0.18,0.24,0.37,-0.48,-2.58,- -,-1.20,0.04,-0.53,0.08
27,Weighted Average Shares Outstanding,28596126,28596126,28596126,26406904,29717304,28938901,27808708,- -,37759497,44036947,44272474,45483029
28,Weighted Average Shares Outstanding Diluted,28596126,28596126,28596126,27688629,31001099,28938901,27808708,- -,37759497,44976436,44272474,46125386
