,https://roic.ai/company/SELB,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,3040000,6011000,8083000,207000,903000,6677000,16597000,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,16597000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,10486000,22980000,29702000,45165000,47687000,42743000,54505000,68736000
6,General and Administrative Exp.,7953000,8335000,13051000,18826000,18238000,16389000,18913000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7953000,8335000,13051000,18826000,18238000,16389000,18913000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,18439000,31315000,42753000,63991000,65925000,59132000,73418000,- -
11,COGS and Expenses,18439000,31315000,42753000,63991000,65925000,59132000,73418000,- -
12,Interest Income ,111000,171000,234000,617000,1050000,834000,- -,- -
13,Interest Expense (Gain),552000,948000,1253000,1206000,1494000,1519000,1556000,- -
14,Depreciation and Amortization,864000,1044000,802000,750000,975000,2027000,734000,- -
15,EBITDA,-11464000,-23182000,-34155000,-63365000,-62867000,-51804000,-66586000,- -
16,EBITDA ratio,-3.7711,-3.8566,-4.2255,-306.1111,-69.6202,-7.7586,-4.0119,- -
17,Operating Income,-15399000,-25304000,-34670000,-63784000,-65022000,-52455000,-56821000,-4597000
18,Operating Income ratio,-5.0655,-4.2096,-4.2892,-308.1353,-72.0066,-7.8561,-3.4236,-Infinity
19,Total Other Income Expenses (Gains),2519000,130000,-1540000,-1537000,-314000,-2895000,-12055000,- -
20,Income Before Tax,-12880000,-25174000,-36210000,-65321000,-65336000,-55350000,-68876000,- -
21,Income Before Tax Ratio,-4.2368,-4.1880,-4.4798,-315.5604,-72.3544,-8.2897,-4.1499,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,15966000
23,Net Income,-12880000,-25174000,-36210000,-65321000,-65336000,-55350000,-68876000,- -
24,Net Income ratio,-4.2368,-4.1880,-4.4798,-315.5604,-72.3544,-8.2897,-4.1499,- -
25,EPS,-1.27,-2.51,-3.89,-3.20,-2.92,-1.22,-0.68,-0.22
26,EPS Diluted,-1.27,-2.51,-3.89,-3.20,-2.92,-1.22,-0.68,-0.22
27,Weighted Average Shares Outstanding,12868461,10057351,10493939,20425050,22389286,45548511,101202176,114328798
28,Weighted Average Shares Outstanding Diluted,12868461,10057351,10493939,20425050,22389286,45548511,101202176,114328798
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1453687/000145368717000014/0001453687-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368718000012/0001453687-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368719000032/0001453687-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368720000028/0001453687-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368721000031/0001453687-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1453687/000145368722000051/0001453687-22-000051-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,16592000,32337000,58656000,70622000,37403000,89893000,138685000,114057
32,Short-Term Investments,- -,4125000,25485000,25940000,- -,- -,- -,- -
33,Cash and Short-Term Investments,16592000,36462000,84141000,96562000,37403000,89893000,138685000,114057
34,Net Receivables,674000,824000,215000,63000,- -,5000000,7224000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1846000,1627000,2460000,2055000,4673000,1774000,5434000,- -
37,Total Current Assets,19112000,38913000,86816000,98680000,42076000,96667000,151343000,- -
38,PP&E,1983000,2029000,2047000,2091000,2127000,1523000,12343000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1133000,1882000,438000,329000,279000,1379000,1749000,- -
45,Total Non-Current Assets,3116000,3911000,2485000,2420000,2406000,2902000,14092000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,159883
47,Total Assets,22228000,42824000,89301000,101100000,44482000,99569000,165435000,159883
48,Accounts Payable,351000,2179000,3882000,1606000,1100000,500000,443000,- -
49,Short-Term Debt,2578000,- -,4067000,- -,21385000,18905000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,601000
51,Deferred Revenue,3018000,1313000,1836000,787000,959000,1674000,72050000,- -
52,Other Current Liabilities,3284000,3798000,3921000,8580000,11700000,13864000,9054000,72251000
53,Total Current Liabilities,9231000,7290000,13706000,10973000,35144000,34943000,81547000,72251000
54,Long-Term Debt,4824000,11855000,7977000,21042000,- -,- -,24793000,- -
55,Deferred Revenue,1364000,2295000,12439000,15919000,13818000,14680000,38746000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,94564000,137877000,222000,1352000,938000,41549000,38355000,- -
58,Total Non-Current Liabilities,100752000,152027000,20638000,38313000,14756000,56229000,101894000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,372000,10555000,- -
61,Total Liabilities,109983000,159317000,34344000,49286000,49900000,91172000,183441000,137362
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,3000,3000,9000,11000,12000
64,Retained Earnings,-83880000,-111508000,-151576000,-216897000,-280403000,-335753000,-404629000,- -
65,Other Comprehensive Income/Loss,-2778000,-2927000,-5000000,-4000000,-5000000,-5000000,-4563000,-4566
66,Other Total Stockholders Equity,- -,- -,211532000,272708000,279982000,349141000,391175000,- -
67,Total Stockholders Equity,-87755000,-116493000,54957000,51814000,-5418000,8397000,-18006000,22521000
68,Total Liabilities And Stockholders Equity,22228000,42824000,89301000,101100000,44482000,99569000,165435000,22658362
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-22498479
70,Total Liabilities & Equity,22228000,42824000,89301000,101100000,44482000,99569000,165435000,159883
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1453687/000145368717000014/0001453687-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368718000012/0001453687-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368719000032/0001453687-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368720000028/0001453687-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368721000031/0001453687-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1453687/000145368722000051/0001453687-22-000051-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-12880000,-25174000,-36210000,-65321000,-65336000,-55350000,-68876000,- -
74,Depreciation and Amortization,864000,1044000,802000,750000,975000,2027000,734000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,1224000,1125000,2051000,4081000,5714000,5161000,5422000,7720000
77,Change in Working Capital,-2087000,21742000,41487000,14597000,-80775000,54792000,8072000,- -
78,Accounts Receivable,-514000,-153000,610000,152000,- -,-5000000,-2224000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-90000,667000,2686000,-2327000,-516000,-600000,-57000,- -
81,Other Working Capital,9881000,31623000,73110000,87707000,6932000,61724000,69796000,- -
82,Other Non-Cash Items,193000,-21200000,-27813000,-6144000,80261000,-58065000,89529000,-7720000
83,Cash Provided by Operating Activities,-12686000,-22463000,-19683000,-52037000,-59161000,-51435000,34881000,- -
84,CAPEX,-227000,-1163000,-586000,-733000,-884000,-47000,-815000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-3516000,-28416000,-61527000,-15598000,-18188000,- -,- -
87,Sales/Maturities of Investments,- -,- -,6900000,60158000,41655000,18342000,- -,- -
88,Other Investing Activites,- -,- -,2000,4000,99000,122000,74000,- -
89,Cash Used for Investing Activites,-227000,-4679000,-22100000,-2098000,25272000,229000,-741000,- -
90,Debt Repayment,- -,-2336000,- -,-12934000,- -,-2800000,-19313000,- -
91,Common Stock Issued,- -,109000,71613000,57114000,- -,107663000,12376000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,24771000,46133000,-3954000,21843000,697000,178000,21368000,- -
95,Cash Used/Provided by Financing Activities,24771000,43906000,67659000,66023000,697000,105041000,14431000,- -
96,Effect of Forex Changes on Cash,-3323000,-1019000,443000,78000,-153000,34000,-58000,- -
97,Net Change In Cash,8535000,15745000,26319000,11966000,-33345000,53869000,48513000,-24628000
98,Cash at the End of Period,16592000,32337000,58656000,70622000,37682000,91551000,140064000,115436000
99,Cash at the Beginning of Period,8057000,16592000,32337000,58656000,71027000,37682000,91551000,140064000
100,Free Cash Flow,-12913000,-23626000,-20269000,-52770000,-60045000,-51482000,34066000,-61467000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1453687/000145368717000014/0001453687-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368718000012/0001453687-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368719000032/0001453687-19-000032-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368720000028/0001453687-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1453687/000145368721000031/0001453687-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1453687/000145368722000051/0001453687-22-000051-index.htm
102,false,,,,,,,,
