,https://roic.ai/company/IMMP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,523734,- -,1520019,- -,- -,- -,175052,- -,2630484,139782,7486444,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,523734,- -,1520019,3066338,2426755,1873760,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,1.0000,- -,1.0000,Infinity,Infinity,Infinity,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,330515,620028,5124522,9531163,14501039,14005259,11930857,8952447,7059528,7525744,9989830,16591201,20395982,17236780
6,General and Administrative Exp.,1551176,1714582,3148244,5600988,7776445,4851195,4092623,5723085,54450700,4346952,6748574,6129274,6335679,6282105
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1551176,1714582,3148244,5600988,7776445,4851195,4092623,5723085,54450700,4346952,6748574,6129274,6335679,6282105
9,Other Expenses,52861,49418,119686,64287,377299,-1394701,-1573767,5690,403267,-2415118,-2414190,-3618278,-4173200,-3862806
10,Operating Expenses,1934552,2384028,8392452,15196438,22654783,17461753,14449713,14681222,61913495,9457578,14324214,19102197,22558461,19656079
11,COGS and Expenses,1934552,2384028,8392452,15196438,22654783,17461753,14449713,14681222,61913495,9457578,14324214,19102197,22558461,19656079
12,Interest Income ,57940,29112,- -,1066196,2682548,939056,713311,219107,264043,104368,177186,397281,199541,105327
13,Interest Expense (Gain),- -,- -,1789108,6395818,- -,- -,- -,26789,8199,- -,- -,- -,10457,9825
14,Depreciation and Amortization,52861,49418,53039,64220,377299,254024,446360,1341202,1993093,1701615,1808929,1879151,2079639,- -
15,EBITDA,-1870925,-1743084,-10316701,-14065955,-19563661,-16268673,-14409981,-31458949,-61194909,-8403411,-10935415,-16464833,-11378099,-20722711
16,EBITDA ratio,-Infinity,-Infinity,-19.6984,-Infinity,-12.8707,-Infinity,-Infinity,-Infinity,-349.5813,-Infinity,-4.1572,-117.7894,-1.5198,-Infinity
17,Operating Income,-1876612,-2354916,-7890333,-14130242,-18452216,-15105084,-13329774,-13923888,-61474400,-9352777,-11693730,-18962415,-15072017,-19656079
18,Operating Income ratio,-Infinity,-Infinity,-15.0655,-Infinity,-12.1395,-Infinity,-Infinity,-Infinity,-351.1779,-Infinity,-4.4455,-135.6571,-2.0132,-Infinity
19,Total Other Income Expenses (Gains),-10766,-591526,-4268782,-6950925,-1488744,-33714,- -,-18369964,-1721801,-751816,-1050614,618431,1603822,-10246512
20,Income Before Tax,-1887378,-2946442,-12159115,-21081167,-19940960,-15138798,-13329774,-32293852,-63196201,-10104593,-12744344,-18343984,-13468195,-29902591
21,Income Before Tax Ratio,-Infinity,-Infinity,-23.2162,-Infinity,-13.1189,-Infinity,-Infinity,-Infinity,-361.0139,-Infinity,-4.8449,-131.2328,-1.7990,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,86873,13607,-142156,-1181017,-737387,1676,- -,37,33
23,Net Income,-1887356,-2946356,-12158848,-21081095,-19940960,-15225671,-13343381,-32151696,-62015184,-9367206,-12746020,-18343984,-13468232,-29902624
24,Net Income ratio,-Infinity,-Infinity,-23.2157,-Infinity,-13.1189,-Infinity,-Infinity,-Infinity,-354.2672,-Infinity,-4.8455,-131.2328,-1.7990,-Infinity
25,EPS,-0.62,-0.76,-2.05,-3.15,-1.62,-1.41,-1.08,-2.01,-2.75,-0.45,-0.49,-0.57,-0.34,-0.50
26,EPS Diluted,-0.62,-0.76,-2.05,-3.15,-1.62,-1.41,-1.08,-2.01,-2.75,-0.45,-0.49,-0.57,-0.34,-0.50
27,Weighted Average Shares Outstanding,3040958,3040958,5930020,6691254,12316858,10827368,12284293,16019994,22515468,20866257,26261691,32476392,40098018,59492744
28,Weighted Average Shares Outstanding Diluted,3040958,3040958,5930020,6691254,12316858,10827368,12284293,16019994,22515468,20866257,26261691,32476392,40098018,59492744
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1109259,950561,15640607,45930764,17004763,22023143,14200042,6759615,20879548,12236974,23475521,16567982,26322047,60128191
32,Short-Term Investments,- -,- -,- -,10000000,21045423,8000000,9000000,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1109259,950561,15640607,55930764,38050186,30023143,23200042,6759615,20879548,12236974,23475521,16567982,26322047,60128191
34,Net Receivables,70740,356863,427793,419678,793390,357444,361906,861483,168504,2194106,3482236,5231019,3391728,6124410
35,Inventory,- -,- -,- -,214346,191727,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1256,66001,705952,498014,1867681,1427712,1121860,401973,622816,1488178,1685422,1742823,1438099,2166790
37,Total Current Assets,1181255,1373425,16774352,57062802,40902984,31808299,24683808,8023071,21670868,15919258,28643179,23541824,31151874,68419391
38,PP&E,29712,19311,97487,119953,483928,834678,577264,297957,31500,24202,26449,52950,250571,309704
