,https://roic.ai/company/EC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,15512903000000,18389965000000,22332320000000,33896669000000,30404390000000,41968311000000,65752268000000,68852002000000,70428714000000,68925338000000,52347271000000,48485561000000,55954228000000,68603872000000,71488512000000,50223393000000,91744000000000
2,COGS,10095542000000,12756563000000,12058527000000,19023649000000,19906073000000,25959001000000,36665056000000,40535508000000,42554282000000,45054016000000,36994516000000,34251423000000,36908325000000,41184379000000,44972360000000,37567472000000,55582000000000
3,Gross Profit,5417361000000,5633402000000,10273793000000,14873020000000,10498317000000,16009310000000,29087212000000,28316494000000,27874432000000,23871322000000,15352755000000,14234138000000,19045903000000,27419493000000,26516152000000,12655921000000,36162000000000
4,Gross Profit Ratio,0.3492,0.3063,0.4600,0.4388,0.3453,0.3815,0.4424,0.4113,0.3958,0.3463,0.2933,0.2936,0.3404,0.3997,0.3709,0.2520,0.3942
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,337261000000,353019000000,408105000000,382101000000,662336000000,603523000000,326712000000,1823435000000,2384273000000,2962910000000,1194740000000,1491997000000,1658712000000,1890289000000,2302830000000,3392933000000,5608000000000
7,Selling and Marketing Exp.,581715000000,644551000000,933851000000,1835618000000,1962642000000,2526945000000,134167000000,3235224000000,17287000000,13996000000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",918976000000,997570000000,1341956000000,2217719000000,2624978000000,3130468000000,460879000000,5058659000000,2401560000000,2976906000000,1194740000000,1491997000000,1658712000000,1890289000000,2302830000000,3392933000000,5608000000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,2935370000000,809435000000,3717437000000,4564203000000,4371740000000,2840906000000,2876588000000,2422400000000,2136169000000,2446119000000,960000000000
10,Operating Expenses,918976000000,997570000000,1341956000000,2217719000000,2624978000000,3130468000000,3396249000000,5868094000000,6118997000000,7541109000000,5566480000000,4332903000000,4535300000000,4312689000000,4438999000000,5839052000000,6568000000000
11,COGS and Expenses,11014518000000,13754133000000,13400483000000,21241368000000,22531051000000,29089469000000,40061305000000,46403602000000,48673279000000,52595125000000,42560996000000,38584326000000,41443625000000,45497068000000,49411359000000,43406524000000,62150000000000
