,https://roic.ai/company/BBGI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,81400000,93621404,106153640,115204615,114692029,114482240,122204954,124293932,125190251,133883080,121448681,96747373,97971404,97698634,100240597,104905720,58705903,105946670,136665344,232179463,257494599,261554114,206143861,241426308
2,COGS,25100000,27176460,27919127,31098436,26874979,39461502,40382608,41095051,42837247,48228776,40799415,34301311,64577927,63320617,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,56300000,66444944,78234513,84106179,87817050,75020738,81822346,83198881,82353004,85654304,80649266,62446062,33393477,34378017,- -,- -,- -,- -,- -,- -,- -,- -,206143861,- -
4,Gross Profit Ratio,0.6916,0.7097,0.7370,0.7301,0.7657,0.6553,0.6696,0.6694,0.6578,0.6398,0.6641,0.6455,0.3408,0.3519,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,39100000,42248087,48970753,22020860,21482000,45054140,49119748,53059051,53651155,58643595,54940948,43339962,7858132,8046126,8105250,8624395,8923117,8983860,10303503,15832406,16290535,21209432,15961382,16578046
7,Selling and Marketing Exp.,- -,- -,- -,34459110,34636834,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",39100000,42248087,48970753,56479970,56118834,45054140,49119748,53059051,53651155,58643595,54940948,43339962,7858132,8046126,8105250,8624395,8923117,8983860,10303503,15832406,16290535,21209432,15961382,16578046
9,Other Expenses,16100000,16410321,17409162,36082298,3725484,3573992,3276521,5041476,2773086,5247076,65446185,1403058,2652841,2391531,64625974,69450696,42503207,79444139,102938561,181924579,202354071,208456766,189945480,210380180
10,Operating Expenses,55200000,58658408,66379915,92562268,59844318,48628132,52396269,58100527,56424241,63890671,120387133,44743020,10510973,10437657,72731224,78075091,51426324,88427999,113242064,197756985,218644606,229666198,205906862,226958226
11,COGS and Expenses,80300000,85834868,94299042,123660704,86719297,88089634,92778877,99195578,99261488,112119447,161186548,79044331,75088900,73758274,72731224,78075091,51426324,88427999,113242064,197756985,218644606,229666198,205906862,226958226
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,318833,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10121647,10006091,7357943,6488521,7081801,4375129,3967794,6597738,18430072,16006461,18032669,16894407,26456236
14,Depreciation and Amortization,16100000,16410321,17409162,27554534,3725484,3573992,3276521,3348231,3154221,3391132,3234049,2886854,2652841,2391531,2097179,2220641,2525951,3834992,6232572,6133812,6601123,7349682,11096937,11309995
15,EBITDA,7500000,10358688,16809475,-1426171,5810913,25192520,23670144,21702804,20356788,11657273,-45454736,20388447,25912093,26575530,26863857,27880244,47414722,17805895,68616525,63466763,40784179,45430326,5039430,31038756
16,EBITDA ratio,0.0921,0.1106,0.1584,-0.0124,0.0507,0.2201,0.1937,0.1746,0.1626,0.0871,-0.3743,0.2107,0.2645,0.2720,0.2680,0.2658,0.8077,0.1681,0.5021,0.2734,0.1584,0.1737,0.0244,0.1286
17,Operating Income,1100000,7786536,11854598,-8456089,27972732,26392606,29426077,25098354,25928763,21763633,-39737867,17703042,22882504,23940360,27509373,26830629,5559676,13647821,62589542,60836279,34323167,38118390,-4294103,14660070
18,Operating Income ratio,0.0135,0.0832,0.1117,-0.0734,0.2439,0.2305,0.2408,0.2019,0.2071,0.1626,-0.3272,0.1830,0.2336,0.2450,0.2744,0.2558,0.0947,0.1288,0.4580,0.2620,0.1333,0.1457,-0.0208,0.0607
19,Total Other Income Expenses (Gains),-9700000,-13838169,-12454285,-20565616,-13560934,-5040918,-9032454,-6743781,-8726196,-13497492,-8950918,-10323096,-9629343,-7114304,-9231216,-8252827,-4079416,-3644712,-6803327,-21933400,-16146572,-18278824,-19605166,-21384530
20,Income Before Tax,-8600000,-6051633,-599687,-29021705,14411798,21351688,20393623,18354573,17202567,8266141,-48688785,7379946,13253161,16826056,18278157,18577802,1480260,10003109,55786215,38902879,18176595,19839566,-23899269,-6724460
21,Income Before Tax Ratio,-0.1057,-0.0646,-0.0056,-0.2519,0.1257,0.1865,0.1669,0.1477,0.1374,0.0617,-0.4009,0.0763,0.1353,0.1722,0.1823,0.1771,0.0252,0.0944,0.4082,0.1676,0.0706,0.0759,-0.1159,-0.0279
22,Income Tax expense (Gain),-3300000,-2204000,28998000,-7224000,5812479,8847336,8362781,7649244,7068390,3494870,-18139323,3931831,5267536,6725731,7246887,7031539,514275,3640787,8297802,-48228290,11695546,6597751,-5185992,-5321630
23,Net Income,-5300000,-3847633,-29597687,-21756705,-3727050,12771192,12030842,10705329,10134177,4771271,-30549462,3448115,7985625,10100325,11031270,11546263,39999367,6362322,47488413,87131169,6481049,13450224,-17765922,-1405845
24,Net Income ratio,-0.0651,-0.0411,-0.2788,-0.1889,-0.0325,0.1116,0.0984,0.0861,0.0810,0.0356,-0.2515,0.0356,0.0815,0.1034,0.1100,0.1101,0.6814,0.0601,0.3475,0.3753,0.0252,0.0514,-0.0862,-0.0058
25,EPS,-0.31,-0.22,-1.26,-0.90,-0.15,0.53,0.50,0.44,0.42,0.20,-1.32,0.15,0.36,0.45,0.49,0.51,1.75,0.28,2.00,3.15,0.24,0.49,-0.63,-0.05
26,EPS Diluted,-0.31,-0.22,-1.26,-0.90,-0.15,0.52,0.49,0.44,0.42,0.20,-1.32,0.15,0.35,0.45,0.48,0.51,1.74,0.28,1.98,3.14,0.24,0.48,-0.63,-0.05
27,Weighted Average Shares Outstanding,24723000,17423441,23506091,24273441,24273441,24273783,24263103,24201679,23890371,23349013,23224916,22356389,22493350,22593327,22667102,22735774,22811825,22911727,23787485,27696790,27444110,27730392,28386456,28386456
28,Weighted Average Shares Outstanding Diluted,24723000,17423441,23506091,24303019,24312899,24334480,24528971,24325976,24205842,23518053,23224916,22435475,22575068,22685661,22748962,22838209,22944815,23025720,23950958,27792702,27533983,27777850,28386456,28386456
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1099160/000102140801001243/0001021408-01-001243-index.html,https://www.sec.gov/Archives/edgar/data/1099160/000095016802000549/0000950168-02-000549-index.html,https://www.sec.gov/Archives/edgar/data/1099160/000104596903000606/0001045969-03-000606-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312504040433/0001193125-04-040433-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312505040695/0001193125-05-040695-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312506050492/0001193125-06-050492-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312507052193/0001193125-07-052193-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312508055048/0001193125-08-055048-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312509065373/0001193125-09-065373-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312510053370/0001193125-10-053370-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312511068032/0001193125-11-068032-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312512077172/0001193125-12-077172-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312513061733/0001193125-13-061733-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312514054147/0001193125-14-054147-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312515097149/0001193125-15-097149-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312516480510/0001193125-16-480510-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312517093457/0001193125-17-093457-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312518050343/0001193125-18-050343-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312519044206/0001193125-19-044206-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312520044711/0001193125-20-044711-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312521048932/0001193125-21-048932-index.htm,https://www.sec.gov/Archives/edgar/data/1099160/000119312522050000/0001193125-22-050000-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4800000,7002669,5742628,4998526,5447604,7729746,14850440,16278951,8546344,6550620,3453505,5892777,10659663,13610069,11660648,14299013,14259441,14318494,20325415,13922390,13433828,18648171,20759432,51379000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4800000,7002669,5742628,4998526,5447604,7729746,14850440,16278951,8546344,6550620,3453505,5892777,10659663,13610069,11660648,14299013,14259441,14318494,20325415,13922390,13433828,18648171,20759432,51379000
34,Net Receivables,19100000,21327183,20537209,24301274,23167538,24001097,23874375,23060351,25615840,25077203,21577273,19858199,18376987,17759610,18175425,17195453,17637686,19847536,56064040,60600682,52417152,54577452,47395423,53378437
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1200000,1918223,2425615,3008766,6371440,3055308,2995745,3795963,1912820,2776408,1798957,2067548,3203225,3468906,3554772,4357214,3641078,2913550,27029952,10137901,5094788,6432420,9370414,7441116
37,Total Current Assets,25100000,30248075,28705452,32308566,34986582,34786151,41720560,43135265,36075004,34404231,26829735,27818524,32239875,34838585,33390845,35851680,35538205,37079580,103419407,84660973,70945768,79658043,77525269,112198553
38,PP&E,16500000,15773175,15619688,20259684,18078438,16979825,18729690,19007810,25787641,27092880,25808861,21912733,20575250,19761117,19066881,20136777,28254202,27523353,60166812,59318933,57753646,93929179,88420546,83998341
