,https://roic.ai/company/RLX,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,132613000,1549354000,3819712000,8520978000
2,COGS,73366000,968410000,2292153000,4848918000
3,Gross Profit,59247000,580944000,1527559000,3672060000
4,Gross Profit Ratio,0.4468,0.3750,0.3999,0.4309
5,Research and Development Exp.,2065000,31933000,299285000,179913000
6,General and Administrative Exp.,20685000,133221000,771971000,672748000
7,Selling and Marketing Exp.,34286000,359404000,443154000,520694000
8,"Selling, General and Administrative Exp.",54971000,492625000,1215125000,1193442000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,57036000,524558000,1514410000,1373355000
11,COGS and Expenses,130402000,1492968000,3806563000,6222273000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -
14,Depreciation and Amortization,37000,13406000,62449000,- -
15,EBITDA,2135000,87078000,164880000,2656139000
16,EBITDA ratio,0.0161,0.0562,0.0432,0.3117
17,Operating Income,2211000,56386000,13149000,2298705000
18,Operating Income ratio,0.0167,0.0364,0.0034,0.2698
19,Total Other Income Expenses (Gains),-113000,17286000,89282000,360845000
20,Income Before Tax,2098000,73672000,102431000,2659550000
21,Income Before Tax Ratio,0.0158,0.0476,0.0268,0.3121
22,Income Tax expense (Gain),2385000,25924000,230532000,631426000
23,Net Income,-287000,47748000,-128101000,2024713000
24,Net Income ratio,-0.0022,0.0308,-0.0335,0.2376
25,EPS,-0.00,0.03,-0.08,1.45
26,EPS Diluted,-0.00,0.03,-0.08,1.44
27,Weighted Average Shares Outstanding,1553315570,1553315570,1553315570,1401371494
28,Weighted Average Shares Outstanding Diluted,1553315570,1553315570,1553315570,1409690879
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,68168000,135544000,1113988000,5208967000
32,Short-Term Investments,- -,327652000,1966631000,7643756000
33,Cash and Short-Term Investments,68168000,463196000,3080619000,12852723000
34,Net Receivables,19263000,85725000,54558000,25966000
35,Inventory,14151000,219311000,329123000,589088000
36,Other Current Assets,2755000,414636000,402595000,483159000
37,Total Current Assets,104337000,1182868000,3866895000,13950936000
38,PP&E,889000,176450000,177597000,319413000
39,Goodwill,- -,- -,- -,- -
40,Intangible Assets,- -,5399000,5393000,- -
41,Intangible Assets,- -,5399000,5393000,8366000
42,Investments,- -,5000000,4000000,2016593000
43,Tax Assets,511000,104000,6000000,20856000
44,Other Non-Current Assets,- -,74284000,- -,48961000
45,Total Non-Current Assets,1400000,261237000,192990000,2414189000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,105737000,1444105000,4059885000,16365125000
48,Accounts Payable,17235000,150482000,535784000,1288845000
49,Short-Term Debt,209000,31439000,45073000,80582000
50,Tax Payable,5633000,2783000,363644000,597761000
51,Deferred Revenue,538000,18410000,320434000,286651000
52,Other Current Liabilities,79751000,419571000,1595303000,1081550000
53,Total Current Liabilities,97733000,619902000,2496594000,2737628000
54,Long-Term Debt,283000,61338000,49448000,104232000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,10574000,5210000,4513000
57,Other Non-Current Liabilities,1098000,646011000,- -,- -
58,Total Non-Current Liabilities,1381000,717923000,54658000,108745000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,492000,92777000,94521000,184814000
61,Total Liabilities,99114000,1337825000,2551252000,2846373000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,94000,94000,94000,- -
64,Retained Earnings,-1131000,46461000,-81640000,- -
65,Other Comprehensive Income/Loss,830000,181000,322000,- -
66,Other Total Stockholders Equity,6830000,59544000,1589857000,- -
67,Total Stockholders Equity,6623000,106280000,1508633000,13514952000
68,Total Liabilities And Stockholders Equity,105737000,1444105000,4059885000,16361325000
69,Minority Interest,- -,- -,- -,3800000
70,Total Liabilities & Equity,105737000,1444105000,4059885000,16365125000
71,SEC Link,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-287000,47748000,-128101000,2024713000
74,Depreciation and Amortization,37000,13406000,62449000,- -
75,Deferred Income Tax,-511000,10981000,-11260000,- -
76,Stock Based Compensation,6802000,52714000,929098000,- -
77,Change in Working Capital,-7140000,210668000,1755953000,- -
78,Accounts Receivable,-15645000,-32695000,27389000,- -
79,Inventory,-14151000,-207768000,-109812000,- -
80,Accounts Payable,-15645000,481786000,960761000,- -
81,Other Working Capital,538000,16377000,303519000,- -
82,Other Non-Cash Items,122000,2608000,-18756000,-224821000
83,Cash Provided by Operating Activities,-977000,338125000,2589383000,1799892000
84,CAPEX,-397000,-92395000,-17454000,- -
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,- -,-332652000,-7465693000,- -
87,Sales/Maturities of Investments,- -,- -,5740949000,- -
88,Other Investing Activites,-368000,-80219000,-75565000,-7870660000
89,Cash Used for Investing Activites,-397000,-497836000,-1812894000,-7870660000
90,Debt Repayment,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,-36000000,- -,- -
94,Other Financing Activites,69594000,612402000,174881000,9904121000
95,Cash Used/Provided by Financing Activities,69594000,576402000,174881000,9904121000
96,Effect of Forex Changes on Cash,-14000,-805000,19339000,-78687000
97,Net Change In Cash,69594000,415886000,970709000,3754666000
98,Cash at the End of Period,68206000,484092000,1454801000,5209467000
99,Cash at the Beginning of Period,- -,68206000,484092000,1454801000
100,Free Cash Flow,-1374000,245730000,2571929000,1799892000
101,SEC Link,- -,- -,- -,- -
102,Forex Rate,0.1453,0.1436,0.1532,0.1572
