,https://roic.ai/company/MNDT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,11765000,33658000,83316000,161552000,425662000,622967000,714114000,751086000,830950000,889152000,940584000,483455000
2,COGS,2331000,7280000,17630000,47765000,175093000,233204000,271868000,268887000,272475000,308892000,334027000,254392000
3,Gross Profit,9434000,26378000,65686000,113787000,250569000,389763000,442246000,482199000,558475000,580260000,606557000,229063000
4,Gross Profit Ratio,0.8019,0.7837,0.7884,0.7043,0.5887,0.6257,0.6193,0.6420,0.6721,0.6526,0.6449,0.4738
5,Research and Development Exp.,5291000,7275000,16522000,66036000,203187000,279467000,279594000,243273000,254142000,271326000,252771000,166893000
6,General and Administrative Exp.,1943000,4428000,15221000,52503000,121099000,141790000,139839000,125597000,105773000,111881000,101452000,121134000
7,Selling and Marketing Exp.,11357000,30389000,67562000,167466000,401151000,476166000,439499000,371935000,380962000,396822000,380998000,262643000
8,"Selling, General and Administrative Exp.",13300000,34817000,82783000,219969000,522250000,617956000,579338000,497532000,486735000,508703000,482450000,383777000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,18591000,42092000,99305000,286005000,725437000,897423000,858932000,740805000,740877000,780029000,735221000,550670000
11,COGS and Expenses,20922000,49372000,116935000,333770000,900530000,1130627000,1130800000,1009692000,1013352000,1088921000,1069248000,805062000
12,Interest Income ,3000,3000,7000,68000,713000,2935000,6582000,9323000,16033000,22017000,11325000,5419000
13,Interest Expense (Gain),158000,194000,537000,525000,26000,27116000,47869000,49766000,56426000,61927000,60066000,59333000
14,Depreciation and Amortization,842000,3272000,6917000,20758000,94136000,111956000,119267000,103417000,86505000,103305000,96384000,94723000
15,EBITDA,-8468000,-13245000,-29267000,-158649000,-386282000,-396053000,-321714000,-145876000,-94668000,-86487000,-47959000,1073578000
16,EBITDA ratio,-0.7198,-0.3935,-0.3513,-0.9820,-0.9075,-0.6358,-0.4505,-0.1942,-0.1139,-0.0973,-0.0510,2.2206
17,Operating Income,-9157000,-15714000,-33619000,-172218000,-479195000,-507660000,-444316000,-258606000,-182402000,-210034000,-155171000,-356183000
18,Operating Income ratio,-0.7783,-0.4669,-0.4035,-1.0660,-1.1258,-0.8149,-0.6222,-0.3443,-0.2195,-0.2362,-0.1650,-0.7367
19,Total Other Income Expenses (Gains),-311000,-997000,-3102000,-7714000,-1249000,-27465000,-44534000,-40453000,-55197000,-41685000,-49238000,-52536000
20,Income Before Tax,-9468000,-16711000,-36721000,-179932000,-480444000,-535125000,-488850000,-299059000,-237599000,-251719000,-204409000,-408719000
21,Income Before Tax Ratio,-0.8048,-0.4965,-0.4407,-1.1138,-1.1287,-0.8590,-0.6846,-0.3982,-0.2859,-0.2831,-0.2173,-0.8454
22,Income Tax expense (Gain),13000,71000,-965000,-59297000,-36654000,4090000,-8721000,4632000,5524000,5690000,2894000,3381000
23,Net Income,-9481000,-16782000,-35756000,-120635000,-443790000,-539215000,-480129000,-303691000,-243123000,-257409000,-207303000,916141000
24,Net Income ratio,-0.8059,-0.4986,-0.4292,-0.7467,-1.0426,-0.8656,-0.6723,-0.4043,-0.2926,-0.2895,-0.2204,1.8950
25,EPS,-0.08,-0.14,-0.30,-2.66,-3.12,-3.50,-2.94,-1.71,-1.27,-1.24,-0.93,4.10
26,EPS Diluted,-0.08,-0.14,-0.30,-2.66,-3.12,-3.50,-2.94,-1.71,-1.27,-1.24,-0.93,4.10
27,Weighted Average Shares Outstanding,117470849,117470849,117470849,45271000,142176000,154120000,163211000,177757000,190803000,207234000,223308000,223308000
28,Weighted Average Shares Outstanding Diluted,117470849,117470849,117470849,45271000,142176000,154120000,163211000,177757000,190803000,207234000,223308000,223308000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1370880/000137088021000010/0001370880-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1370880/000137088022000004/0001370880-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,10676000,60200000,173918000,146363000,402102000,223667000,180891000,409829000,334603000,676454000,1154458000
32,Short-Term Investments,- -,- -,- -,- -,255845000,767775000,712058000,715911000,706691000,704955000,624824000,1039339000
33,Cash and Short-Term Investments,- -,10676000,60200000,173918000,402208000,1169877000,935725000,896802000,1116520000,1039558000,1301278000,2193797000
34,Net Receivables,- -,20027000,30133000,95772000,193182000,172752000,121150000,140049000,157817000,171459000,153575000,146460000
35,Inventory,- -,1080000,2340000,5663000,7952000,13747000,5955000,5746000,6548000,5892000,4023000,- -
36,Other Current Assets,- -,1458000,11568000,39814000,53795000,30883000,25081000,34541000,100295000,96827000,103368000,73079000
37,Total Current Assets,- -,33241000,104241000,315167000,657137000,1387259000,1087911000,1077138000,1381180000,1313736000,1562244000,2413336000
38,PP&E,- -,1935000,13536000,64765000,82298000,78368000,61852000,71357000,89163000,152570000,118021000,72097000
39,Goodwill,- -,- -,1274000,706327000,750288000,750288000,978260000,984661000,999804000,1205292000,1364886000,1060023000
40,Intangible Assets,- -,- -,4194000,281377000,261625000,214560000,244032000,187388000,143162000,134420000,126067000,79511000
41,Intangible Assets,- -,- -,5468000,987704000,1011913000,964848000,1222292000,1172049000,1142966000,1339712000,1490953000,1139534000
