,https://roic.ai/company/GMRE-PA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,380405,2061667,8210330,30344000,53192000,70726000,93730000,115936000
2,COGS,- -,- -,- -,- -,- -,- -,1860000,3720000,6266000,10867000,15488000
3,Gross Profit,- -,- -,- -,380405,- -,- -,28484000,49472000,64460000,82863000,100448000
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,- -,0.9387,0.9301,0.9114,0.8841,0.8664
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,45338,604866,865141,5725716,8612000,9959000,14249000,15959000,16453000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,45338,604866,865141,5725716,8612000,9959000,14249000,15959000,16453000
9,Other Expenses,- -,- -,- -,129081,- -,- -,10001000,17269000,23188000,36353000,46875000
10,Operating Expenses,- -,- -,- -,733947,- -,- -,18613000,27228000,37437000,52312000,63328000
11,COGS and Expenses,- -,50108,45338,733947,1524812,8102702,20473000,30948000,43703000,63179000,78816000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,298664,1519102,4138608,7435000,14975000,17472000,18680000,19696000
14,Depreciation and Amortization,- -,- -,- -,129081,659671,2375992,10130000,17957000,23761000,36314000,46875000
15,EBITDA,- -,-50108,-45338,-224461,569526,161150,17527000,46422000,50467000,53069000,84193000
16,EBITDA ratio,- -,-Infinity,-Infinity,-0.5901,0.2762,0.0196,0.5776,0.8727,0.7136,0.5662,0.7262
17,Operating Income,- -,-50108,-45338,-652206,536855,-2214842,7348000,22244000,27331000,30551000,18342000
18,Operating Income ratio,- -,-Infinity,-Infinity,-1.7145,0.2604,-0.2698,0.2422,0.4182,0.3864,0.3259,0.1582
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-2146102,-4138608,-7435000,-7683000,-17743000,-33050000,- -
20,Income Before Tax,- -,- -,-45338,-652206,-1609247,-6353450,-87000,14561000,9588000,-2499000,18342000
21,Income Before Tax Ratio,- -,- -,-Infinity,-1.7145,-0.7806,-0.7738,-0.0029,0.2737,0.1356,-0.0267,0.1582
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-50108,-45338,-652206,-1609247,-6353450,-38000,13490000,9234000,-1925000,17622000
24,Net Income ratio,- -,-Infinity,-Infinity,-1.7145,-0.7806,-0.7738,-0.0013,0.2536,0.1306,-0.0205,0.1520
25,EPS,- -,-0.00,-0.00,-0.01,-0.04,-0.14,-0.00,0.30,0.21,-0.04,0.41
26,EPS Diluted,- -,-0.00,-0.00,-0.01,-0.04,-0.14,-0.00,0.30,0.21,-0.04,0.41
27,Weighted Average Shares Outstanding,- -,44793000,44793000,44793000,44793000,44793000,44793000,44793000,44793000,44793000,44793000
28,Weighted Average Shares Outstanding Diluted,- -,44793000,44793000,44793000,44793000,44793000,44793000,44793000,44793000,44793000,44793000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1533615/000114420419013170/0001144204-19-013170-index.htm,https://www.sec.gov/Archives/edgar/data/1533615/000110465920051676/0001104659-20-051676-index.htm,https://www.sec.gov/Archives/edgar/data/1533615/000155837021002560/0001558370-21-002560-index.htm,https://www.sec.gov/Archives/edgar/data/1533615/000155837022002518/0001558370-22-002518-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,47421,12313,3519,162985,9184270,19671131,5109000,3631000,2765000,5507000,7213000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,47421,12313,3519,162985,9184270,19671131,5109000,3631000,2765000,5507000,7213000
34,Net Receivables,- -,- -,- -,- -,- -,212435,704000,2905000,- -,5699000,6233000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,7500,- -,- -,34247,901937,2153521,3786000,3147000,- -,10063000,11503000
37,Total Current Assets,54921,12313,3519,197232,10086207,22037087,9599000,9683000,2765000,21269000,24949000
38,PP&E,- -,- -,- -,21737984,- -,196365771,316000,139000,- -,3598000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,5903000,5903000
40,Intangible Assets,- -,- -,- -,- -,- -,7144276,29309000,36288000,72794000,73684000,127931000
41,Intangible Assets,- -,- -,- -,- -,- -,7144276,29309000,36288000,72794000,79587000,133834000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,309543,55242518,1771996,435347000,589989000,- -,996452000,1104702000
45,Total Non-Current Assets,- -,- -,- -,22047527,55242518,205282043,464972000,626416000,72794000,1079637000,1238536000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,54921,12313,3519,22244759,65328725,227319130,474571000,636099000,75559000,1100906000,1263485000
48,Accounts Payable,- -,- -,- -,- -,- -,573997,2020000,3664000,5069000,7279000,10344000
49,Short-Term Debt,- -,- -,- -,19634297,- -,66534298,- -,- -,347518000,521641000,514567000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
