,https://roic.ai/company/ASAN,2019,2020,2021,2022
0,INCOME STATEMENT, , , , 
1,Revenue,76770000,142606000,227004000,378437000
2,COGS,13832000,19881000,28741000,38897000
3,Gross Profit,62938000,122725000,198263000,339540000
4,Gross Profit Ratio,0.8198,0.8606,0.8734,0.8972
5,Research and Development Exp.,42585000,89675000,121139000,203124000
6,General and Administrative Exp.,20260000,46845000,76212000,118703000
7,Selling and Marketing Exp.,52106000,105836000,176479000,282897000
8,"Selling, General and Administrative Exp.",72366000,152681000,252691000,401600000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,114951000,242356000,373830000,604724000
11,COGS and Expenses,128783000,262237000,402571000,643621000
12,Interest Income ,1113000,1755000,1568000,- -
13,Interest Expense (Gain),- -,78000,36178000,-1536000
14,Depreciation and Amortization,4231000,2233000,3486000,8464000
15,EBITDA,-46669000,-116033000,-170513000,-278177000
16,EBITDA ratio,-0.6079,-0.8137,-0.7511,-0.7351
17,Operating Income,-52013000,-119631000,-175567000,-265184000
18,Operating Income ratio,-0.6775,-0.8389,-0.7734,-0.7007
19,Total Other Income Expenses (Gains),1113000,1287000,-34610000,-19921000
20,Income Before Tax,-50900000,-118344000,-210177000,-285105000
21,Income Before Tax Ratio,-0.6630,-0.8299,-0.9259,-0.7534
22,Income Tax expense (Gain),28000,245000,1533000,3237000
23,Net Income,-50928000,-118589000,-211710000,-288342000
24,Net Income ratio,-0.6634,-0.8316,-0.9326,-0.7619
25,EPS,-0.34,-0.82,-1.99,-2.71
26,EPS Diluted,-0.34,-0.82,-1.99,-2.71
27,Weighted Average Shares Outstanding,149592000,143887000,106344000,106344000
28,Weighted Average Shares Outstanding Diluted,149592000,143887000,106344000,106344000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1477720/000147772021000007/0001477720-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1477720/000147772022000012/0001477720-22-000012-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,23778000,306020000,259878000,240403000
32,Short-Term Investments,64189000,45288000,126396000,71628000
33,Cash and Short-Term Investments,87967000,351308000,386274000,312031000
