,https://roic.ai/company/CYD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10130015712,1209076880,941390520,1172292240,1270147205,1412700242,1783628229,3513672446,4570747410,5583206546,5831811990,7867334410,10214138178,10384022000,13175903000,16208184000,15444428000,13449489000,15902355000,16436142000,13733437000,13664840000,16222442000,16263248000,18016085000,20581170000,21265930000
2,COGS,- -,712832560,538174000,639131080,700871921,958836517,1183599878,2371504358,3193346031,4007684203,4528894413,6421171073,8135550715,8561520000,10630085000,12199253000,12002149000,10569605000,12637451000,13145152000,10942865000,10700655000,12707419000,13171227000,14910244000,17391599000,18313817000
3,Gross Profit,- -,496244320,403216520,533161160,569275284,453863725,600028351,1142168088,1377401378,1575522342,1302917577,1446163338,2078587463,1822502000,2545818000,4008931000,3442279000,2879884000,3264904000,3290990000,2790572000,2964185000,3515023000,3092021000,3105841000,3189571000,2952113000
4,Gross Profit Ratio,- -,0.4104,0.4283,0.4548,0.4482,0.3213,0.3364,0.3251,0.3014,0.2822,0.2234,0.1838,0.2035,0.1755,0.1932,0.2473,0.2229,0.2141,0.2053,0.2002,0.2032,0.2169,0.2167,0.1901,0.1724,0.1550,0.1388
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,44726466,75545758,94610976,136986826,123928225,190586495,163684928,177370000,297259000,324123000,328140000,373732000,468612000,494594000,506955000,588007000,608181000,447668000,492204000,626478000,848812000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1755957000
9,Other Expenses,- -,521969360,472765160,442921150,454673544,363765600,260130386,426205227,561258570,658452329,1010228982,909438020,1015413425,1041225000,1471857000,1735136000,1579051000,1436137000,1484843000,1566213000,1457764000,1447391000,1794106000,1522070000,1669778000,1550510000,-316189000
10,Operating Expenses,- -,521969360,472765160,442921150,454673544,363765600,304856852,501750985,655869546,795439155,1134157207,1100024515,1179098353,1218595000,1769116000,2059259000,1907191000,1809869000,1953455000,2060807000,1964719000,2035398000,2402287000,1969738000,2161982000,2176988000,2288580000
11,COGS and Expenses,- -,1234801920,1010939160,1082052230,1155545465,1322602117,1488456731,2873255343,3849215578,4803123359,5663051620,7521195588,9314649067,9780115000,12399201000,14258512000,13909340000,12379474000,14590906000,15205959000,12907584000,12736053000,15109706000,15140965000,17072226000,19568587000,20602397000
12,Interest Income ,- -,- -,- -,- -,- -,6250154,9561182,- -,3584439,3286426,21758083,53576623,57936589,- -,- -,- -,- -,99685000,78939000,45824000,41314000,56983000,105421000,147244000,177261000,166970000,- -
13,Interest Expense (Gain),- -,63067840,- -,61263860,- -,27852871,29792810,25148807,23625840,31754983,70554317,133563378,133865591,146973000,77493000,130446000,156174000,207073000,156945000,115630000,111336000,75131000,96072000,108339000,126851000,147293000,115928000
14,Depreciation and Amortization,- -,161818800,182151200,149848090,144725673,142662254,130561878,118881507,125538145,132822917,139776506,162406330,238678879,266621000,285314000,275136000,301557000,335337000,377110000,418675000,456002000,465341000,431815000,421161000,465209000,494607000,- -
15,EBITDA,1281974688,146051840,-263291280,221046630,199634177,218209756,347190953,639787969,700372881,761258674,299728688,457120640,1007421668,776575000,1138361000,1850825000,1503043000,1251981000,1456625000,1444224000,1085264000,1216479000,1701976000,1431433000,1369593000,1383341000,432417000
