,https://roic.ai/company/MMNFF,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,305464,- -,30105,19341,20278,22176,36415,33599,18141,27656,19656,24924,20644,26652,20066,12752,1962,39783102,129963405,157112281,145065771
2,COGS,- -,395022,- -,19297,7782,8195,10816,9357,10315,9332,10697,9025,7782,7956,7656,7888,7659,3772,25932877,69085698,98991307,77776601
3,Gross Profit,- -,-89558,- -,10808,11559,12084,11361,27058,23284,8809,16959,10631,17142,12687,18996,12178,5093,-1810,13850225,60877707,58120974,67289170
4,Gross Profit Ratio,- -,-0.2932,- -,0.3590,0.5976,0.5959,0.5123,0.7431,0.6930,0.4856,0.6132,0.5409,0.6878,0.6146,0.7127,0.6069,0.3994,-0.9225,0.3481,0.4684,0.3699,0.4639
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,45594,19113,9366,8913,11109,41730,41691,28223,53703,236992,133035,240605,136184,106585,126388,98180978,234649949,200273872,124585936
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7014849,27548784,10641912,1109210
8,"Selling, General and Administrative Exp.",- -,171765,74816,45594,19113,9366,8913,11109,41730,41691,28223,53703,236992,133035,240605,136184,106585,126388,105195827,262198733,210915784,125695146
9,Other Expenses,- -,8224,- -,- -,0,- -,0,- -,- -,0,- -,0,- -,- -,- -,- -,0,- -,5257862,20975133,39953805,30894386
10,Operating Expenses,- -,179989,- -,45594,19113,9366,8913,11109,41730,41691,28223,53703,236992,133035,240605,136184,106585,126388,110453689,283173866,250869589,156589532
11,COGS and Expenses,- -,575011,74816,64891,26895,17561,19728,20466,52046,51023,38921,62728,244774,140991,248261,144072,114244,130160,136386566,352259564,349860896,234366133
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,701789,766035,649230
13,Interest Expense (Gain),- -,- -,- -,- -,17164,29771,31379,36999,30438,35927,34966,35408,30073,2456,6527,135,119,86,16114791,22817166,49487282,61370024
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6030947,22598860,42943366,33808332
15,EBITDA,- -,-1271660,-74816,325431,-7554,219043,2448,15949,-18446,-32882,-11264,-43071,-219850,-120348,-221609,-124006,-101492,-122583,-42962429,-19888613,-194432649,-27132981
16,EBITDA ratio,- -,-4.1630,-Infinity,10.8098,-0.3905,10.8018,0.1104,0.4380,-0.5490,-1.8126,-0.4073,-2.1912,-8.8208,-5.8298,-8.3149,-6.1800,-7.9592,-62.4803,-1.0799,-0.1530,-1.2375,-0.1870
17,Operating Income,- -,-269547,-74816,-34786,-7554,2717,2448,15949,-18446,-32882,-11264,-43071,-219850,-120348,-228136,-124006,-101492,-128198,-96603464,-231693357,-192748615,-67587103
18,Operating Income ratio,- -,-0.8824,-Infinity,-1.1555,-0.3905,0.1340,0.1104,0.4380,-0.5490,-1.8126,-0.4073,-2.1912,-8.8208,-5.8298,-8.5598,-6.1800,-7.9592,-65.3425,-2.4283,-1.7828,-1.2268,-0.4659
19,Total Other Income Expenses (Gains),- -,-1002113,- -,360217,-17164,186555,-31379,-36999,-30438,-35927,-34966,-35408,-30073,-2456,- -,-135,-119,5530,-14122326,-31538369,-322599701,-76024140
20,Income Before Tax,- -,- -,- -,325431,-24718,189272,-28930,-21050,-48884,-68809,-46230,-78480,-249923,-122803,-228136,-124141,-101611,-122669,-110725790,-263231726,-515348316,-143611243
21,Income Before Tax Ratio,- -,- -,- -,10.8098,-1.2780,9.3337,-1.3046,-0.5781,-1.4549,-3.7931,-1.6716,-3.9926,-10.0274,-5.9487,-8.5598,-6.1867,-7.9685,-62.5240,-2.7832,-2.0254,-3.2801,-0.9900
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1539054,13814885,-39598946,1834188
23,Net Income,- -,-1271660,-75182,325431,-24718,189272,-28930,-21050,-48884,-68809,-46230,-78480,-249923,-122803,-228136,-124141,-101611,-122669,-66647221,-79119524,-247264351,-124145525
24,Net Income ratio,- -,-4.1630,-Infinity,10.8098,-1.2780,9.3337,-1.3046,-0.5781,-1.4549,-3.7931,-1.6716,-3.9926,-10.0274,-5.9487,-8.5598,-6.1867,-7.9685,-62.5240,-1.6753,-0.6088,-1.5738,-0.8558
25,EPS,- -,-28.60,-1.39,6.55,-0.55,3.66,-0.65,-0.47,-1.80,-2.00,-1.03,-1.87,-1.24,-0.59,-0.83,-0.21,-0.17,-0.22,-1.65,-0.75,-0.92,-0.24
26,EPS Diluted,- -,-28.60,-1.39,6.55,-0.55,3.66,-0.65,-0.47,-1.80,-2.00,-1.03,-1.87,-1.24,-0.59,-0.83,-0.21,-0.17,-0.22,-1.65,-0.75,-0.92,-0.24
27,Weighted Average Shares Outstanding,- -,44256,44674,44674,44674,44674,44674,44674,44674,44674,44674,44674,268295,367859,410569,585578,585578,585579,40480284,105915105,270418842,530980011
28,Weighted Average Shares Outstanding Diluted,- -,44256,44674,44674,44674,44674,44674,44674,44674,44674,44674,44674,268295,367859,410569,585578,585578,585579,40480284,105915105,270418842,530980011
