,https://roic.ai/company/CTLP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,600000,1800000,3900000,2100000,1500000,1700000,2900000,5600000,4700000,6400000,9200000,16100000,12000000,15800000,22900000,29000000,35900000,42300000,58134000,77572000,101436000,132508000,143799000,163153000,166939000
2,COGS,- -,500000,1300000,3000000,1300000,800000,900000,3000000,4300000,3500000,4400000,7800000,12700000,9200000,10900000,15100000,19100000,21800000,27300000,40955000,55566000,76375000,96832000,105680000,116880000,112913000
3,Gross Profit,- -,100000,500000,900000,800000,700000,800000,-100000,1300000,1200000,2000000,1400000,3400000,2800000,4900000,7800000,9900000,14100000,15000000,17179000,22006000,25061000,35676000,38119000,46273000,54026000
4,Gross Profit Ratio,- -,0.1667,0.2778,0.2308,0.3810,0.4667,0.4706,-0.0345,0.2321,0.2553,0.3125,0.1522,0.2112,0.2333,0.3101,0.3406,0.3414,0.3928,0.3546,0.2955,0.2837,0.2471,0.2692,0.2651,0.2836,0.3236
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,2700000,1900000,1000000,1800000,900000,1000000,- -,- -,1400000,1300000,4600000,- -,- -
6,General and Administrative Exp.,2500000,3100000,4100000,4200000,7500000,8600000,12600000,12200000,16800000,12000000,12100000,14700000,17000000,12500000,13000000,10400000,13700000,10800000,13000000,17156000,24048000,26777000,33347000,42468000,81558000,58624000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2500000,3100000,4100000,4200000,7500000,8600000,12600000,12200000,16800000,12000000,12100000,14700000,17000000,12500000,13000000,10400000,13700000,10800000,13000000,17156000,24048000,26777000,33347000,42468000,81558000,58624000
9,Other Expenses,30795,117871,139921,132706,115548,204436,3480530,2741264,1970423,1589523,1692145,1754809,1866706,1567273,1555728,1454975,1461443,1682688,636504,-93063,-1028000,-1666000,3204000,19869000,4307000,4107000
