,https://roic.ai/company/THR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,192713000,- -,270515000,284036000,277323000,308578000,281928000,264130000,308609000,412642000,383486000,276181000
2,COGS,101401000,- -,138400000,151204000,142153000,153874000,150613000,152199000,164798000,236702000,221848000,158938000
3,Gross Profit,91312000,- -,132115000,132832000,135170000,154704000,131315000,111931000,143811000,175940000,161638000,117243000
4,Gross Profit Ratio,0.4738,- -,0.4884,0.4677,0.4874,0.5013,0.4658,0.4238,0.4660,0.4264,0.4215,0.4245
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,76280000,- -,- -,- -,- -,- -,- -,- -,498000,-1635000
7,Selling and Marketing Exp.,- -,- -,- -,64633000,65463000,76868000,80729000,77715000,94615000,106660000,111202000,91398000
8,"Selling, General and Administrative Exp.",- -,- -,76280000,64633000,65463000,76868000,80729000,77715000,94615000,106660000,111700000,89763000
9,Other Expenses,49769000,- -,11379000,11211000,11090000,10775000,12112000,11772000,16458000,20771000,17773000,9445000
10,Operating Expenses,49769000,- -,87659000,75844000,76553000,87643000,92841000,89487000,111073000,127431000,129473000,99208000
11,COGS and Expenses,151170000,- -,226059000,227048000,218706000,241517000,243454000,241686000,275871000,364133000,351321000,258146000
12,Interest Income ,6000,- -,122000,112000,246000,460000,423000,566000,606000,238000,252000,76000
13,Interest Expense (Gain),7357000,- -,19584000,15225000,10019000,4565000,4142000,3518000,8984000,15714000,14279000,10261000
14,Depreciation and Amortization,4424000,- -,13971000,13831000,14178000,14143000,17409000,17832000,24420000,29965000,28275000,20722000
15,EBITDA,44687000,- -,53053000,70606000,56960000,81270000,53276000,40089000,50487000,78408000,59634000,30710000
16,EBITDA ratio,0.2319,- -,0.1961,0.2486,0.2054,0.2634,0.1890,0.1518,0.1636,0.1900,0.1555,0.1112
17,Operating Income,41543000,- -,44456000,56988000,58617000,67061000,36761000,22444000,32738000,48509000,32663000,7777000
18,Operating Income ratio,0.2156,- -,0.1643,0.2006,0.2114,0.2173,0.1304,0.0850,0.1061,0.1176,0.0852,0.0282
19,Total Other Income Expenses (Gains),-8637000,- -,-24958000,-15438000,-25854000,-4499000,-4395000,-3362000,-14349000,-15367000,-15585000,-8050000
20,Income Before Tax,32906000,- -,19498000,41550000,32763000,62562000,32366000,19082000,18389000,33142000,17078000,-273000
21,Income Before Tax Ratio,0.1708,- -,0.0721,0.1463,0.1181,0.2027,0.1148,0.0722,0.0596,0.0803,0.0445,-0.0010
22,Income Tax expense (Gain),13966000,- -,7468000,14576000,6964000,13176000,8716000,4098000,5170000,9973000,5142000,-1438000
23,Net Income,18940000,- -,12030000,26974000,25799000,49386000,23009000,14641000,11913000,22756000,11938000,1165000
24,Net Income ratio,0.0983,- -,0.0445,0.0950,0.0930,0.1600,0.0816,0.0554,0.0386,0.0551,0.0311,0.0042
25,EPS,0.40,- -,0.41,0.88,0.82,1.54,0.72,0.45,0.37,0.70,0.36,0.04
26,EPS Diluted,0.36,- -,0.40,0.85,0.80,1.52,0.71,0.45,0.36,0.69,0.36,0.03
27,Weighted Average Shares Outstanding,47205000,- -,29083000,30797000,31595000,32027000,32177000,32302000,32424000,32569000,32760000,33135000
28,Weighted Average Shares Outstanding Diluted,52253000,- -,30454000,31797000,32154000,32407000,32593000,32633000,32797000,33054000,33149000,33341000
29,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1489096/000148909613000025/0001489096-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909614000021/0001489096-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909615000044/0001489096-15-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909616000154/0001489096-16-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909617000034/0001489096-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909618000054/0001489096-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909619000130/0001489096-19-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909620000088/0001489096-20-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909621000074/0001489096-21-000074-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,30147000,- -,21468000,43847000,72640000,93774000,84570000,42842000,33879000,31402000,43237000,40124000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,44786000,1022000,- -,- -,- -
33,Cash and Short-Term Investments,30147000,- -,21468000,43847000,72640000,93774000,84570000,87628000,34901000,31402000,43237000,40124000
34,Net Receivables,44889000,- -,55230000,64925000,58768000,67245000,66307000,68720000,112410000,136166000,105207000,94111000
35,Inventory,22835000,- -,38453000,34391000,37316000,41008000,40645000,34020000,63829000,64890000,60273000,63790000
36,Other Current Assets,5759000,- -,12513000,8414000,7383000,8677000,8231000,7806000,9054000,7320000,9219000,8784000
37,Total Current Assets,103630000,- -,127664000,151577000,176107000,210704000,199753000,198174000,220194000,239778000,217936000,206809000
38,PP&E,22750000,- -,27661000,31211000,31532000,34824000,41617000,43266000,74485000,74955000,89179000,85249000
39,Goodwill,42013000,- -,118007000,116303000,114112000,105232000,121510000,122521000,210566000,204995000,197978000,213038000
40,Intangible Assets,50137000,- -,144801000,131916000,118917000,99575000,89298000,86178000,151434000,126596000,104546000,103784000
41,Intangible Assets,92150000,- -,262808000,248219000,233029000,204807000,210808000,208699000,362000000,331591000,302524000,316822000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1476000,2823000,3425000,3829000,2904000,2586000
44,Other Non-Current Assets,2586000,- -,7446000,4516000,1791000,1736000,323000,1118000,2373000,5609000,8362000,6412000
45,Total Non-Current Assets,117486000,- -,297915000,283946000,266352000,241367000,254224000,255906000,442283000,415984000,402969000,411069000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,221116000,- -,425579000,435523000,442459000,452071000,453977000,454080000,662477000,655762000,620905000,617878000
48,Accounts Payable,9397000,- -,15728000,20370000,17066000,17145000,19458000,15683000,22995000,22705000,25070000,19722000
49,Short-Term Debt,- -,- -,24528000,- -,13500000,13500000,13500000,20250000,2500000,13725000,6053000,6011000
50,Tax Payable,2158000,- -,1374000,1881000,1663000,3768000,4295000,2054000,7498000,4146000,3640000,2623000
51,Deferred Revenue,- -,- -,- -,3826000,2984000,2999000,3638000,2935000,8662000,7597000,4895000,3242000
52,Other Current Liabilities,16836000,- -,26262000,21463000,10157000,19494000,20975000,13455000,28243000,29026000,24617000,23453000
53,Total Current Liabilities,26233000,- -,66518000,45659000,43707000,53138000,57571000,52323000,62400000,73053000,60635000,52428000
54,Long-Term Debt,109249000,- -,118145000,118145000,108000000,94500000,80112000,60226000,214533000,197729000,169053000,155390000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,30005000,- -,45999000,42599000,37896000,30835000,29114000,25661000,34252000,28139000,22245000,21088000
57,Other Non-Current Liabilities,555000,- -,2437000,3073000,2390000,3070000,3179000,3368000,10439000,7892000,22533000,9811000
58,Total Non-Current Liabilities,139809000,- -,166581000,163817000,148286000,128405000,112405000,89255000,259224000,233760000,213831000,186289000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,3528000,- -,- -,- -,- -,- -,- -,- -,19124000,15884000
61,Total Liabilities,166042000,- -,233099000,209476000,191993000,181543000,169976000,141578000,321624000,306813000,274466000,238717000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,30000,31000,32000,32000,32000,32000,32000,33000,33000,33000
64,Retained Earnings,- -,- -,-2910000,24064000,49863000,99249000,122258000,136899000,148812000,170621000,182559000,183725000
65,Other Comprehensive Income/Loss,-5292000,- -,3362000,-1075000,-7880000,-41400000,-44569000,-48335000,-36541000,-48949000,-63894000,-35919000
66,Other Total Stockholders Equity,60366000,- -,191998000,203027000,208451000,213885000,216701000,219284000,222622000,223040000,227741000,231322000
67,Total Stockholders Equity,55074000,- -,192480000,226047000,250466000,271766000,294422000,307880000,334925000,344745000,346439000,379161000
68,Total Liabilities And Stockholders Equity,221116000,- -,425579000,435523000,442459000,453309000,464398000,449458000,656549000,651558000,620905000,617878000
69,Minority Interest,- -,- -,- -,- -,- -,-1238000,-10421000,4622000,5928000,4204000,- -,- -
70,Total Liabilities & Equity,221116000,- -,425579000,435523000,442459000,452071000,453977000,454080000,662477000,655762000,620905000,617878000
71,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1489096/000148909613000025/0001489096-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909614000021/0001489096-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909615000044/0001489096-15-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909616000154/0001489096-16-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909617000034/0001489096-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909618000054/0001489096-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909619000130/0001489096-19-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909620000088/0001489096-20-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909621000074/0001489096-21-000074-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,18940000,- -,12030000,26974000,25799000,49386000,23009000,14641000,11913000,22756000,11938000,1165000
74,Depreciation and Amortization,4424000,- -,13971000,13831000,14178000,14143000,17409000,17832000,24420000,29965000,28275000,20722000
75,Deferred Income Tax,4040000,- -,-2766000,-1262000,-4429000,-7164000,-5402000,-3390000,-11337000,-4416000,-4145000,-2993000
76,Stock Based Compensation,- -,- -,6514000,1341000,2203000,3295000,3749000,3402000,3519000,4148000,4960000,3728000
77,Change in Working Capital,21643000,- -,-32408000,44772000,26482000,25166000,-15384000,3669000,11943000,8931000,-9424000,-2920000
78,Accounts Receivable,-2971000,- -,-11435000,-7120000,2894000,-12242000,6272000,-5212000,-13818000,-14541000,9449000,22930000
79,Inventory,2855000,- -,-8189000,3389000,-3500000,-6862000,1637000,6579000,-9059000,-3432000,1407000,-549000
80,Accounts Payable,-789000,- -,-1292000,4895000,-3157000,-297000,1006000,-4608000,2003000,-21000,3407000,-5651000
81,Other Working Capital,77397000,- -,1113000,105918000,132400000,157566000,142182000,145851000,157794000,166725000,157301000,154381000
82,Other Non-Cash Items,-24366000,- -,7952000,-44286000,-18119000,-33095000,24539000,-9714000,-18543000,-38157000,39122000,10587000
83,Cash Provided by Operating Activities,24681000,- -,5293000,41370000,46114000,51731000,47920000,26440000,21915000,23227000,70726000,30289000
84,CAPEX,-1587000,- -,-8883000,-6264000,-3367000,-6075000,-12581000,-8370000,-10008000,-12036000,-10855000,-8132000
85,Acquisitions Net,- -,- -,-685000,- -,-2055000,-3890000,-31180000,- -,-202693000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-44786000,-8123000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,53406000,952000,- -,- -
88,Other Investing Activites,2000,- -,- -,-289000,- -,- -,2193000,1161000,949000,1014000,845000,300000
89,Cash Used for Investing Activites,-1585000,- -,-9568000,-6553000,-5422000,-9965000,-41568000,-51995000,-166469000,-10070000,-10010000,-7832000
90,Debt Repayment,- -,- -,-72918000,-21630000,-147130000,-13686000,-13735000,-13757000,-116264000,-40528000,-52079000,-65239000
91,Common Stock Issued,- -,- -,3432000,5558000,3340000,547000,240000,168000,383000,396000,1016000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-8600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,44634000,3883000,133213000,1302000,-1514000,-1069000,249821000,26031000,4523000,37034000
95,Cash Used/Provided by Financing Activities,-8600000,- -,-24852000,-12189000,-10577000,-11837000,-15009000,-14658000,133940000,-14101000,-46540000,-28205000
96,Effect of Forex Changes on Cash,2249000,- -,-671000,-249000,-1321000,-8795000,-547000,-1516000,1651000,-1542000,-2011000,2192000
97,Net Change In Cash,16745000,- -,-29798000,22379000,28793000,21134000,-9204000,-41728000,-8963000,-2486000,12165000,-3556000
98,Cash at the End of Period,30147000,- -,21468000,43847000,72640000,93774000,84570000,42842000,33879000,33841000,46006000,42450000
99,Cash at the Beginning of Period,13402000,- -,51266000,21468000,43847000,72640000,93774000,84570000,42842000,36327000,33841000,46006000
100,Free Cash Flow,23094000,- -,-3590000,35106000,42747000,45656000,35339000,18070000,11907000,11191000,59871000,22157000
101,SEC Link,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/1489096/000148909613000025/0001489096-13-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909614000021/0001489096-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909615000044/0001489096-15-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909616000154/0001489096-16-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909617000034/0001489096-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909618000054/0001489096-18-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909619000130/0001489096-19-000130-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909620000088/0001489096-20-000088-index.htm,https://www.sec.gov/Archives/edgar/data/1489096/000148909621000074/0001489096-21-000074-index.htm
102,false,,,,,,,,,,,,
