,https://roic.ai/company/ACCA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,54500000,53370000,- -,- -,- -,- -,- -,- -,- -,423404,998972,1411425,1756987,- -,- -,147878,1412998,- -,311283,478231,415051,519221
2,COGS,51210000,55490000,- -,- -,- -,- -,- -,- -,- -,100937,85950,196534,414943,- -,- -,232132,826286,- -,238983,241343,276310,493899
3,Gross Profit,3290000,-2120000,- -,- -,- -,- -,- -,- -,- -,322467,913022,1214891,1342044,- -,- -,-84254,586712,- -,72300,236888,138741,25322
4,Gross Profit Ratio,0.0604,-0.0397,- -,- -,- -,- -,- -,- -,- -,0.7616,0.9140,0.8608,0.7638,- -,- -,-0.5698,0.4152,- -,0.2323,0.4953,0.3343,0.0488
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2530000,5270000,- -,- -,- -,- -,- -,- -,444310,3575044,1549674,1322789,1687337,842461,709398,572796,740739,926312,1807407,1629371,1535029,962761
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2530000,5270000,- -,- -,- -,- -,- -,- -,444310,3575044,1549674,1322789,1687337,842461,709398,572796,740739,926312,1807407,1629371,1535029,962761
9,Other Expenses,0,-0,- -,- -,- -,- -,- -,- -,2869,601270,219829,154298,96352,17145,16353,11091,8411,6110,7012,5514,23516,58972
10,Operating Expenses,2530000,5270000,- -,- -,- -,- -,- -,- -,447179,4176314,1769503,1477087,1783689,859606,725751,583887,749150,932422,1814419,1634885,1558545,1021733
11,COGS and Expenses,53740000,60760000,- -,- -,- -,- -,- -,- -,447179,4277251,1855453,1673621,2198632,859606,725751,816019,1575436,932422,2053402,1876228,1834855,1515632
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,8223,5595,1817,137,- -,- -,- -,- -,- -,140,- -,- -,- -
13,Interest Expense (Gain),-30000,-60000,- -,- -,- -,- -,- -,- -,497794,2890,20378,22078,15241,12661,- -,- -,30535,14666,148,427572,84794,118841
14,Depreciation and Amortization,160000,200000,- -,- -,- -,- -,- -,- -,2869,101270,219829,154298,96352,17145,16353,52765,99819,6110,76860,78457,104560,165396
15,EBITDA,870000,-7260000,- -,- -,- -,- -,- -,- -,-444310,-3746721,-670290,-98458,-105328,-842461,-709398,-630543,-21296,-926312,-1708106,-1327699,-1523349,-1304691
16,EBITDA ratio,0.0160,-0.1360,- -,- -,- -,- -,- -,- -,-Infinity,-8.8490,-0.6710,-0.0698,-0.0599,-Infinity,-Infinity,-4.2639,-0.0151,-Infinity,-5.4873,-2.7763,-3.6703,-2.5128
17,Operating Income,750000,-7390000,- -,- -,- -,- -,- -,- -,-944973,-3853847,-856481,-262196,-438710,-859606,-725751,-668141,-162438,-932422,-1742119,-1397997,-1419804,-996411
18,Operating Income ratio,0.0138,-0.1385,- -,- -,- -,- -,- -,- -,-Infinity,-9.1021,-0.8574,-0.1858,-0.2497,-Infinity,-Infinity,-4.5182,-0.1150,-Infinity,-5.5966,-2.9233,-3.4208,-1.9190
19,Total Other Income Expenses (Gains),-20000,-10000,- -,- -,- -,- -,- -,- -,- -,2966,-54016,7623,159973,-12543,2970,-15167,10788,-14666,-42995,-435731,-292899,-592517
20,Income Before Tax,730000,-7400000,- -,- -,- -,- -,- -,- -,- -,-3850881,-910497,- -,-278737,-872149,-722781,-683308,-151650,-947088,-1785114,-1833728,-1712703,-1588928
21,Income Before Tax Ratio,0.0134,-0.1387,- -,- -,- -,- -,- -,- -,- -,-9.0951,-0.9114,- -,-0.1586,-Infinity,-Infinity,-4.6208,-0.1073,-Infinity,-5.7347,-3.8344,-4.1265,-3.0602
22,Income Tax expense (Gain),270000,1550000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,470000,-8950000,- -,- -,- -,- -,- -,- -,-944973,-3850881,-910497,-274834,-216921,-455678,186630,-683308,-151650,528405,-1785114,-1833728,-1712703,-1588928
24,Net Income ratio,0.0086,-0.1677,- -,- -,- -,- -,- -,- -,-Infinity,-9.0951,-0.9114,-0.1947,-0.1235,-Infinity,Infinity,-4.6208,-0.1073,Infinity,-5.7347,-3.8344,-4.1265,-3.0602
25,EPS,0.94,-17.90,- -,- -,- -,- -,- -,- -,-0.21,-0.35,-0.07,-0.02,-0.02,-0.04,0.02,-0.06,-0.01,0.05,-0.11,-0.11,-0.09,-0.05
26,EPS Diluted,0.94,-17.90,- -,- -,- -,- -,- -,- -,-0.21,-0.35,-0.07,-0.02,-0.02,-0.04,0.02,-0.06,-0.01,0.05,-0.11,-0.11,-0.09,-0.05
27,Weighted Average Shares Outstanding,500000,500000,- -,- -,- -,- -,- -,1107522,4423000,10997523,12017524,12063017,11562524,11562524,11562524,12004281,12638577,12820021,15548247,17372858,19604467,32409778
28,Weighted Average Shares Outstanding Diluted,500000,500000,- -,- -,- -,- -,- -,1107522,4423000,10997523,12017524,12063017,11562524,11562524,11562524,12004281,12638577,12820021,15548247,17372858,19604467,32409778
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1001463/000101182399000017/0001011823-99-000017-index.html,- -,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1001463/000118518513000039/0001185185-13-000039-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518515001386/0001185185-15-001386-index.htm,https://www.sec.gov/Archives/edgar/data/1001463/000118518515001394/0001185185-15-001394-index.htm,https://www.sec.gov/Archives/edgar/data/1001463/000118518516003668/0001185185-16-003668-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518517000668/0001185185-17-000668-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518518000573/0001185185-18-000573-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518519000474/0001185185-19-000474-index.html,https://www.sec.gov/Archives/edgar/data/1001463/000118518520000904/0001185185-20-000904-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1070000,620000,- -,- -,- -,- -,- -,- -,- -,50000,10000,20000,10000,- -,190000,- -,10090,221170,43880,28420,51800,29770
32,Short-Term Investments,100000,- -,- -,- -,- -,- -,- -,- -,- -,30000,- -,40000,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1170000,620000,- -,- -,- -,- -,- -,- -,- -,80000,10000,60000,30000,- -,190000,- -,10090,221170,43880,28420,51800,29770
34,Net Receivables,7310000,5420000,- -,- -,- -,- -,- -,- -,- -,210000,240000,320000,290000,- -,10000,90000,212786,147700,35630,22820,135970,52460
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63090,57260,43550,46200
36,Other Current Assets,2590000,410000,- -,- -,- -,- -,- -,- -,- -,160000,150000,150000,150000,980000,- -,- -,770694,21070,60500,11030,7810,7890
