,https://roic.ai/company/HASI,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,15336453,1953000,17288782,14611000,25864000,31402000,42067000,62390000,83096000,141514000,142688000,217882000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0013,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,9047884,2506000,11598373,3844000,5550000,6462000,8293000,10762000,13503000,14693000,14846000,19907000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",9047884,2506000,11598373,3844000,5550000,6462000,8293000,10762000,13503000,14693000,14846000,19907000
9,Other Expenses,- -,- -,- -,23652000,10518000,16788000,18877000,19708000,25651000,36804000,47862000,53471000
10,Operating Expenses,- -,- -,- -,27496000,16068000,23250000,27170000,30470000,39154000,51497000,62708000,73378000
11,COGS and Expenses,9732681,- -,12038112,- -,- -,- -,- -,- -,- -,- -,15000,- -
12,Interest Income ,369540,11739000,287126,17365000,26950000,38897000,50024000,61813000,74347000,76200000,95559000,106889000
13,Interest Expense (Gain),369540,295000,287126,56000,- -,- -,45241000,65472000,76874000,64241000,92182000,121705000
14,Depreciation and Amortization,3759744,1020000,792157,652000,522000,3950000,7658000,13171000,15253000,3593000,3580000,3801000
15,EBITDA,18209821,-3697000,4883749,-10002000,10155000,12026000,67692000,110384000,135848000,157495000,175399000,269243000
16,EBITDA ratio,1.1874,-1.8930,0.2825,-0.6846,0.3926,0.3830,1.6091,1.7693,1.6348,1.1129,1.2292,1.2357
17,Operating Income,5603772,- -,5250670,- -,- -,- -,- -,- -,- -,- -,172000,- -
18,Operating Income ratio,0.3654,- -,0.3037,- -,- -,- -,- -,- -,- -,- -,0.0012,- -
19,Total Other Income Expenses (Gains),8476765,- -,-1446204,- -,- -,- -,- -,- -,- -,- -,79808000,- -
20,Income Before Tax,14080537,-5012000,3804466,-12885000,9796000,8152000,14897000,31920000,43942000,90017000,79980000,144504000
21,Income Before Tax Ratio,0.9181,-2.5663,0.2201,-0.8819,0.3788,0.2596,0.3541,0.5116,0.5288,0.6361,0.5605,0.6632
22,Income Tax expense (Gain),- -,- -,- -,-251000,26000,118000,141000,885000,2144000,8097000,-2779000,17158000
23,Net Income,14080537,-5012000,3804466,-10459000,9607000,7958000,14652000,30856000,41577000,81564000,82416000,126579000
24,Net Income ratio,0.9181,-2.5663,0.2201,-0.7158,0.3714,0.2534,0.3483,0.4946,0.5003,0.5764,0.5776,0.5810
25,EPS,0.93,-0.33,0.60,-0.68,0.43,0.21,0.32,0.57,0.75,1.25,1.13,1.57
26,EPS Diluted,0.93,-0.33,0.60,-0.68,0.43,0.21,0.32,0.57,0.75,1.24,1.10,1.51
27,Weighted Average Shares Outstanding,15127372,15127372,15127372,15716250,20656826,30761151,40290717,50361672,52780449,63916440,72387581,79992922
28,Weighted Average Shares Outstanding Diluted,15127372,15127372,15127372,15716250,20656826,30761151,40290717,50361672,52780449,64771491,74373169,87671641
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561894/000119312515083440/0001193125-15-083440-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000119312516486646/0001193125-16-486646-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000119312517056435/0001193125-17-056435-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000119312518055972/0001193125-18-055972-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000156189419000006/0001561894-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000156189420000016/0001561894-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000156189421000022/0001561894-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000156189422000008/0001561894-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1632777,20947762,31846000,58199000,42645000,29428000,57274000,21418000,6208000,286250000,226204000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1632777,20947762,31846000,58199000,42645000,29428000,57274000,21418000,6208000,286250000,226204000
34,Net Receivables,- -,382499,- -,375842000,552706000,783967000,1042237000,992937000,944660000,1159607000,1213907000,1446152000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,57588095000,41818388000,28356335000,56223789000,20451922000,-1159607000,-1499870750,- -
37,Total Current Assets,- -,- -,20947762,- -,58199000000,42645000000,29428000000,57274000000,21418000000,6208000,286250,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,3798411,3798411,3798000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,2409273,2058105,1706000,23058000,26930000,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,6207684,5856516,5504000,23058000,26930000,- -,- -,- -,- -,- -,- -
42,Investments,- -,157309533,196368893,98108000,233451000,408162000,421355000,692905000,640837000,697140000,1499370000,1987702000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,9289726,- -,-57445252000,-41610471000,-28103468000,-55716733000,-19903924000,1158134000,- -,- -
45,Total Non-Current Assets,- -,- -,211515135,- -,-57188743000,-41175379000,-27682113000,-55023828000,-19263087000,1855274000,- -,- -
46,Other Assets,- -,174593650,- -,571432000,- -,- -,- -,- -,- -,- -,3458780750,4148311000
47,Total Assets,- -,174593650,232462897,571432000,1010257000,1469621000,1745887000,2250172000,2154913000,1861482000,3459067000,4148311000
48,Accounts Payable,- -,2048782,6072855,7296000,11408000,17875000,25219000,25645000,36509000,53538000,59944000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,592547000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,2345995,- -,93031000,112410000,174623000,156905000,75523000,4245000,-651838509,- -
53,Total Current Liabilities,- -,- -,8418850,- -,104439000,130285000,199842000,182550000,112032000,57783000,652491,- -
54,Long-Term Debt,- -,- -,204882529,337038000,- -,- -,- -,- -,- -,- -,- -,2492930000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,634944000,911141000,975437000,1428438000,1241781000,1393011000,- -,- -
58,Total Non-Current Liabilities,- -,- -,204882529,337038000,634944000,911141000,975437000,1428438000,1241781000,1393011000,- -,2492930000
59,Other Liabilities,- -,158308282,- -,757846000,- -,- -,- -,- -,- -,- -,2248265509,5074726000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,158308282,213301379,420808000,736215000,1037515000,1171548000,1607391000,1350390000,1447362000,2248918000,2581796000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,159000,264000,370000,465000,517000,605000,663000,765000,853000
64,Retained Earnings,- -,5795725,8441399,-13864000,-25006000,-52701000,-92213000,-131251000,-163205000,-169786000,-204112000,-193706000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-2000000,-1000000,-1000000,-2000000,3000000,13000000,9904000
66,Other Total Stockholders Equity,- -,10489643,10720119,160230000,294041000,482526000,663356000,770918000,965700000,1102603000,1393643000,1727667000
67,Total Stockholders Equity,- -,16285368,19161518,146525000,269299000,428195000,570608000,639184000,801100000,936480000,1203296000,1544718000
68,Total Liabilities And Stockholders Equity,- -,174593650,232462897,567333000,1005514000,1465710000,1742156000,2246575000,2151490000,2383842000,3452214000,4126514000
69,Minority Interest,- -,- -,- -,4099000,4743000,3911000,3731000,3597000,3423000,-522360000,6853000,21797000
70,Total Liabilities & Equity,- -,174593650,232462897,571432000,1010257000,1469621000,1745887000,2250172000,2154913000,1861482000,3459067000,4148311000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561894/000119312515083440/0001193125-15-083440-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000119312516486646/0001193125-16-486646-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000119312517056435/0001193125-17-056435-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000119312518055972/0001193125-18-055972-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000156189419000006/0001561894-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000156189420000016/0001561894-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000156189421000022/0001561894-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1561894/000156189422000008/0001561894-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,14080537,-5012000,3804466,-10459000,9607000,7958000,14652000,30856000,41577000,81564000,82416000,126579000
74,Depreciation and Amortization,3759744,1020000,792157,652000,522000,3950000,7658000,13171000,15253000,3593000,3580000,3801000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,37800,- -,14400,- -,- -,- -,- -,- -,- -,- -,16791000,- -
77,Change in Working Capital,-1357586,- -,12528912,-12528912,58094561000,-15579846000,-13286557000,27863292000,-35785482000,-21357543000,51208759,-11581000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10096000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8023000,- -
81,Other Working Capital,- -,- -,12528912,- -,58094561000,42514715000,29228158000,57091450000,21305968000,-51575000,-366241,- -
82,Other Non-Cash Items,-9276602,5524000,-7405297,11583912,-58099567000,15586457000,13321102000,-27895602000,35787445000,21301875000,-80713759,-105490000
83,Cash Provided by Operating Activities,7243893,1532000,9734638,-10752000,5123000,18519000,56855000,11717000,58793000,29489000,73282000,13309000
84,CAPEX,- -,-52000,-216951,-65000,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,-126000000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-4052611,-12290000,-3591342,-247956000,-377814000,-514906000,-390852000,-362354000,-389239000,-689166000,-1179946000,-960052000
87,Sales/Maturities of Investments,751259,22602000,760267,68537000,173427000,184544000,170324000,183383000,381805000,413129000,260876000,240262000
88,Other Investing Activites,-583614,-2059000,-37181859,-49810000,11106000,-30719000,29897000,-118909000,58234000,74896000,87418000,16388000
89,Cash Used for Investing Activites,-3884966,8201000,-40229885,-229294000,-319281000,-361081000,-190631000,-297880000,50800000,-201141000,-831652000,-703402000
90,Debt Repayment,-31677406,-24552000,-54414235,-123205000,-127670000,-423057000,-341065000,-595236000,-437141000,-535170000,-260563000,-110415000
91,Common Stock Issued,- -,- -,- -,160031000,129351000,180486000,177294000,96899000,187265000,138383000,298070000,200641000
92,Common Stock Repurchased,- -,- -,- -,-366000,-205000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-6934000,-13639000,-31591000,-49481000,-68234000,-70989000,-86406000,-99867000,-113510000
94,Other Financing Activites,23576823,11172000,104224467,234342000,352674000,601170000,326956000,911767000,152448000,702078000,1024475000,654119000
95,Cash Used/Provided by Financing Activities,-8100583,-13380000,49810232,263868000,340511000,327008000,113704000,345196000,-168417000,218885000,962115000,630835000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-4741656,-3647000,19314985,23822000,26353000,-15554000,-20072000,59033000,-58824000,47233000,203745000,-59258000
98,Cash at the End of Period,5280128,1633000,20947762,31846000,58199000,42645000,59144000,118177000,59353000,106586000,310331000,251073000
99,Cash at the Beginning of Period,10021784,5280000,1632777,8024000,31846000,58199000,79216000,59144000,118177000,59353000,106586000,310331000
100,Free Cash Flow,7243893,1480000,9517687,-10817000,5123000,18519000,56855000,11717000,58793000,29489000,73282000,13309000
