,https://roic.ai/company/AKOM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,60000,30000,20000,10000,10050,- -,- -,1745000,1599860,- -
2,COGS,30000,20000,10000,10000,6490,- -,- -,1661849,1587220,- -
3,Gross Profit,30000,10000,10000,- -,3560,- -,- -,83151,12640,- -
4,Gross Profit Ratio,0.5000,0.3333,0.5000,- -,0.3542,- -,- -,0.0477,0.0079,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,416230,- -
6,General and Administrative Exp.,20000,10000,10000,20000,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20000,10000,13524,18039,40145,26666,- -,8096033,- -,- -
9,Other Expenses,0,-0,- -,- -,- -,- -,7147597,- -,8153001,9437373
10,Operating Expenses,20000,10000,13524,18039,40145,26666,7147597,8096033,8569231,9437373
11,COGS and Expenses,50000,30000,20000,30000,46630,3970110,7147600,9757882,10156450,9437373
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,3179,1744,39494
14,Depreciation and Amortization,- -,- -,- -,- -,94440,526460,551767,716481,1042698,1039444
15,EBITDA,- -,- -,-10000,-10000,57860,-3443650,-6595830,-7424557,-6931868,-8413730
16,EBITDA ratio,- -,- -,-0.5000,-1.0000,5.7572,-Infinity,-Infinity,-4.2548,-4.3328,-Infinity
17,Operating Income,- -,- -,-9149,-13475,-36579,-24613,-7147597,-8012882,-8556589,-8335598
18,Operating Income ratio,- -,- -,-0.4575,-1.3475,-3.6397,-Infinity,-Infinity,-4.5919,-5.3483,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,-851,3475,-1,-4035047,23647,-131335,580279,-773262
20,Income Before Tax,- -,- -,-10000,-10000,-36580,-4059660,-7123950,-8144217,-7976310,-9108860
21,Income Before Tax Ratio,- -,- -,-0.5000,-1.0000,-3.6398,-Infinity,-Infinity,-4.6672,-4.9856,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-883200,8520,4123,3250,3286
23,Net Income,- -,- -,-10000,-10000,-36580,-3176460,-7132460,-8148340,-7979560,-9112146
24,Net Income ratio,- -,- -,-0.5000,-1.0000,-3.6398,-Infinity,-Infinity,-4.6695,-4.9877,-Infinity
25,EPS,0.11,0.05,-0.06,-0.08,-0.23,-0.15,-0.87,-0.92,-0.86,-0.95
26,EPS Diluted,0.11,0.05,-0.06,-0.08,-0.23,-0.15,-0.87,-0.92,-0.86,-0.95
27,Weighted Average Shares Outstanding,40000,40000,162170,162170,162170,162170,8164299,8852094,9380450,9541154
28,Weighted Average Shares Outstanding Diluted,40000,40000,162170,162170,162170,162170,8164299,8852094,9380450,9541154
