,https://roic.ai/company/KPAY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,-106262,2825676,449434
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,2821191,431604
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,-106262,4485,17830
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,0.0016,0.0397
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,38341,16465,81947,47351,108240,44932,2687855,5446336,6282352,8433816
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,188645
8,"Selling, General and Administrative Exp.",38341,16465,81947,47351,108240,44932,2687855,5446336,6282352,8622461
9,Other Expenses,- -,- -,2000,26495,- -,- -,289,151062,293772,233500
10,Operating Expenses,38341,16465,83947,73846,108240,44932,2688144,5597398,6576124,8855961
11,COGS and Expenses,38341,16465,84720,- -,-188265,44932,-2689848,5446336,9397315,9287565
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,11904,80025,11809,648,44851,96230,367000
14,Depreciation and Amortization,- -,- -,- -,26495,70864,37058,289,24150,129231,4400304
15,EBITDA,-38341,-16465,-82401,31906,-117401,-256046,-2689559,-6096792,-7110199,-13596686
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,57.3751,-2.5163,-30.2529
17,Operating Income,-38341,-16465,-84720,-257351,-108240,-44932,-2688144,-5703660,-6571639,-8838131
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,53.6754,-2.3257,-19.6650
19,Total Other Income Expenses (Gains),- -,- -,2319,- -,-80025,-248172,-1704,-462133,-1822021,-11109859
20,Income Before Tax,-38341,-16465,-82401,- -,-188265,-293104,-2689848,-6165793,-8393660,-19947990
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,58.0244,-2.9705,-44.3847
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1058000,1584000
23,Net Income,-38341,-16465,-82401,- -,-188265,-293104,-2689848,-6165793,-8393660,-19947990
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -,-Infinity,-Infinity,-Infinity,58.0244,-2.9705,-44.3847
25,EPS,-0.03,-0.03,-0.06,- -,-0.00,-0.06,-0.35,-0.53,-0.51,-0.39
26,EPS Diluted,-0.03,-0.03,-0.06,- -,-0.00,-0.06,-0.35,-0.53,-0.51,-0.39
27,Weighted Average Shares Outstanding,962838,999990,1337886,3612444,4506073,4542459,7701722,11628462,16525360,51010857
28,Weighted Average Shares Outstanding Diluted,962838,999990,1337886,3612444,4506073,4542459,7701722,11628462,16525360,51010857
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1494162/000129534513000024/0001295345-13-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1494162/000129534514000054/0001295345-14-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1494162/000129534515000057/0001295345-15-000057-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1494162/000129534517000103/0001295345-17-000103-index.htm,https://www.sec.gov/Archives/edgar/data/1494162/000149315218005531/0001493152-18-005531-index.htm,https://www.sec.gov/Archives/edgar/data/1494162/000149315219005809/0001493152-19-005809-index.htm,https://www.sec.gov/Archives/edgar/data/1494162/000149315220019106/0001493152-20-019106-index.htm
30,BALANCE SHEET, , , , , , , , , , 
