,https://roic.ai/company/SANW,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,4947105,6729020,3641380,14147617,37338258,51533643,81208903,96044254,75373810,64085510,109722511,79582198,84049036
2,COGS,- -,3652226,4880250,2280855,10239914,33743221,41561736,64607502,77653646,59232846,49332052,69014490,64647936,70372139
3,Gross Profit,- -,1294879,1848770,1360525,3907703,3595037,9971907,16601401,18390608,16140964,14753458,40708021,14934262,13676897
4,Gross Profit Ratio,- -,0.2617,0.2747,0.3736,0.2762,0.0963,0.1935,0.2044,0.1915,0.2141,0.2302,0.3710,0.1877,0.1627
5,Research and Development Exp.,- -,56782,218834,450016,242523,505872,840578,1890234,2764358,3032112,3887723,6272758,7336754,8515786
6,General and Administrative Exp.,- -,559377,1017608,2166375,2772711,5762838,6815576,9620807,10397863,11794026,10503020,17486071,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,559377,1017608,2166375,2772711,5762838,6815576,9620807,10397863,11794026,10503020,17486071,- -,- -
9,Other Expenses,- -,187073,216035,242431,272855,694595,1265739,2179638,3185126,3325743,3439287,4128546,24425956,27337110
10,Operating Expenses,- -,803232,1452477,2858822,3288089,6963305,8921893,13690679,16347347,18151881,17830030,27887375,31762710,35852896
11,COGS and Expenses,- -,4455458,6332727,5139677,13528003,40706526,50483629,78298181,94000993,77384727,67162082,96901865,96410646,106225035
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,77566,101890,- -,- -,- -,- -,4765221,5985744,2500968,2032333,3226924,2525931,2972729
14,Depreciation and Amortization,- -,187073,216035,242431,272855,694595,1265739,2179638,3185126,3325743,3439287,4128546,5036464,5469581
15,EBITDA,- -,643359,517913,-1254594,847000,-3164555,1725955,2935753,7132718,1632374,889579,-2098519,-11725961,-10753015
16,EBITDA ratio,- -,0.1300,0.0770,-0.3445,0.0599,-0.0848,0.0335,0.0362,0.0743,0.0217,0.0139,-0.0191,-0.1473,-0.1279
17,Operating Income,- -,491647,396293,-1498297,619614,-3368268,1050014,2385878,2043414,-2408456,-2993592,-4993735,-18763749,-20269261
18,Operating Income ratio,- -,0.0994,0.0589,-0.4115,0.0438,-0.0902,0.0204,0.0294,0.0213,-0.0320,-0.0467,-0.0455,-0.2358,-0.2412
19,Total Other Income Expenses (Gains),- -,-70847,-101890,1272,-45469,-490882,-589798,-6394984,-4081566,-1785881,-1588449,-4507939,-597381,1138389
20,Income Before Tax,- -,420800,294403,-1497025,574145,-3859150,460216,-4009106,-2038152,-4194337,-4582041,-9501674,-19361130,-19130872
21,Income Before Tax Ratio,- -,0.0851,0.0438,-0.4111,0.0406,-0.1034,0.0089,-0.0494,-0.0212,-0.0556,-0.0715,-0.0866,-0.2433,-0.2276
22,Income Tax expense (Gain),- -,- -,-184488,-685577,199310,-1343123,87116,-845979,-2403379,7627705,143049,-148747,385968,-24358
23,Net Income,- -,378720,384476,-811448,374835,-2516027,373100,-3163127,365227,-11822042,-4725090,-9305242,-19674324,-19170967
24,Net Income ratio,- -,0.0766,0.0571,-0.2228,0.0265,-0.0674,0.0072,-0.0390,0.0038,-0.1568,-0.0737,-0.0848,-0.2472,-0.2281
25,EPS,- -,0.13,0.11,-0.14,0.06,-0.29,0.03,-0.24,0.02,-0.67,-0.21,-0.31,-0.59,-0.55
26,EPS Diluted,- -,0.13,0.11,-0.14,0.06,-0.29,0.03,-0.24,0.02,-0.67,-0.21,-0.31,-0.59,-0.55
27,Weighted Average Shares Outstanding,3000000,3000000,3415385,5800000,5904110,8770975,11572406,13333398,14936311,17718057,22481491,30102158,33348263,34590883
28,Weighted Average Shares Outstanding Diluted,3000000,3000000,3415385,5800000,5906899,8770975,11733621,13333398,14936311,17718057,22481491,30102158,33348263,34590883
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1477246/000110465910050290/0001104659-10-050290-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626111000505/0001136261-11-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626112000505/0001136261-12-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626113000421/0001136261-13-000421-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626114000406/0001136261-14-000406-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626115000283/0001136261-15-000283-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626116000620/0001136261-16-000620-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626117000206/0001136261-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626118000246/0001136261-18-000246-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459019034978/0001564590-19-034978-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459020044314/0001564590-20-044314-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459021049124/0001564590-21-049124-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,367,7830517,3738544,8235495,11781074,1167503,3535458,6904500,745001,4320894,3431802,4123094,3527937
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,367,7830517,3738544,8235495,11781074,1167503,3535458,6904500,745001,4320894,3431802,4123094,3527937
34,Net Receivables,900000,450052,2299356,1803909,2716985,12700106,24255596,26728741,27619599,23239325,13861932,13380464,19023098,19389213
35,Inventory,100000,1111463,2714183,5664119,6116785,25822467,28485584,25521747,21846130,31489945,60419276,71295520,63882938,63395256
36,Other Current Assets,100000,14365,75901,410844,353924,1463911,1531572,1083707,1218280,1249921,1279794,3537490,1374677,1555530
37,Total Current Assets,1100000,1576247,12919957,11617416,17423189,51767558,55440255,56869653,57588509,56724192,79881896,91645276,88403807,87867936
38,PP&E,2200000,2241186,2110503,2299306,2441186,10239435,10356809,11476936,13121699,13581576,13180132,20634949,25795576,23403315
39,Goodwill,- -,- -,- -,- -,- -,4832050,4939462,9630279,10292265,10292265,10292265,- -,1508675,1651634
40,Intangible Assets,600000,594910,548674,502436,606653,15240835,14590771,38004916,36485209,34939079,33109780,32714484,38784058,37130942
41,Intangible Assets,600000,594910,548674,502436,606653,20072885,19530233,47635195,46777474,45231344,43402045,32714484,40292733,38782576
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,517672,464375,1920742,1666488,4060156,7279923,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,220431,1098292,1582599,2306624,2301127,2237380,1563176,1303135,1369560,1463517,1417149
45,Total Non-Current Assets,2800000,2836096,2659177,3539845,4610506,33815661,33860154,65473414,69416476,60376096,57885312,54718993,67551826,63603040
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3900000,4412343,15579134,15157261,22033695,85583219,89300409,122343067,127004985,117100288,137767208,146364269,155955633,151470976
48,Accounts Payable,300000,16816,296259,425937,1448751,20406164,16080543,14851530,14699904,7489439,5935454,6930829,8045694,15947918
49,Short-Term Debt,- -,975682,- -,- -,- -,7502786,16156404,25245194,23803175,37709448,33106330,11317033,29961660,35627731
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,509857,880326,212393,9054549,6171904,385328
52,Other Current Liabilities,1100000,1170109,31348,169060,454512,2325685,818730,2387465,2385160,5233718,3142040,6625127,8421018,9134869
53,Total Current Liabilities,1400000,2162607,327607,594997,1903263,30234635,33055677,42484189,41398096,51312931,42396217,33927538,52600276,61095846
54,Long-Term Debt,- -,- -,- -,- -,- -,4668958,4452631,19459113,11114333,1096155,12977087,10463691,17571371,11590500
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,299682,106758,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,- -,- -,- -,322881,171108,8524160,6731112,3469547,651780,1974828,4448009,4391437
58,Total Non-Current Liabilities,100000,- -,- -,- -,- -,5291521,4730497,27983273,17845445,4565702,13628867,12438519,22019380,15981937
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27241,2246420,6877952,2011198
61,Total Liabilities,1500000,2162607,327607,594997,1903263,35526156,37786174,70467462,59243541,55878633,56025084,46366057,74619656,77077783
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3000,5800,5800,6873,11585,11666,13479,17086,18004,24367,33303,33458,36773
64,Retained Earnings,- -,378720,763196,-48252,326583,-2189444,-1816344,-4979471,-4614244,-16436286,-21161376,-30466618,-50140942,-69311909
65,Other Comprehensive Income/Loss,- -,-140837,-310636,-502216,-670617,-2000000,-2000000,-5000000,-6000000,-6000000,-6000000,-6000000,-6111424,-5850826
66,Other Total Stockholders Equity,2400000,1873165,14793167,15106932,20467593,54234922,55318913,61841597,78358602,83639937,108879133,136479212,137675344,149550161
67,Total Stockholders Equity,2400000,2114048,15251527,14562264,20130432,50057063,51514235,51875605,67761444,61221655,81742124,100045897,81456436,74424199
68,Total Liabilities And Stockholders Equity,3900000,4276655,15579134,15157261,22033695,85583219,89300409,122343067,127004985,117100288,137767208,146411954,156076092,151501982
69,Minority Interest,- -,135688,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47685,-120459,-31006
70,Total Liabilities & Equity,3900000,4412343,15579134,15157261,22033695,85583219,89300409,122343067,127004985,117100288,137767208,146364269,155955633,151470976
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1477246/000110465910050290/0001104659-10-050290-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626111000505/0001136261-11-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626112000505/0001136261-12-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626113000421/0001136261-13-000421-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626114000406/0001136261-14-000406-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626115000283/0001136261-15-000283-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626116000620/0001136261-16-000620-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626117000206/0001136261-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000113626118000246/0001136261-18-000246-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459019034978/0001564590-19-034978-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459020044314/0001564590-20-044314-index.htm,https://www.sec.gov/Archives/edgar/data/1477246/000156459021049124/0001564590-21-049124-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,- -,378720,384476,-811448,374835,-2516027,373100,-3163127,365227,-11822042,-4725090,-9305242,-19674324,-19170967
74,Depreciation and Amortization,- -,187073,216035,242431,272855,694595,1265739,2179638,3185126,3325743,3439287,4128546,5036464,5469581
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-1402397,-2721746,7269420,- -,-270083,- -,- -
76,Stock Based Compensation,- -,- -,- -,122185,187022,1053895,872711,896882,1190126,1409368,748516,694610,1167951,1766353
77,Change in Working Capital,- -,-286360,13178710,-1569931,4497507,6012997,851655,-7999114,1804949,-10779152,32074418,20232059,-21914207,-9031441
78,Accounts Receivable,- -,474596,-1664816,307372,-909489,-5582324,-11301001,-4391780,-1007637,4110609,9207302,307209,-1819625,504021
79,Inventory,- -,-965286,-1602720,-2947680,-452666,-1215745,-2135746,21308005,3561808,-9343989,-29860271,-13331376,11083296,648448
80,Accounts Payable,- -,972,279443,129678,1022814,3175585,-4740089,-11014912,48896,-7464977,-1389118,-830718,-2879541,7265195
81,Other Working Capital,-300000,-586360,12592350,11022419,15519926,21532923,22384578,14385464,16190413,5411261,37485679,57717738,35803531,26772090
82,Other Non-Cash Items,- -,-100428,-16257173,-1682252,-5298095,-10224051,-21230243,20600468,2891300,296503,-53737372,5815941,29620489,6745432
83,Cash Provided by Operating Activities,- -,179005,-2477952,-3699015,34124,-4978591,-17867038,11112350,6714982,-10300160,-22200241,21295831,-5763627,-14221042
84,CAPEX,- -,-228854,-39116,-397458,-384984,-7796376,-434416,-1595813,-2612794,-3116805,-1482341,-778316,-1972231,-1079880
85,Acquisitions Net,- -,- -,- -,- -,- -,-8000000,- -,-37000000,-1000000,- -,- -,-26000000,-7472618,-8499
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-316000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,439038,- -,- -,- -,- -,- -
