,https://roic.ai/company/STAF,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,647731,45778493,128829330,165552000,192650000,260926000,278478000,- -
2,COGS,- -,- -,448507,36694123,106280617,136505000,155909000,212622000,230169000,- -
3,Gross Profit,- -,- -,199224,9084370,22548713,29047000,36741000,48304000,48309000,- -
4,Gross Profit Ratio,- -,- -,0.3076,0.1984,0.1750,0.1755,0.1907,0.1851,0.1735,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12550,241838,2610172,14212397,26528892,30781000,32819000,43579000,44327000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12550,241838,2610172,14212397,26528892,30781000,32819000,43579000,44327000,- -
9,Other Expenses,- -,- -,22752,1198788,2711476,2864000,3566000,2829000,3359000,- -
10,Operating Expenses,- -,241838,2632924,15411185,29240368,33645000,36385000,46408000,47686000,- -
11,COGS and Expenses,12550,241838,3081431,52105308,135520985,170150000,192294000,259030000,277855000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3043,1011482,481072,4187349,2699000,6490000,8966000,8485000,- -
14,Depreciation and Amortization,- -,- -,22752,1198788,2688980,2864000,3566000,3124000,3369000,- -
15,EBITDA,-12550,-241838,-2370948,-10917548,-11204756,-3933000,-7503000,5611000,6625000,- -
16,EBITDA ratio,-Infinity,-Infinity,-3.6604,-0.2385,-0.0870,-0.0238,-0.0389,0.0215,0.0238,- -
17,Operating Income,-12550,-241838,-2433700,-9860662,-7469496,-4598000,-5214000,1658000,623000,- -
18,Operating Income ratio,-Infinity,-Infinity,-3.7573,-0.2154,-0.0580,-0.0278,-0.0271,0.0064,0.0022,- -
19,Total Other Income Expenses (Gains),- -,- -,-971482,-2727109,-10093627,-4870000,-12345000,-8137000,-5852000,- -
20,Income Before Tax,- -,- -,-3405182,-12587771,-17563123,-9468000,-17559000,-6479000,-5229000,- -
21,Income Before Tax Ratio,- -,- -,-5.2571,-0.2750,-0.1363,-0.0572,-0.0911,-0.0248,-0.0188,- -
22,Income Tax expense (Gain),- -,- -,- -,69968,-60322,17000,932000,22000,-335000,- -
23,Net Income,-12550,-244881,-3405182,-12667376,-18020763,-9513000,-18491000,-6501000,-4894000,- -
24,Net Income ratio,-Infinity,-Infinity,-5.2571,-0.2767,-0.1399,-0.0575,-0.0960,-0.0249,-0.0176,- -
25,EPS,-1.00,-9.00,-129.00,-195.00,-138.00,-59.40,-44.34,-9.42,-5.40,- -
26,EPS Diluted,-1.00,-9.00,-129.00,-195.00,-138.00,-59.40,-44.34,-9.42,-5.40,- -
27,Weighted Average Shares Outstanding,20000,24839,26118,64906,127639,163660,466972,740673,1366422,- -
28,Weighted Average Shares Outstanding Diluted,20000,24839,26118,64906,127639,163660,466972,740673,1366422,- -
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1499717/000114420412051238/0001144204-12-051238-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420413050749/0001144204-13-050749-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420414055968/0001144204-14-055968-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420415045558/0001144204-15-045558-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1499717/000156459019009074/0001564590-19-009074-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000156459020024150/0001564590-20-024150-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,18867,262822,1324711,19194,1969000,3100000,3181000,1196000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,18867,262822,1324711,19194,1969000,3100000,3181000,1196000,- -
34,Net Receivables,- -,- -,528997,17036267,18759616,20378000,33392000,32746000,26604000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,54552,52378,1224071,2174887,1656000,1443000,1197000,842000,- -
37,Total Current Assets,- -,73419,844197,19585049,20953697,24003000,37935000,37124000,28642000,- -
38,PP&E,- -,- -,29680,454606,506005,880000,1618000,1639000,6416000,- -
39,Goodwill,- -,- -,1467719,8318637,8399786,14833000,27169000,32061000,31049000,- -
40,Intangible Assets,- -,- -,978901,13803305,10568862,10741000,17145000,22657000,19511000,- -
41,Intangible Assets,- -,- -,2446620,22121942,18968648,25574000,44314000,54718000,50560000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1523585,1903905,4639000,2881000,2956000,3223000,- -
45,Total Non-Current Assets,- -,- -,2476300,24100133,21378558,31093000,48813000,59313000,60199000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,73419,3320497,43685182,42332255,55096000,86748000,96437000,88841000,- -
48,Accounts Payable,3000,25795,596645,1347215,7090856,5530000,4371000,18283000,1412000,- -
49,Short-Term Debt,- -,259600,50000,3698123,2934910,6741000,26228000,- -,1797,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,25983000,- -,- -,- -
52,Other Current Liabilities,7679,2104,1001488,21698173,17522813,28291000,-7273000,33735000,82581203,- -
53,Total Current Liabilities,10679,287499,1648133,26743511,27548579,40562000,49309000,52018000,83995000,- -
54,Long-Term Debt,- -,- -,- -,4406049,3820487,5122000,38749000,35565000,360000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,894000,1916212,1461129,1900000,5475000,4659000,4853000,- -
58,Total Non-Current Liabilities,- -,- -,894000,6322261,5281616,7022000,44224000,40224000,5213000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,4980000,- -
61,Total Liabilities,10679,287499,2542133,33065772,32830195,47584000,93533000,92242000,89208000,- -
62,Preferred Stock,- -,- -,- -,- -,17,- -,- -,13000,13000,- -
63,Common Stock,20,76,123,329,437,- -,- -,- -,1000,- -
64,Retained Earnings,-19679,-264560,-3669742,-16337118,-34407771,-44121000,-65142000,-71643000,-76537000,- -
65,Other Comprehensive Income/Loss,- -,- -,-1924,-79535,-236623,159000,783000,2000000,-116000,- -
66,Other Total Stockholders Equity,8980,50404,4449907,26453197,43092655,- -,- -,73838000,76272000,- -
67,Total Stockholders Equity,-10679,-214080,778364,10036873,8448715,7512000,-6785000,4195000,-367000,- -
68,Total Liabilities And Stockholders Equity,- -,73419,3320497,43102645,41278910,55096000,86748000,96437000,88841000,- -
69,Minority Interest,- -,- -,- -,582537,1053345,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,73419,3320497,43685182,42332255,55096000,86748000,96437000,88841000,- -
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1499717/000114420412051238/0001144204-12-051238-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420413050749/0001144204-13-050749-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420414055968/0001144204-14-055968-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000114420415045558/0001144204-15-045558-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1499717/000156459019009074/0001564590-19-009074-index.htm,https://www.sec.gov/Archives/edgar/data/1499717/000156459020024150/0001564590-20-024150-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-12550,-244881,-3405182,-12667376,-18020763,-9513000,-18491000,-6501000,-4894000,- -
74,Depreciation and Amortization,- -,- -,22752,1198788,2688980,2864000,3566000,3124000,3369000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,140587,1470831,2058396,2151000,1386000,1151000,832000,- -
77,Change in Working Capital,6550,-203401,-589856,-6354526,563580,4519000,-6978000,-3520000,-40459000,- -
78,Accounts Receivable,- -,- -,-528997,203039,-1723349,2098000,-2502000,5141000,-7574000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,679695,- -,- -,- -,-4606000,-1640000,-779000,- -
81,Other Working Capital,-10679,-214080,-803936,-7158462,-6594882,-249000,-38000,-14894000,-55353000,- -
82,Other Non-Cash Items,6000,177748,2408215,12064308,8153065,2073000,13284000,7717000,30312000,- -
83,Cash Provided by Operating Activities,- -,-270534,-1423484,-4287975,-4556742,2094000,-7233000,1971000,-10840000,- -
84,CAPEX,- -,- -,- -,-144964,-255272,-205000,-698000,-425000,-510000,- -
85,Acquisitions Net,- -,- -,-907287,-10804334,- -,-3419000,-20890000,-8357000,- -,- -
