,https://roic.ai/company/VMW,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,387074000,703904000,1325811000,1881027000,2023937000,2857343000,3767096000,4605047000,5207000000,6035000000,6571000000,7093000000,- -,7922000000,8974000000,10811000000,11767000000,12851000000
2,COGS,65192000,123382000,218674000,304105000,359728000,493715000,621987000,721323000,730000000,917000000,1018000000,1053000000,- -,1141000000,1258000000,1799000000,2043000000,2385000000
3,Gross Profit,321882000,580522000,1107137000,1576922000,1664209000,2363628000,3145109000,3883724000,4477000000,5118000000,5553000000,6040000000,- -,6781000000,7716000000,9012000000,9724000000,10466000000
4,Gross Profit Ratio,0.8316,0.8247,0.8351,0.8383,0.8223,0.8272,0.8349,0.8434,0.8598,0.8481,0.8451,0.8515,- -,0.8560,0.8598,0.8336,0.8264,0.8144
5,Research and Development Exp.,72561000,148254000,285941000,429204000,496552000,652968000,775051000,999214000,1082000000,1239000000,1300000000,1503000000,- -,1755000000,1975000000,2522000000,2816000000,3057000000
6,General and Administrative Exp.,- -,- -,- -,181110000,211979000,269386000,300541000,367718000,419000000,695000000,766000000,689000000,- -,654000000,503000000,1293000000,767000000,1068000000
7,Selling and Marketing Exp.,- -,- -,- -,654083000,736383000,1013281000,1334346000,1644849000,1815000000,2141000000,2267000000,2357000000,- -,2593000000,2918000000,3677000000,3711000000,4067000000
8,"Selling, General and Administrative Exp.",155726000,307929000,585855000,835193000,948362000,1282667000,1634887000,2012567000,2234000000,2836000000,3033000000,3046000000,- -,3247000000,3421000000,4970000000,4478000000,5135000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000000,- -,- -,- -
10,Operating Expenses,228287000,456183000,871796000,1264397000,1444914000,1935635000,2409938000,3011781000,3316000000,4075000000,4333000000,4549000000,- -,5002000000,5666000000,7492000000,7294000000,8192000000
11,COGS and Expenses,293479000,579565000,1090470000,1568502000,1804642000,2429350000,3031925000,3733104000,4046000000,4992000000,5351000000,5602000000,- -,6143000000,6924000000,9291000000,9337000000,10577000000
12,Interest Income ,- -,- -,- -,284000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,18600000,6958000,4069000,3906000,4654000,4000000,24000000,26000000,26000000,- -,74000000,134000000,149000000,204000000,-252000000
14,Depreciation and Amortization,39461000,66573000,104027000,158628000,198486000,260551000,315871000,354868000,337000000,345000000,335000000,345000000,- -,336000000,630000000,873000000,1025000000,1110000000
15,EBITDA,134801000,189295000,344505000,496513000,428893000,680995000,1114190000,1252636000,1488000000,1417000000,1574000000,1844000000,- -,2211000000,3647000000,2516000000,3611000000,2943000000
16,EBITDA ratio,0.3483,0.2689,0.2598,0.2640,0.2119,0.2383,0.2958,0.2720,0.2858,0.2348,0.2395,0.2600,- -,0.2791,0.4064,0.2327,0.3069,0.2290
17,Operating Income,93595000,120639000,235341000,312525000,219295000,427993000,735171000,871943000,1093000000,1027000000,1197000000,1439000000,- -,1689000000,2050000000,1441000000,2388000000,2387000000
18,Operating Income ratio,0.2418,0.1714,0.1775,0.1661,0.1084,0.1498,0.1952,0.1893,0.2099,0.1702,0.1822,0.2029,- -,0.2132,0.2284,0.1333,0.2029,0.1857
19,Total Other Income Expenses (Gains),1745000,1908000,5137000,6760000,4154000,-11618000,59242000,21171000,54000000,21000000,16000000,34000000,- -,112000000,833000000,-3000000,-6000000,-302000000
20,Income Before Tax,95340000,122547000,240478000,319285000,223449000,416375000,794413000,893114000,1147000000,1048000000,1213000000,1473000000,- -,1801000000,2883000000,1438000000,2382000000,2085000000
21,Income Before Tax Ratio,0.2463,0.1741,0.1814,0.1697,0.1104,0.1457,0.2109,0.1939,0.2203,0.1737,0.1846,0.2077,- -,0.2273,0.3213,0.1330,0.2024,0.1622
22,Income Tax expense (Gain),28565000,36832000,22341000,29152000,26351000,58936000,70477000,147412000,133000000,162000000,216000000,287000000,- -,1231000000,461000000,-4918000000,324000000,265000000
23,Net Income,66775000,85890000,218137000,290133000,197098000,357439000,723936000,745702000,1014000000,886000000,997000000,1186000000,- -,570000000,2422000000,6412000000,2058000000,1820000000
24,Net Income ratio,0.1725,0.1220,0.1645,0.1542,0.0974,0.1251,0.1922,0.1619,0.1947,0.1468,0.1517,0.1672,- -,0.0720,0.2699,0.5931,0.1749,0.1416
25,EPS,0.20,0.26,0.62,0.75,0.50,0.87,1.72,1.75,2.36,2.06,2.35,2.82,- -,1.40,5.94,15.37,4.90,4.33
26,EPS Diluted,0.20,0.26,0.61,0.73,0.49,0.84,1.68,1.72,2.34,2.04,2.34,2.78,- -,1.38,5.85,15.08,4.86,4.30
27,Weighted Average Shares Outstanding,332500000,332500000,350493000,385068000,394269000,409805000,421188000,426658000,429093000,430355000,424003000,420520000,- -,406738000,407766000,417058000,419841000,419841000
28,Weighted Average Shares Outstanding Diluted,332500000,332500000,359189000,397185000,399776000,423446000,431750000,433974000,433415000,434513000,426547000,423994000,- -,413368000,414267000,425235000,423240000,423240000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1124610/000119312508043667/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000119312509038030/0001193125-09-038030-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000119312510044677/0001193125-10-044677-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000119312511050075/d10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000144530512000443/0001445305-12-000443-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461013000009/0001124610-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461014000008/vmw-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461015000005/vmw-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461016000040/0001124610-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461017000009/0001124610-17-000009-index.html,undefined,- -,https://www.sec.gov/Archives/edgar/data/1124610/000112461019000012/0001124610-19-000012-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461020000019/0001124610-20-000019-index.html,https://www.sec.gov/Archives/edgar/data/1124610/000112461021000015/0001124610-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1124610/000112461022000009/0001124610-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,38653000,176134000,1231168000,1840812000,2486461000,1628965000,1955756000,1609322000,2305000000,2071000000,2493000000,2790000000,- -,5971000000,2830000000,2915000000,4692000000,3614000000
32,Short-Term Investments,- -,- -,- -,- -,- -,1694675000,2556450000,3021512000,3870000000,5004000000,5016000000,5195000000,- -,5682000000,19000000,- -,23000000,19000000
33,Cash and Short-Term Investments,38653000,176134000,1231168000,1840812000,2486461000,3323640000,4512206000,4630834000,6175000000,7075000000,7509000000,7985000000,- -,11653000000,2849000000,2915000000,4715000000,3633000000
34,Net Receivables,96973000,198660000,283824000,449064000,563565000,670207000,956656000,1218840000,1220000000,1569000000,1707000000,1988000000,- -,1844000000,2537000000,3340000000,3367000000,2297000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,26348000,47637000,88342000,100212000,132454000,303808000,208910000,270365000,286000000,486000000,144000000,362000000,- -,237000000,265000000,436000000,530000000,2036000000
37,Total Current Assets,161974000,422431000,1603334000,2390088000,3182480000,4297655000,5677772000,6120039000,7681000000,9130000000,9360000000,10335000000,- -,13734000000,5651000000,6691000000,8612000000,7966000000
38,PP&E,19341000,48675000,276983000,418212000,402356000,419065000,525490000,664669000,845000000,1035000000,1128000000,1049000000,- -,1074000000,1133000000,1280000000,1334000000,1461000000
39,Goodwill,526252000,560482000,639366000,771088000,1115769000,1568600000,1759080000,2848130000,3027000000,3964000000,3993000000,4032000000,- -,4597000000,5381000000,9329000000,9599000000,9598000000
40,Intangible Assets,59737000,43515000,32073000,56984000,94557000,362873000,561611000,731852000,607000000,748000000,616000000,517000000,- -,548000000,541000000,1172000000,993000000,714000000
41,Intangible Assets,585989000,603997000,671439000,828072000,1210326000,1931473000,2320691000,3579982000,3634000000,4712000000,4609000000,4549000000,- -,5145000000,5922000000,10501000000,10592000000,10312000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,6407000,20935000,72249000,68280000,102529000,149126000,156855000,103001000,60000000,165000000,456000000,462000000,- -,346000000,- -,5556000000,5781000000,5906000000
44,Other Non-Current Assets,26092000,49912000,71695000,134553000,169293000,- -,- -,128701000,107000000,174000000,193000000,248000000,- -,323000000,1956000000,2266000000,2697000000,3031000000
45,Total Non-Current Assets,637829000,723519000,1092366000,1449117000,1884504000,2499664000,3003036000,4476353000,4646000000,6086000000,6386000000,6308000000,- -,6888000000,9011000000,19603000000,20404000000,20710000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,799803000,1145950000,2695700000,3839205000,5066984000,6797319000,8680808000,10596392000,12327000000,15216000000,15746000000,16643000000,- -,20622000000,14662000000,26294000000,29016000000,28676000000
48,Accounts Payable,12465000,44227000,61503000,88647000,50566000,58913000,49747000,89562000,109000000,203000000,138000000,125000000,- -,15000000,135000000,208000000,131000000,234000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2747000000,- -,- -
50,Tax Payable,- -,- -,- -,15761000,10462000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242000000
51,Deferred Revenue,131614000,242603000,363317000,544355000,908953000,1270426000,1764109000,2195926000,2558000000,2982000000,3245000000,3531000000,- -,3777000000,3968000000,5465000000,6167000000,6479000000
52,Other Current Liabilities,152093000,190919000,245192000,246748000,334523000,459813000,587650000,674746000,626000000,811000000,746000000,898000000,- -,1241000000,1593000000,1904000000,2088000000,2938000000
53,Total Current Liabilities,296172000,477749000,670012000,879750000,1294042000,1789152000,2401506000,2960234000,3293000000,3996000000,4129000000,4554000000,- -,5033000000,5696000000,10324000000,8386000000,9651000000
54,Long-Term Debt,- -,800000000,450000000,450000000,450000000,450000000,450000000,450000000,450000000,1500000000,1500000000,1500000000,- -,4234000000,4242000000,3747000000,5878000000,13598000000
55,Deferred Revenue,- -,- -,- -,325634000,416345000,589668000,944309000,1264639000,1534000000,1851000000,1831000000,2093000000,- -,2473000000,3010000000,4050000000,4441000000,- -
56,Deferred Tax Liabilities,31150000,30579000,27327000,47825000,60300000,30096000,- -,- -,- -,- -,- -,- -,- -,- -,889000000,- -,- -,- -
