,https://roic.ai/company/APEI,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,17758000,23119000,28178000,40045000,69095000,107147000,148998000,198174000,260377000,313516000,329479000,350020000,327910000,313139000,299248000,297687000,286270000,321785000,418803000
2,COGS,8603000,- -,13247000,17959000,29479000,43561000,58383000,75309000,95216000,110192000,112784000,123765000,118848000,117013000,116161000,115280000,111916000,122161000,172622000
3,Gross Profit,9155000,- -,14931000,22086000,39616000,63586000,90615000,122865000,165161000,203324000,216695000,226255000,209062000,196126000,183087000,182407000,174354000,199624000,246181000
4,Gross Profit Ratio,0.5155,- -,0.5299,0.5515,0.5734,0.5934,0.6082,0.6200,0.6343,0.6485,0.6577,0.6464,0.6376,0.6263,0.6118,0.6127,0.6091,0.6204,0.5878
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,11407000,14045000,22100000,33663000,25039000,32045000,48350000,63615000,70063000,75073000,73864000,68666000,69024000,74456000,78082000,88043000,103379000
7,Selling and Marketing Exp.,2817000,- -,- -,- -,- -,- -,20479000,34296000,44713000,59761000,65687000,69229000,62397000,59095000,58335000,57042000,60028000,72989000,93317000
8,"Selling, General and Administrative Exp.",2817000,- -,11407000,14045000,22100000,33663000,45518000,66341000,93063000,123376000,135750000,144302000,136261000,127761000,127359000,131498000,138110000,161032000,196696000
9,Other Expenses,4490000,- -,1300000,5101000,2825000,4235000,5231000,6502000,9239000,11146000,13508000,16121000,20520000,19384000,18776000,17501000,15596000,12984000,17832000
10,Operating Expenses,7307000,- -,12707000,19146000,24925000,37898000,50749000,72843000,102302000,134522000,149258000,160423000,156781000,147145000,146135000,148999000,153706000,174016000,214528000
11,COGS and Expenses,15910000,- -,25954000,37105000,54404000,81459000,109132000,148152000,197518000,244714000,262042000,284188000,275629000,264158000,262296000,264279000,265622000,296177000,387150000
