,https://roic.ai/company/STXS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,18900,5014877,18816860,15026390,27191706,39298809,40365173,51149555,54051237,41987432,46562434,38031081,35011276,37674524,32164116,31144100,29346617,28902550,26630035,35020862
2,COGS,- -,- -,39760,4051313,10672262,7720706,12892749,15346220,14177790,17021633,15564687,12498081,14781055,11001301,8223380,10438158,7529333,10754239,5717179,6136459,7664246,11789186
3,Gross Profit,- -,- -,-20860,963564,8144598,7305684,14298957,23952589,26187383,34127922,38486550,29489351,31781379,27029780,26787896,27236366,24634783,20389861,23629438,22766091,18965789,23231676
4,Gross Profit Ratio,- -,- -,-1.1037,0.1921,0.4328,0.4862,0.5259,0.6095,0.6488,0.6672,0.7120,0.7023,0.6826,0.7107,0.7651,0.7229,0.7659,0.6547,0.8052,0.7877,0.7122,0.6634
5,Research and Development Exp.,8871585,13831016,14325389,13541398,18437108,17829282,21794177,25471809,17422828,14260854,12244163,12886488,8405086,5672058,5158331,6252791,5487609,4760806,8219387,9021403,8136914,10198553
6,General and Administrative Exp.,1625621,- -,- -,- -,17280912,30555947,39176241,47722843,49781827,15010490,15022689,16908656,13394556,13066103,11845289,10543741,10345338,8509153,4901170,5838158,6364365,13973498
7,Selling and Marketing Exp.,386229,- -,- -,- -,- -,- -,- -,- -,- -,28694540,30178818,31635415,20607999,17132093,15168940,15850362,15228193,13039499,12965920,12733389,11178325,11948068
8,"Selling, General and Administrative Exp.",2011850,- -,7175828,11372516,17280912,30555947,39176241,47722843,49781827,43705030,45201507,48544071,34002555,30198196,27014229,26394103,25573531,21548652,17867090,18571547,17542690,25921566
9,Other Expenses,- -,- -,- -,- -,- -,2923111,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,10883435,- -,21501217,24913914,35718020,51308340,60970418,73194652,67204655,57965884,57445670,61430559,42407641,35870254,32172560,32646894,31061140,26309458,26086477,27592950,25679604,36120119
11,COGS and Expenses,10883435,13831016,21540977,28965227,46390282,59029046,73863167,88540872,81382445,74987517,73010357,73928640,57188696,46871555,40395940,43085052,38590473,37063697,31803656,33729409,33343850,47909305
12,Interest Income ,- -,950776,434470,375361,811049,949918,2126987,1471503,194870,44768,10578,9052,7361,5800,7084,1864,368,- -,- -,235575,67356,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,4613240,3035291,3515402,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10071
14,Depreciation and Amortization,- -,- -,406766,503342,888043,1166687,1601760,1620651,4020776,2183840,1928153,1762071,1600021,1218969,713606,620134,566931,753682,579017,122736,126211,- -
