,https://roic.ai/company/GNE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,264709000,201358000,76800000,229459000,279174000,275031000,210109000,212112000,264202000,280309000,315291000,379312000,363725000
2,COGS,- -,192550000,143532000,52500000,159872000,213416000,223094000,141015000,135172000,178693000,203762000,232392000,281627000,258864000
3,Gross Profit,- -,72159000,57826000,24300000,69587000,65758000,51937000,69094000,76940000,85509000,76547000,82899000,97685000,104861000
4,Gross Profit Ratio,- -,0.2726,0.2872,0.3164,0.3033,0.2355,0.1888,0.3288,0.3627,0.3237,0.2731,0.2629,0.2575,0.2883
5,Research and Development Exp.,- -,6253000,5226000,2600000,9365000,11389000,12509000,1985000,-269000,- -,- -,207000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,17800000,54000000,49749000,61372000,66040000,61569000,80122000,61583000,- -,76951000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,17800000,54000000,49749000,61372000,66040000,61569000,80122000,61583000,- -,76951000,71770000
9,Other Expenses,- -,26981000,21267000,2200000,- -,- -,- -,6583000,6152000,4879000,244000,72467000,- -,209330000
10,Operating Expenses,- -,33234000,26493000,22600000,63365000,61138000,73881000,74608000,67452000,85001000,61827000,72674000,76951000,281100000
11,COGS and Expenses,- -,225784000,170025000,75100000,223237000,274554000,296975000,215623000,202624000,263694000,265589000,305066000,358578000,539964000
12,Interest Income ,- -,- -,- -,- -,404000,449000,469000,411000,332000,295000,557000,448000,190000,34000
13,Interest Expense (Gain),- -,- -,- -,-1300000,- -,3217000,- -,- -,- -,310000,401000,530000,328000,-427000
14,Depreciation and Amortization,- -,118000,86000,20000,124000,110000,132000,428000,581000,2140000,2062000,3627000,3548000,1282000
15,EBITDA,- -,41114000,28609000,120000,-227000,179000,-26259000,-6504000,-21726000,-2818000,12872000,12932000,25345000,33516000
16,EBITDA ratio,- -,0.1553,0.1421,0.0016,-0.0010,0.0006,-0.0955,-0.0310,-0.1024,-0.0107,0.0459,0.0410,0.0668,0.0921
17,Operating Income,- -,41523000,31333000,1700000,3047000,626000,-25610000,-5882000,-30513000,-6540000,11978000,9825000,19337000,33091000
18,Operating Income ratio,- -,0.1569,0.1556,0.0221,0.0133,0.0022,-0.0931,-0.0280,-0.1439,-0.0248,0.0427,0.0312,0.0510,0.0910
19,Total Other Income Expenses (Gains),- -,-547000,-3302000,-1400000,-2652000,-3212000,-1702000,-2229000,539000,-382000,-2954000,-3846000,4531000,-430000
20,Income Before Tax,- -,40976000,28031000,300000,395000,-2586000,-27312000,-8111000,-29974000,-6922000,9024000,5979000,23868000,32661000
21,Income Before Tax Ratio,- -,0.1548,0.1392,0.0039,0.0017,-0.0093,-0.0993,-0.0386,-0.1413,-0.0262,0.0322,0.0190,0.0629,0.0898
22,Income Tax expense (Gain),- -,18248000,13950000,600000,2930000,2755000,95000,525000,2218000,1726000,-12376000,4600000,8314000,3253000
23,Net Income,- -,22748000,14573000,800000,-3281000,-5903000,-26486000,-7457000,-24525000,-6994000,22785000,4175000,13155000,29408000
24,Net Income ratio,- -,0.0859,0.0724,0.0104,-0.0143,-0.0211,-0.0963,-0.0355,-0.1156,-0.0265,0.0813,0.0132,0.0347,0.0809
25,EPS,- -,1.12,0.72,0.04,-0.17,-0.36,-1.31,-0.40,-1.14,-0.36,0.85,0.10,0.45,1.15
26,EPS Diluted,- -,1.02,0.65,0.04,-0.17,-0.36,-1.31,-0.40,-1.14,-0.36,0.83,0.10,0.44,1.05
27,Weighted Average Shares Outstanding,- -,20365000,20365000,22500000,20687000,19668000,21256000,22135000,22804000,23531000,25154000,26607000,26109000,25879000
28,Weighted Average Shares Outstanding Diluted,- -,22342000,22342000,22500000,20687000,19668000,21256000,22135000,22804000,23531000,25695000,27464000,26813000,25514000
